0007-0009,0022-0023,0037-0064,0001-0070-0060,0049-0080,0061-0081,0064-0093,0039-0090,0049-0096,0065-0111,0086-0112,0106-0122,0124-0109,0108-0046,0105-0025,0100-0012,0079-0020,0047-0003,0125-0015,Average,Err
368.377,590.938,448.823,317.386,391.921,404.582,398.946,374.447,335.893,431.381,404.756,520.294,288.211,349.952,344.377,1226.280,319.703,350.225,305.186,430.088,46.140
372.033,578.267,441.069,325.193,435.528,440.382,428.532,344.968,331.579,438.089,393.756,540.866,277.368,386.212,351.435,1240.415,315.978,393.225,250.698,436.084,47.109
348.689,585.502,431.316,324.750,376.393,380.455,434.216,376.574,343.650,449.406,417.863,504.439,276.658,351.856,353.168,1156.665,314.622,324.975,282.651,422.834,43.153
345.710,579.333,435.183,322.358,409.955,417.964,421.288,367.064,337.529,433.683,421.512,533.321,261.737,348.615,352.387,1189.135,312.503,345.850,284.791,427.364,44.783
337.967,606.190,438.531,335.593,418.551,405.218,407.441,394.574,332.343,417.272,400.225,492.471,275.325,332.606,349.503,1135.600,313.611,356.650,249.605,421.015,42.537
354.536,553.139,427.044,325.211,396.000,412.218,372.685,380.798,326.936,453.946,427.950,528.797,279.395,337.154,356.183,1161.195,312.886,352.750,280.930,423.145,43.158
366.738,586.985,445.729,331.286,379.719,436.218,422.703,388.936,337.207,421.455,420.175,540.321,266.667,365.885,363.241,1202.740,316.276,368.725,299.628,434.770,44.954
338.443,612.733,435.655,335.199,365.281,435.455,389.279,334.117,349.193,424.520,406.431,505.658,301.579,344.529,373.560,1208.400,309.119,348.625,243.791,424.293,46.090
336.820,603.960,435.856,314.651,392.494,444.455,391.243,366.543,345.757,437.386,421.200,530.888,290.456,373.442,359.733,1196.260,337.449,410.850,288.000,435.655,44.662
332.437,593.718,435.620,345.455,418.045,413.509,383.018,355.149,340.650,441.970,419.450,499.797,295.000,376.433,354.073,1137.365,314.622,368.975,282.209,426.710,41.799
354.585,610.363,456.821,329.214,413.697,385.000,396.658,382.415,335.029,462.069,414.181,525.529,301.974,352.385,357.691,1191.255,319.395,376.100,257.628,432.736,44.847
330.989,565.143,429.527,320.943,405.888,417.564,385.441,401.532,356.186,448.990,417.050,494.310,294.000,352.394,355.916,1211.615,335.189,363.250,264.860,428.989,45.129
344.612,599.985,440.320,332.681,394.831,456.873,410.018,359.511,338.521,444.921,429.200,515.283,302.965,372.577,352.157,1197.205,307.389,315.625,300.651,432.386,44.900
335.557,591.890,436.987,325.690,418.360,412.182,388.928,392.404,333.743,443.480,402.438,547.872,288.368,363.212,355.754,1202.780,302.097,381.050,306.814,433.137,45.112
319.601,610.125,449.371,326.636,406.629,358.164,367.685,362.181,334.300,420.762,430.619,511.406,312.535,361.827,358.084,1170.645,326.530,371.125,262.721,424.260,44.018
345.896,606.520,453.450,342.416,423.843,432.127,386.081,388.628,353.479,441.401,438.500,540.112,287.904,363.779,364.188,1176.760,315.995,374.025,245.047,435.797,44.178
369.366,607.304,438.532,333.045,414.101,427.327,377.297,375.191,332.836,437.040,423.825,524.278,287.316,367.500,366.209,1144.740,338.654,340.250,269.349,430.219,42.447
327.399,593.011,440.787,329.214,428.011,445.582,380.784,384.787,335.664,426.946,382.406,518.765,282.360,379.856,376.419,1205.255,329.832,343.500,273.465,430.739,45.317
334.027,600.568,445.294,318.488,447.382,420.164,394.081,390.053,384.236,421.802,424.319,523.770,301.035,346.856,369.058,1217.830,292.108,421.050,256.767,437.310,45.921
335.536,611.179,444.604,326.536,409.820,420.600,357.505,364.670,338.279,428.228,426.062,528.957,277.640,364.067,369.141,1223.030,316.011,354.200,305.930,431.684,46.338
327.863,611.747,454.678,315.925,398.416,385.945,370.730,373.926,346.629,458.045,405.988,537.872,288.202,372.606,355.885,1220.575,294.719,380.200,277.000,430.366,46.623
341.836,615.729,437.638,328.630,402.798,447.164,369.261,372.660,333.000,435.015,394.881,510.433,291.456,352.423,343.272,1138.245,320.070,379.200,274.395,425.690,42.453
345.044,640.300,443.206,340.901,405.360,416.055,348.189,386.787,337.943,437.287,426.781,498.668,294.079,366.779,362.068,1183.595,318.589,350.650,251.140,429.127,44.902
325.787,651.560,442.400,337.265,418.820,428.745,387.189,360.606,337.629,414.782,422.906,540.845,298.035,360.221,358.293,1197.885,323.908,383.300,276.302,435.078,45.587
323.158,604.857,448.776,325.684,420.798,419.491,371.919,347.532,318.379,413.579,407.156,500.963,298.263,379.096,343.147,1162.725,301.346,362.025,267.581,421.920,43.800
354.437,626.516,437.188,322.292,420.056,415.691,379.658,404.840,345.621,446.213,431.150,513.749,288.342,376.212,362.597,1223.970,301.200,341.675,246.256,433.561,46.770
349.246,648.278,454.174,338.614,413.697,419.364,386.198,386.777,338.579,424.144,442.250,506.642,285.763,384.404,344.597,1186.250,325.546,351.650,243.302,433.130,45.137
344.683,626.718,443.340,351.660,410.067,426.618,364.919,384.351,342.150,438.589,450.569,538.166,267.342,341.135,350.246,1154.730,333.405,366.275,292.977,433.049,43.301
321.863,623.890,446.112,370.407,414.809,431.800,389.324,422.053,343.186,447.569,422.400,511.749,273.246,372.067,361.262,1196.370,313.103,334.700,252.372,434.120,45.385
353.164,628.190,449.548,389.352,390.708,405.236,385.559,385.394,348.336,449.500,419.025,495.305,283.956,367.817,380.492,1164.490,322.184,334.625,278.163,433.213,43.256
338.426,621.326,461.023,551.961,463.348,427.491,412.892,399.915,341.957,435.089,421.062,521.299,283.877,371.971,361.623,1157.545,314.741,400.225,286.349,451.164,42.899
345.891,612.143,448.923,722.482,398.011,427.655,439.874,364.904,341.879,423.911,423.894,522.455,300.368,341.212,364.063,1172.735,333.600,407.650,286.419,456.740,45.441
341.634,633.179,451.141,815.114,415.281,383.255,426.748,378.255,345.179,457.337,398.431,544.866,275.939,364.308,352.916,1159.975,322.973,436.050,279.535,462.217,47.261
339.836,595.758,430.281,872.123,411.865,401.400,458.423,379.713,323.543,424.683,403.381,475.973,266.614,375.769,344.361,1130.865,321.605,347.550,269.233,451.209,47.479
345.219,617.256,464.627,888.319,417.708,434.582,456.874,372.287,322.443,437.530,427.038,541.444,278.368,354.385,371.984,1132.555,310.719,334.175,236.814,460.228,48.547
326.328,614.890,455.899,887.620,443.506,495.818,451.784,350.340,347.529,448.842,454.206,520.781,289.412,381.615,386.581,1152.035,308.692,408.950,253.767,472.558,48.222
351.279,607.121,460.887,836.346,418.404,483.836,428.459,405.128,345.214,452.183,423.975,522.984,293.833,373.067,386.147,1179.865,302.811,323.550,290.186,467.646,47.944
333.454,633.220,454.942,865.648,422.348,492.527,446.514,367.628,331.536,448.292,413.600,556.187,273.895,377.769,388.335,1150.800,312.459,333.225,269.070,466.918,48.437
347.530,630.403,457.279,834.503,425.629,492.873,456.991,398.723,337.700,451.995,398.144,536.909,279.535,376.115,395.304,1092.110,312.789,347.150,280.279,465.893,44.726
358.071,613.505,464.000,806.500,436.506,545.509,423.234,353.830,347.929,418.188,415.025,512.187,269.535,372.712,353.000,1139.595,312.405,383.900,290.256,463.994,46.090
324.913,591.088,452.280,779.235,416.157,487.473,418.703,381.628,342.286,440.000,422.975,540.535,275.851,360.144,376.529,1136.545,325.438,344.675,262.302,456.777,45.547
323.142,587.403,457.055,782.398,400.225,480.891,447.658,381.021,326.457,442.995,421.469,516.818,284.825,393.154,352.597,1127.085,312.768,339.500,311.326,457.304,44.721
351.672,610.762,449.151,769.187,428.708,497.327,416.171,364.766,337.279,441.649,399.975,529.278,269.219,344.423,401.743,1087.420,311.373,367.475,260.465,454.634,43.531
350.426,603.513,446.290,746.642,437.135,450.509,378.153,394.128,326.079,453.589,424.281,530.342,260.544,354.837,375.974,1100.970,319.097,406.225,262.326,453.740,43.421
344.612,605.751,452.501,795.690,400.809,489.491,410.063,368.309,359.171,448.921,426.206,519.914,270.500,354.423,368.969,1097.560,309.303,377.500,271.860,456.398,44.163
330.421,604.835,458.867,746.479,379.483,492.873,427.829,387.043,342.436,449.718,406.625,538.797,280.298,348.827,385.230,1069.030,326.892,392.950,282.186,455.306,41.819
325.934,609.766,452.606,734.488,430.337,484.945,394.378,376.117,339.650,422.134,411.062,542.182,277.316,357.269,379.314,1064.925,312.514,352.825,266.628,449.178,42.056
325.716,615.443,444.381,717.611,413.045,449.891,368.072,366.074,341.886,440.000,400.637,542.128,275.237,335.731,361.738,1058.155,312.076,346.525,276.000,441.597,41.848
322.377,593.692,455.296,699.223,420.551,475.582,415.072,371.723,371.586,440.371,439.256,503.957,298.605,381.865,366.806,1093.620,322.757,329.075,275.093,451.395,41.686
337.180,614.015,445.177,694.160,458.854,452.127,394.514,399.606,345.543,437.198,416.938,489.128,283.965,348.510,355.115,1107.860,316.346,351.575,295.419,449.644,42.425
336.962,613.586,462.642,713.380,408.461,479.945,384.901,372.872,340.757,445.045,394.113,501.214,315.325,341.490,353.529,1128.560,328.914,398.225,248.163,450.952,43.950
344.262,596.234,453.832,676.807,400.270,403.473,373.532,360.085,337.700,463.183,451.375,543.160,281.412,370.577,369.880,1085.740,323.568,353.550,249.326,444.103,41.916
333.049,610.352,447.713,679.587,432.225,413.745,369.775,381.957,338.450,442.050,395.900,527.257,273.588,318.163,356.482,1085.010,315.984,365.650,269.233,439.798,42.186
350.049,615.421,443.584,642.587,421.202,408.782,398.604,402.479,333.679,432.094,436.012,494.305,275.798,382.413,354.147,1084.355,335.524,403.650,257.163,445.887,40.651
340.967,601.337,450.362,648.599,445.202,443.327,383.234,383.660,337.329,452.728,426.006,526.439,286.667,371.000,370.691,1127.675,328.065,353.800,262.605,449.458,42.757
361.607,592.590,443.745,651.931,416.775,370.509,381.108,350.149,341.221,466.743,417.306,520.460,304.237,384.346,343.419,1126.455,318.195,399.800,230.744,443.228,43.108
314.705,598.084,458.148,654.545,424.652,440.745,396.243,382.415,328.486,450.119,414.119,483.957,292.860,346.096,362.885,1080.585,319.465,384.050,268.349,442.132,40.818
340.710,611.641,439.483,630.015,413.584,415.982,381.342,360.383,328.200,409.233,427.337,503.551,287.105,358.913,352.037,1131.045,347.276,384.125,264.907,441.414,42.813
349.077,578.630,445.531,600.142,446.483,427.091,371.937,369.734,335.064,445.906,416.619,513.070,267.105,347.058,361.435,1120.155,317.324,342.075,269.884,438.122,42.128
335.497,551.187,455.394,600.322,417.652,397.782,351.667,395.606,323.500,419.450,411.300,518.802,281.430,356.587,359.864,1072.225,313.530,338.025,260.744,429.503,39.978
339.038,595.319,445.081,609.343,414.157,469.618,362.297,430.681,330.200,446.663,419.781,518.086,297.289,368.885,355.435,1085.340,313.076,321.325,274.233,441.887,40.630
304.208,593.392,444.320,572.301,394.326,393.836,353.045,371.809,353.500,474.822,436.969,527.209,281.412,368.298,341.649,1021.600,296.292,360.575,249.023,428.347,38.363
334.361,568.505,441.837,577.503,432.034,443.691,365.910,367.245,348.493,460.500,415.656,514.941,296.614,359.087,381.387,1041.945,322.162,376.475,282.302,438.455,37.515
349.164,572.538,440.937,570.813,440.483,405.873,364.550,357.745,329.621,445.158,429.781,527.369,276.342,332.760,339.974,1033.925,302.211,344.050,305.814,429.953,38.019
