0007-0009,0022-0023,0037-0064,0001-0070-0060,0049-0080,0061-0081,0064-0093,0039-0090,0049-0096,0065-0111,0086-0112,0106-0122,0124-0109,0108-0046,0105-0025,0100-0012,0079-0020,0047-0003,0125-0015,Average,Err
542.410,583.513,835.706,370.410,526.337,340.618,333.766,402.191,363.821,519.589,363.169,1235.455,482.482,784.875,670.466,278.045,452.000,408.100,414.209,521.430,51.279
520.612,592.333,832.714,351.789,552.360,319.655,310.793,400.723,356.671,508.990,358.900,1207.310,456.535,778.260,686.471,285.575,442.562,356.300,443.814,513.809,51.215
520.831,581.982,833.228,354.416,526.865,338.200,318.649,358.074,350.064,491.505,376.719,1224.930,460.912,798.183,676.241,280.980,457.054,393.900,400.116,512.782,51.891
517.710,563.473,847.190,358.328,538.573,349.582,317.441,386.521,347.200,527.495,354.137,1255.781,480.018,768.721,677.220,277.070,473.757,365.175,451.581,518.788,52.634
526.464,591.070,845.759,360.681,518.618,346.509,308.973,405.766,357.400,529.465,357.975,1253.086,470.579,821.077,710.450,272.630,453.114,365.175,422.070,521.940,53.751
520.874,588.311,840.134,358.202,552.809,345.855,329.432,399.936,371.336,515.089,357.531,1234.604,445.588,761.587,681.539,278.870,465.151,382.650,422.349,518.518,51.411
525.923,616.385,829.639,351.223,525.135,363.545,322.180,375.191,345.736,537.698,350.169,1241.898,491.333,742.442,686.340,281.985,433.643,381.500,392.047,515.474,52.002
530.710,580.579,853.317,373.807,534.719,370.364,331.559,403.862,363.036,500.257,368.762,1238.620,479.974,809.596,693.257,274.710,469.157,356.575,407.116,523.157,52.359
517.322,615.267,852.293,370.295,607.393,383.636,340.568,398.362,387.714,527.010,362.125,1312.540,427.711,808.365,688.277,283.305,473.914,378.675,413.744,534.132,54.983
536.142,592.498,857.400,370.919,538.483,415.655,334.784,363.766,359.221,490.347,358.581,1225.797,463.211,790.529,685.942,280.240,447.373,377.950,411.674,521.080,51.597
530.508,586.861,852.665,356.786,539.640,385.055,315.892,410.809,352.836,513.505,359.900,1265.273,477.237,824.894,655.366,278.635,467.757,395.650,399.581,524.676,53.331
531.743,572.938,840.305,363.991,544.101,350.200,336.117,396.074,353.907,507.584,366.494,1259.572,481.439,831.077,700.482,280.880,474.811,363.625,417.721,524.898,53.447
529.596,593.560,853.972,359.202,525.652,344.655,310.387,402.989,353.836,509.644,359.231,1227.182,448.377,818.202,681.136,276.670,468.200,359.175,451.419,519.636,52.564
516.290,581.194,830.960,357.937,564.730,382.873,323.595,409.096,367.200,527.574,371.950,1303.487,437.447,790.135,715.529,280.360,465.876,343.350,416.953,525.607,54.625
514.421,593.919,842.179,367.283,514.865,367.018,318.000,413.819,383.650,515.752,356.462,1205.257,442.070,762.173,710.927,282.480,464.643,388.625,420.302,519.150,50.232
529.995,587.579,825.741,369.816,577.101,385.782,315.703,385.426,372.493,504.238,352.031,1239.187,488.605,801.010,659.471,286.175,460.016,390.150,462.953,525.972,51.201
536.404,577.029,831.761,370.913,536.685,387.764,326.757,403.053,368.729,509.327,353.494,1203.021,492.737,798.837,705.377,289.195,473.130,348.225,436.744,523.641,50.303
502.508,592.355,859.070,366.325,552.258,333.782,344.135,409.351,356.721,530.797,359.994,1239.535,472.982,803.317,700.822,289.310,455.432,363.525,408.209,523.181,52.697
549.120,601.132,855.447,361.518,513.551,406.345,316.234,403.851,358.243,544.243,376.675,1259.759,494.202,809.712,689.220,292.475,484.270,362.700,441.837,532.660,52.675
572.716,605.832,857.526,348.093,536.022,366.073,340.595,385.872,347.914,524.723,364.656,1251.080,491.939,814.173,718.236,285.610,461.259,337.050,429.419,528.357,53.709
523.945,591.912,845.517,367.497,553.045,388.818,321.405,417.117,371.971,517.649,364.675,1209.096,480.605,748.288,697.372,283.145,489.432,365.400,432.651,524.713,49.845
540.475,575.333,853.888,362.515,562.551,388.364,325.712,371.989,358.864,510.361,365.619,1227.765,480.509,817.587,737.188,286.120,480.741,379.225,456.884,530.615,52.224
519.683,593.850,836.919,361.145,562.955,370.909,334.162,381.681,371.036,525.332,350.150,1253.096,479.789,769.894,705.010,275.360,457.973,383.075,435.628,524.613,52.231
520.858,581.689,852.515,359.985,557.944,389.455,324.622,387.362,356.950,501.307,360.975,1202.016,481.746,759.365,668.387,285.665,471.281,366.725,397.791,517.191,50.150
537.219,576.370,840.963,369.750,536.652,381.600,332.072,365.181,334.236,512.520,355.131,1234.390,447.596,815.356,705.194,279.345,468.103,388.850,458.047,523.083,52.318
536.907,599.773,851.592,364.352,566.011,341.582,329.631,381.436,357.807,493.431,361.188,1234.567,478.053,820.038,701.529,289.560,473.314,373.725,413.302,524.621,52.775
523.536,599.260,833.318,361.479,564.854,354.218,319.883,417.755,367.643,513.495,352.962,1251.936,470.386,772.106,689.723,284.765,444.130,369.500,427.395,522.018,52.197
491.683,596.044,829.606,367.988,547.742,365.436,342.928,374.128,367.064,493.604,374.562,1227.316,455.868,778.933,665.670,292.255,469.600,355.875,411.233,516.186,50.856
512.355,586.685,836.483,366.446,561.674,384.455,334.757,389.511,371.293,524.149,358.250,1235.856,488.737,771.394,677.764,278.175,479.070,340.475,425.674,522.274,51.318
530.885,589.440,853.145,358.160,542.056,373.200,341.378,399.202,366.393,510.921,356.719,1239.727,470.684,789.202,693.424,283.155,475.822,362.475,407.814,523.358,52.082
525.022,592.901,851.772,351.506,566.798,355.745,329.604,395.766,355.557,511.851,379.913,1246.310,468.228,777.615,702.571,282.885,467.281,361.625,444.488,524.602,52.386
