0001-0034-0030,0045-0032,0079-0024,0074-0012,0123-0006,0118-0058,0115-0004,0106-0004,0110-0014,0094-0021,0085-0008,0064-0017,0025-0043,0020-0051,0013-0037,0010-0021,0102-0042,0110-0045,0104-0061,0092-0074,0096-0089,0122-0035,0090-0066,0090-0121,0080-0105,0070-0109,0079-0082,0071-0077,0061-0088,0054-0096,0044-0077,0062-0075,0054-0072,0043-0088,0026-0066,0046-0122,0038-0111,0026-0095,0023-0103,0019-0088,0006-0069,0010-0081,0010-0098,0026-0111,0017-0113,0005-0119,0003-0107,0009-0122,Average,Err
514.517,546.497,658.628,285.152,459.255,722.712,307.018,352.170,390.339,711.539,444.000,520.190,522.247,362.062,545.109,1147.143,493.192,410.560,374.650,414.878,427.875,429.407,378.659,396.555,457.000,470.775,381.569,506.623,416.565,408.050,365.750,322.086,659.724,430.198,726.819,428.114,440.672,378.420,428.899,457.219,465.626,452.202,555.718,440.750,453.481,522.757,417.595,480.711,476.702,20.191
527.897,507.123,591.479,274.886,436.585,730.525,279.527,319.604,373.946,768.391,368.812,528.831,459.742,387.446,479.906,1504.206,512.040,467.580,522.275,510.811,506.642,443.198,378.114,383.610,474.300,371.550,378.792,455.116,406.841,404.133,373.143,309.700,704.086,390.642,754.369,428.707,443.086,369.217,397.101,427.927,393.538,409.538,548.116,426.059,457.887,590.571,501.027,527.067,483.452,26.754
514.897,510.877,549.149,324.924,408.628,713.449,332.091,385.377,404.518,759.357,455.900,529.246,487.371,378.754,556.656,1629.857,470.734,451.580,446.625,434.500,498.692,422.543,413.750,370.725,444.350,409.200,391.556,497.377,398.029,386.217,339.089,298.129,605.310,434.462,745.388,405.724,460.276,374.116,414.290,414.062,476.835,419.356,536.967,391.897,459.575,533.386,470.811,570.533,485.982,27.888
542.293,540.230,583.314,262.457,408.011,698.059,332.218,418.868,390.107,710.539,357.100,504.993,410.449,382.692,496.812,1610.111,466.633,409.320,449.825,380.676,436.392,432.704,458.977,392.135,409.683,413.663,398.889,458.609,394.899,423.367,364.625,316.000,634.362,385.274,879.400,440.724,469.345,394.797,405.928,386.542,432.440,425.423,528.536,445.412,466.491,545.843,525.892,487.289,481.424,28.249
545.672,536.428,580.331,283.857,447.298,747.271,323.655,373.981,429.821,757.348,407.800,528.662,430.135,408.600,606.453,1495.524,478.746,438.120,427.650,440.270,471.000,454.864,401.500,403.825,439.717,428.062,398.181,481.725,452.841,392.983,342.911,345.729,606.759,392.321,856.413,415.057,459.207,319.710,391.971,404.302,434.418,444.413,537.785,430.735,465.217,520.686,566.892,500.622,488.489,26.400
576.897,533.791,556.810,254.143,433.968,757.407,379.400,363.509,408.732,750.400,410.712,484.183,466.292,382.169,489.297,1618.190,464.288,344.780,442.375,456.365,459.633,405.296,489.182,363.505,414.133,425.462,412.722,553.725,383.754,455.567,400.393,331.629,611.103,399.519,1031.444,417.455,479.672,420.058,405.072,436.562,430.099,478.115,571.602,415.809,460.651,524.643,497.919,479.067,494.323,29.511
518.431,524.642,614.008,296.486,467.053,745.297,317.145,386.189,413.589,740.139,369.175,511.437,492.079,370.369,527.203,1482.016,454.571,439.940,499.300,458.973,519.158,424.877,456.932,399.010,441.683,435.550,402.597,475.101,426.986,412.400,342.321,327.629,564.897,420.340,1038.638,420.740,510.517,413.826,368.957,431.260,456.264,433.788,512.354,438.147,458.179,486.571,503.676,511.444,492.956,27.038
543.224,508.738,632.669,281.514,429.734,723.627,337.982,413.094,402.268,756.974,388.012,502.282,438.944,353.277,543.031,1176.730,468.085,396.620,491.675,427.122,457.425,394.543,451.295,394.685,450.967,386.462,346.000,449.681,445.565,403.633,372.161,316.557,556.069,394.623,1139.581,419.187,440.552,357.159,407.478,448.083,432.593,442.663,594.685,422.750,438.821,557.871,501.811,513.111,482.325,24.265
531.776,497.775,620.860,286.819,438.521,683.915,307.255,346.774,368.393,667.704,367.413,532.472,510.573,357.015,503.453,1049.603,465.356,402.140,470.825,429.838,451.300,447.543,442.250,387.905,439.467,401.300,368.000,521.652,413.609,416.383,415.143,271.243,520.328,446.915,1170.019,442.228,465.879,351.391,390.493,430.396,426.978,452.596,511.663,456.147,453.189,550.729,475.486,480.356,475.814,22.552
578.586,525.882,549.702,300.686,467.309,670.042,341.109,396.679,355.446,711.522,358.863,514.838,438.629,390.600,497.750,820.270,468.949,366.200,447.925,421.000,462.742,404.111,408.091,371.120,451.700,419.700,356.583,532.696,380.638,335.983,403.125,300.143,496.983,404.849,1056.169,430.805,483.052,380.435,435.870,416.969,411.352,411.163,545.337,438.324,443.896,554.200,450.243,510.733,464.979,18.906
568.483,559.102,584.331,305.419,475.064,725.797,354.964,363.736,363.982,749.904,391.812,492.197,461.989,356.185,536.062,719.159,503.955,401.940,453.425,423.946,483.317,416.704,487.614,394.760,435.283,386.788,421.278,532.348,416.652,375.833,370.554,276.771,527.328,415.613,1111.812,408.943,449.121,385.681,387.551,406.802,421.626,426.875,526.309,423.618,450.340,524.500,410.595,441.800,468.914,19.447
542.931,517.813,617.314,296.238,422.489,726.534,310.636,382.830,374.893,735.113,367.175,503.007,474.000,368.446,541.453,712.778,507.226,398.000,508.350,448.770,480.917,412.988,460.227,383.050,406.750,459.663,382.778,538.043,391.116,374.867,402.857,290.914,542.621,422.585,1162.375,397.008,457.276,398.362,429.899,433.438,442.165,442.894,529.989,367.412,453.858,524.957,492.027,503.333,473.758,20.134
585.138,529.406,591.694,284.533,436.213,733.890,358.273,347.623,392.000,740.383,399.050,486.585,429.719,357.477,551.188,645.952,485.525,384.820,552.275,445.662,484.708,431.753,411.614,403.640,476.917,377.863,369.306,507.478,412.362,377.083,395.339,322.314,535.983,382.755,1161.737,433.179,441.879,370.304,434.551,419.281,438.758,440.423,506.409,416.265,453.358,520.686,504.054,501.222,472.263,19.781
571.793,516.155,589.802,326.667,475.904,687.602,307.964,401.094,359.500,708.261,346.850,489.951,522.730,381.554,533.141,540.079,500.605,369.840,661.075,409.284,478.400,428.889,457.364,381.835,378.600,393.150,344.667,556.304,420.377,422.567,354.982,325.886,546.638,439.283,1165.631,445.740,422.155,344.986,382.449,454.000,441.604,452.673,544.436,410.765,406.028,548.486,604.892,482.956,473.658,20.005
516.466,536.786,574.438,318.724,436.255,754.102,306.182,369.057,415.500,727.409,360.750,538.134,481.562,342.662,518.953,563.254,505.045,416.480,903.675,415.905,529.450,399.444,467.455,379.795,447.933,420.137,386.069,595.739,376.319,346.167,378.446,331.714,597.776,419.868,1160.119,382.976,436.586,332.565,438.290,439.469,480.242,434.885,568.657,419.912,449.406,561.243,546.919,489.400,483.715,21.909
566.621,536.631,614.992,344.171,484.915,755.737,378.618,360.226,375.768,728.174,377.200,493.387,520.202,412.262,511.516,587.079,496.424,423.580,1008.275,485.730,577.517,401.259,468.659,398.935,455.383,414.738,434.569,641.449,426.667,427.033,402.946,316.700,514.241,372.972,1203.487,459.740,488.293,327.420,392.507,458.729,378.099,448.654,577.022,401.441,432.868,567.071,519.000,507.822,497.432,22.997
526.052,509.781,678.702,348.419,480.564,678.314,282.927,364.415,351.536,755.783,435.500,511.268,477.730,381.646,541.016,507.381,474.181,424.920,1131.400,415.986,584.567,411.481,420.841,360.075,450.700,403.600,447.694,669.971,410.362,426.317,389.339,303.143,590.966,346.292,1111.244,443.220,520.603,358.478,395.812,413.438,455.462,434.702,527.564,466.368,433.519,560.529,432.270,467.533,489.867,23.630
489.517,524.267,769.215,354.438,439.947,696.703,293.236,403.472,365.554,793.704,405.012,524.042,474.067,353.262,538.703,521.556,487.333,430.220,1265.575,433.851,570.558,405.074,461.386,359.350,412.350,420.038,459.694,831.493,421.101,403.667,376.857,297.457,599.793,398.509,1028.162,405.049,500.983,353.623,376.957,403.583,427.484,478.875,533.923,414.662,448.632,538.386,576.622,502.822,499.391,25.795
