0001-0034-0030,0045-0032,0079-0024,0074-0012,0123-0006,0118-0058,0115-0004,0106-0004,0110-0014,0094-0021,0085-0008,0064-0017,0025-0043,0020-0051,0013-0037,0010-0021,0102-0042,0110-0045,0104-0061,0092-0074,0096-0089,0122-0035,0090-0066,0090-0121,0080-0105,0070-0109,0079-0082,0071-0077,0061-0088,0054-0096,0044-0077,0062-0075,0054-0072,0043-0088,0026-0066,0046-0122,0038-0111,0026-0095,0023-0103,0019-0088,0006-0069,0010-0081,0010-0098,0026-0111,0017-0113,0005-0119,0003-0107,0009-0122,Average,Err
1211.086,1110.957,2165.157,1088.429,716.809,1014.627,635.418,543.264,884.679,990.287,636.775,438.535,539.213,509.785,439.516,445.571,473.650,478.460,542.150,926.405,764.892,483.420,495.068,440.605,555.667,464.062,486.528,471.072,545.594,508.000,515.857,502.957,665.690,537.160,621.913,614.228,419.897,478.174,460.986,660.031,428.813,533.885,476.762,617.250,617.726,2402.457,527.351,754.911,684.203,55.891
1221.034,1085.759,2114.579,1053.867,753.064,1012.602,576.273,592.472,876.589,985.574,626.275,431.190,532.876,523.600,454.141,450.302,452.768,468.800,494.650,896.541,772.717,484.407,474.977,423.220,506.217,440.000,457.500,473.232,567.957,544.333,458.571,527.443,675.259,488.566,652.094,580.984,418.828,430.087,494.841,663.917,436.484,499.202,477.348,571.559,594.736,2331.114,552.811,767.489,674.351,54.585
1187.690,1099.267,2115.983,1182.048,741.936,1036.136,608.873,572.528,851.661,995.026,639.825,430.944,481.809,540.677,450.125,423.317,457.808,479.600,519.800,904.068,752.875,453.296,476.591,444.275,520.283,494.300,440.569,477.841,545.217,510.717,474.786,544.029,606.914,472.038,608.194,577.276,380.052,454.812,508.551,631.000,462.549,519.385,487.912,589.324,617.547,2336.514,512.838,680.511,672.902,55.032
1208.224,1048.952,2115.240,1126.762,760.787,981.492,577.527,566.000,863.375,946.478,633.013,412.113,503.247,522.862,461.984,433.127,465.853,588.580,538.600,910.919,769.142,471.123,452.068,425.545,524.400,466.613,451.361,447.449,554.725,536.783,516.768,515.429,699.517,436.613,633.469,559.902,373.379,423.609,485.696,620.490,471.198,522.673,490.354,607.324,543.368,2279.129,557.027,729.378,671.451,53.834
1267.741,1044.091,2074.198,1071.676,725.309,1025.220,586.091,556.208,878.911,964.522,608.825,396.113,557.730,499.169,478.250,372.889,456.915,521.080,555.950,967.662,761.942,524.593,510.818,429.755,536.567,462.637,442.833,511.130,537.986,546.167,511.696,525.786,653.966,486.774,644.006,605.870,386.879,432.203,475.159,631.948,431.220,515.817,479.586,612.235,593.755,2320.100,526.378,745.333,676.077,54.094
1184.224,1139.947,2166.083,1082.067,722.617,1055.983,571.709,561.642,799.536,968.087,597.538,416.859,525.809,505.538,479.797,391.968,462.938,466.760,516.200,910.865,757.433,470.272,508.841,427.750,496.500,462.925,465.111,463.609,567.261,494.550,501.929,549.186,663.086,469.500,647.400,571.667,358.466,458.667,509.681,680.365,451.044,511.692,475.403,540.500,598.255,2405.071,572.486,713.533,673.299,56.345
1210.879,1116.011,2144.645,1149.895,727.777,995.636,562.873,535.925,855.893,933.330,651.888,419.831,547.910,483.369,469.703,421.540,453.023,469.300,508.525,961.486,740.483,440.667,521.523,435.515,509.833,452.175,445.694,487.493,540.797,555.500,539.750,508.614,640.310,482.698,653.788,595.398,375.310,436.217,451.101,642.625,456.670,514.856,490.475,569.279,632.840,2424.471,524.270,790.844,676.638,56.570
1213.276,1120.963,2128.455,1156.762,749.926,1024.246,562.745,539.774,899.875,1012.670,624.375,409.472,481.742,500.908,456.391,428.667,431.130,513.160,522.025,939.919,742.258,437.469,525.227,430.330,555.633,427.425,448.903,509.768,570.681,503.167,500.839,540.286,715.914,460.311,630.900,550.431,374.086,450.725,498.710,626.281,457.527,506.404,478.006,555.471,598.670,2265.571,537.378,823.378,675.796,54.788
1200.414,1120.422,2099.959,1064.133,758.596,1046.415,569.764,564.094,822.679,951.530,615.888,428.373,559.809,530.708,419.953,405.667,440.644,509.520,525.200,946.716,747.317,455.148,457.500,425.665,532.117,475.988,461.222,478.232,608.826,533.217,487.839,541.486,658.207,469.962,614.475,596.325,398.069,444.522,494.971,666.885,483.044,504.413,491.420,552.324,627.132,2403.986,493.108,710.956,674.892,55.424
1187.897,1139.016,2017.306,1097.362,757.957,1052.059,584.764,545.113,841.911,1011.539,621.987,420.401,551.921,506.077,430.375,462.413,437.192,511.320,538.375,1016.338,747.017,473.765,539.227,425.225,566.450,479.738,442.806,504.000,553.014,510.983,494.071,559.286,707.259,470.708,645.350,568.472,362.845,408.536,479.725,725.917,453.231,504.279,481.022,590.515,603.736,2396.214,528.568,796.911,682.296,54.902
1169.345,1138.139,2192.645,1097.219,726.777,1103.271,535.182,557.491,910.696,935.991,631.763,433.070,561.607,501.262,481.734,412.254,447.282,498.840,562.050,914.959,769.858,490.111,506.409,421.600,585.567,447.000,459.236,469.348,555.130,582.150,496.839,531.529,746.914,502.406,616.056,624.545,383.052,415.870,478.261,651.458,442.758,521.769,493.370,597.441,598.566,2371.500,546.568,753.644,684.803,56.125
