0050-0038,0075-0050,0075-0065,0038-0040,0036-0084,Average,Err
476.792,592.700,643.458,597.784,676.259,597.399,30.271
506.983,601.283,646.242,575.624,606.778,587.382,20.626
452.000,603.874,619.177,552.408,678.506,581.193,34.027
446.742,618.502,622.891,618.568,678.599,597.060,35.119
445.972,625.103,589.021,593.087,668.926,584.422,33.503
474.652,644.552,622.378,596.955,669.840,601.675,30.378
522.416,664.265,634.013,565.310,646.895,606.580,24.077
472.972,641.668,600.771,635.024,637.994,597.686,28.647
504.989,658.484,615.570,589.115,609.130,595.458,22.617
485.343,666.484,604.547,615.819,625.148,599.468,27.180
464.949,679.753,640.383,590.460,616.068,598.323,32.598
462.281,661.377,617.708,572.735,625.130,587.846,30.779
475.787,632.691,573.201,601.669,631.247,582.919,25.874
473.876,622.318,600.078,606.321,671.086,594.736,29.230
499.247,633.906,628.797,611.300,654.037,605.457,24.518
471.882,679.762,606.453,591.749,639.512,597.872,31.257
471.618,626.960,619.672,603.101,660.988,596.468,29.163
467.848,665.587,609.479,647.098,663.599,610.722,33.193
510.674,613.776,605.836,621.739,663.438,603.093,22.496
510.955,617.211,611.167,579.279,606.099,584.942,17.530
433.871,628.278,630.484,555.317,612.593,572.109,33.222
532.607,632.628,639.453,616.265,656.253,615.441,19.391
469.697,616.309,619.508,590.317,683.525,595.871,31.375
469.601,616.215,629.581,610.627,648.043,594.813,28.586
437.933,575.054,609.331,597.209,613.648,566.635,29.396
483.034,626.587,629.685,582.481,604.938,585.345,24.105
456.730,599.744,623.721,584.948,652.648,583.558,30.157
463.989,578.870,622.443,611.808,603.469,576.116,25.883
482.646,598.565,612.224,563.564,620.062,575.412,22.477
441.090,570.188,628.708,598.791,645.179,576.791,32.444
416.854,571.516,576.010,603.467,616.605,556.890,32.202
484.848,609.036,625.940,624.185,685.500,605.902,29.486
488.315,613.996,606.896,583.516,576.531,573.850,20.120
474.893,617.251,606.776,589.958,611.031,579.982,23.845
488.180,588.090,598.896,574.387,608.481,571.607,19.333
482.393,565.924,590.026,609.059,624.012,574.283,22.310
476.135,591.803,619.169,613.226,618.019,583.670,24.449
471.174,643.744,589.703,613.794,631.463,589.976,27.780
445.871,587.435,616.245,585.129,661.290,579.194,32.243
472.404,571.381,594.430,592.997,627.519,571.746,23.618
451.157,571.395,617.833,583.024,667.556,578.193,32.103
506.298,548.924,616.344,608.091,614.099,578.751,19.660
464.438,583.879,611.781,588.373,612.278,572.150,24.644
471.860,581.135,602.388,572.265,625.080,570.545,23.530
474.444,516.744,583.331,596.638,649.309,564.093,27.546
469.680,554.108,607.823,620.882,614.809,573.460,25.522
477.860,540.493,629.755,613.084,638.988,580.036,27.599
461.938,549.614,644.534,626.024,643.846,585.191,31.677
543.910,582.054,625.841,611.882,658.198,604.377,17.399
481.758,573.969,597.128,589.052,601.568,568.695,19.889
503.624,538.045,600.591,633.819,625.352,580.286,22.778
511.961,558.309,617.148,574.296,664.667,585.276,23.274
461.961,611.049,591.062,589.289,694.253,589.523,33.290
472.152,628.839,596.086,576.603,643.451,583.426,27.022
454.404,1013.229,589.344,617.544,631.420,661.188,83.581
481.017,1294.067,610.245,579.599,643.963,721.778,130.260
433.107,1482.632,654.018,590.094,631.253,758.221,165.616
452.500,1585.552,623.479,644.077,677.086,796.539,179.818
479.933,1588.309,624.779,634.230,652.691,795.988,179.296
489.270,1641.852,624.279,593.596,700.642,809.928,188.481
450.135,1619.184,637.458,594.115,597.123,779.603,189.879
473.539,1500.767,626.901,587.798,663.272,770.455,165.768
464.365,1455.964,591.727,585.599,612.667,742.064,161.319
479.421,1470.350,612.513,599.118,609.580,754.197,161.668
480.652,1456.242,598.112,600.373,634.037,753.883,158.765
447.096,1400.090,612.945,591.404,631.148,736.537,151.198
481.893,1400.547,648.862,610.272,628.679,754.051,146.899
480.607,1339.659,633.052,592.265,655.000,740.117,136.728
460.034,1279.664,628.065,602.293,576.389,709.289,130.102
502.320,1184.861,647.159,645.439,701.302,736.216,104.572
496.449,1114.946,641.164,620.895,660.562,706.803,94.796
475.556,1113.789,626.414,603.589,684.864,700.843,97.269
463.163,1023.368,629.935,603.561,602.148,664.435,84.408
487.517,959.422,615.672,587.634,642.167,658.482,71.249
491.916,860.224,635.633,583.652,617.772,637.839,54.440
480.646,844.390,649.174,621.352,639.568,647.026,51.905
470.382,739.906,583.133,589.066,657.506,607.999,39.883
463.831,648.650,600.302,593.672,651.883,591.668,30.524
491.399,664.408,613.669,598.317,617.543,597.067,25.610
473.961,635.982,648.906,632.822,675.772,613.489,31.926
411.865,601.951,624.690,590.223,669.105,579.567,39.391
441.657,570.583,605.732,528.429,597.809,548.842,26.842
478.854,560.695,624.607,585.415,652.148,580.344,26.704
469.101,579.973,641.711,590.624,614.716,579.225,26.398
463.860,553.587,617.695,613.544,660.401,581.817,30.450
468.674,566.444,620.458,606.192,616.333,575.620,25.396
439.028,581.502,621.706,587.091,657.142,577.294,33.214
498.697,593.709,629.253,559.007,609.895,578.112,20.533
466.725,525.816,619.536,635.331,663.068,582.095,33.027
471.107,557.982,618.122,581.321,663.735,578.453,28.842
504.129,569.031,651.695,594.042,653.160,594.412,24.922
494.955,546.323,631.094,611.331,615.963,579.933,23.024
462.680,537.767,631.318,618.819,598.531,569.823,27.938
533.927,559.520,638.151,579.972,603.074,582.929,16.017
474.337,560.897,627.674,611.540,632.679,581.426,26.504
452.556,520.422,615.341,619.397,628.420,567.227,31.062
460.191,529.901,613.820,597.854,672.944,574.942,32.764
473.584,553.148,643.247,600.627,638.006,581.723,28.157
462.798,570.969,628.839,622.446,655.494,588.109,30.578
490.067,572.578,641.292,626.164,587.500,583.520,23.685
472.708,529.278,602.552,590.889,644.019,567.889,26.890
469.275,546.915,632.901,614.307,627.191,578.118,27.957
484.871,541.552,628.250,592.101,659.469,581.249,27.792
508.489,576.767,661.102,605.756,674.654,605.354,26.915
