0050-0038,0075-0050,0075-0065,0038-0040,0036-0084,Average,Err
685.309,637.596,393.776,608.460,307.043,526.437,66.350
702.444,679.170,377.602,615.739,254.605,525.912,79.580
679.579,631.161,385.096,630.965,276.525,520.665,71.446
666.157,690.045,391.495,594.171,262.667,520.907,74.433
669.073,681.803,379.112,645.275,293.920,533.837,73.240
677.118,689.377,399.755,626.007,299.352,538.322,71.015
704.461,640.184,395.594,617.934,262.235,524.081,74.806
705.944,640.686,386.703,636.352,282.636,530.464,73.821
704.607,668.834,388.375,632.136,272.654,533.321,76.531
706.337,671.843,390.682,629.129,280.130,535.624,75.559
712.045,657.193,395.495,611.756,278.019,530.901,74.185
690.354,620.063,385.083,636.408,299.889,526.359,69.002
733.096,655.300,390.380,604.084,277.377,532.047,76.349
695.758,661.256,385.469,640.551,273.000,531.207,75.857
680.135,669.628,407.385,623.916,276.173,531.447,72.197
719.949,667.404,378.940,642.801,278.870,537.593,78.302
729.225,679.224,393.172,594.268,309.623,541.103,72.873
725.365,668.121,391.984,625.331,268.259,535.812,78.414
705.466,683.395,389.854,628.780,271.241,535.747,77.591
713.247,685.040,403.570,631.296,264.580,539.547,78.449
671.573,660.812,392.086,639.122,299.049,532.528,69.682
720.528,674.058,393.966,620.923,252.951,532.485,80.138
674.006,699.614,371.128,644.387,270.086,531.844,78.834
704.067,687.771,386.083,633.756,268.216,535.979,78.745
694.433,691.341,389.057,610.561,267.340,530.546,77.049
682.629,710.556,399.315,638.199,282.809,542.702,76.152
697.331,657.435,394.906,627.923,268.926,529.304,74.896
710.871,681.964,379.427,621.411,263.494,531.433,79.461
711.719,656.489,389.469,594.056,280.623,526.471,73.485
683.719,696.502,399.531,607.603,265.796,530.630,75.947
705.388,660.117,405.823,618.321,298.284,537.586,70.517
701.562,716.372,381.427,619.105,269.568,537.607,80.428
721.596,700.928,417.115,606.516,268.173,542.865,78.038
704.848,677.399,374.982,640.070,291.210,537.702,76.202
717.213,700.839,392.690,645.760,277.093,546.719,79.763
717.090,696.202,399.102,644.003,276.716,546.623,78.874
715.494,663.345,383.029,659.585,283.457,540.982,77.656
702.315,685.390,396.880,647.101,274.963,541.330,77.375
673.404,703.695,401.969,660.254,273.160,542.497,77.273
736.904,687.960,391.122,650.007,289.278,551.054,79.292
703.663,695.861,379.927,631.470,278.037,537.792,78.401
698.579,705.758,405.365,639.293,273.759,544.551,77.818
756.876,691.363,400.432,670.446,263.000,556.424,85.281
692.157,669.960,411.372,635.509,292.802,540.360,71.222
700.938,667.776,401.609,627.014,272.611,533.990,74.905
724.888,668.641,386.292,648.021,271.080,539.784,79.585
723.320,715.735,400.365,644.533,267.117,550.214,82.185
735.702,699.794,389.930,657.948,271.698,551.014,82.860
696.764,710.587,397.867,652.432,279.222,547.375,78.550
717.601,685.655,416.909,662.014,273.142,551.064,78.332
667.337,709.484,394.711,637.997,269.241,535.754,77.168
739.506,678.677,404.688,634.446,259.722,543.408,81.182
712.185,659.592,397.956,627.571,271.599,533.781,75.800
688.770,694.108,380.010,656.369,271.747,538.201,79.237
681.404,690.211,401.255,629.094,280.136,536.420,74.084
687.798,699.552,390.740,660.321,292.790,546.240,76.151
730.652,687.834,411.245,646.735,286.889,552.671,77.314
721.298,655.655,392.901,630.676,283.944,536.895,75.265
711.348,700.215,395.357,640.794,287.895,547.122,77.308
733.848,679.309,411.013,645.822,287.772,551.553,76.882
711.663,661.341,397.057,652.972,293.302,543.267,74.349
703.331,663.722,388.680,638.328,289.000,536.612,74.160
707.725,646.493,406.786,650.732,276.012,537.550,74.603
689.517,671.426,396.557,629.906,265.642,530.610,75.662
704.770,661.130,401.758,641.101,272.160,536.184,75.583
707.539,648.646,390.409,630.094,280.407,531.419,74.132
725.680,668.229,394.560,631.557,259.130,535.831,79.814
693.781,637.188,397.341,669.498,284.284,536.419,73.632
748.152,701.390,395.589,655.753,285.914,557.359,81.653
677.882,690.013,389.023,660.857,276.031,538.761,77.094
702.843,703.610,394.372,634.265,271.772,541.372,78.820
703.354,667.587,406.935,657.533,286.914,544.465,74.414
731.989,674.686,418.302,672.798,277.698,555.094,78.768
702.169,717.704,400.188,659.289,266.438,549.158,81.504
696.090,683.018,413.904,642.934,300.840,547.357,71.621
707.994,699.915,404.357,662.404,287.364,552.407,77.520
704.242,678.152,378.396,641.300,289.623,538.343,76.188
725.208,684.960,397.258,640.488,268.346,543.252,79.883
714.758,689.951,409.930,657.753,274.704,549.419,78.421
708.719,711.507,405.453,623.568,323.864,554.622,71.725
709.174,685.982,397.286,663.160,290.562,549.233,76.749
741.421,693.780,409.273,667.655,295.333,561.493,78.780
734.382,671.668,411.312,674.693,262.901,550.991,81.487
718.713,672.762,395.880,656.481,293.253,547.418,76.029
676.725,705.341,395.849,642.648,280.469,540.206,76.080
701.820,669.601,401.714,632.418,285.685,538.248,73.568
742.236,655.027,401.932,636.641,294.383,546.044,75.545
743.213,641.188,410.914,667.840,273.660,547.363,78.793
734.865,674.601,389.818,642.136,269.395,542.163,80.568
727.258,686.175,400.909,652.129,279.049,549.104,79.002
714.635,680.067,391.732,653.551,279.889,543.975,78.121
723.764,646.641,388.258,633.456,272.963,533.017,76.933
725.826,714.242,397.667,655.359,268.296,552.278,82.832
733.657,694.857,411.138,660.962,277.506,555.624,80.101
719.124,690.027,404.302,675.355,290.099,555.781,78.111
699.534,734.058,408.643,661.875,280.228,556.868,80.318
734.416,714.511,417.857,644.878,296.407,561.614,77.762
706.180,693.395,379.026,656.188,266.833,540.324,81.284
723.680,710.179,422.380,638.906,279.623,554.954,78.229
739.382,690.457,398.307,650.321,246.802,545.054,84.965
695.618,702.283,402.065,628.052,281.401,541.884,75.944
711.236,659.251,407.906,618.077,276.685,534.631,73.832
690.539,668.063,398.888,637.655,278.648,534.759,73.940
723.792,701.502,413.997,654.206,289.228,556.545,77.537
716.522,710.480,403.107,656.017,278.877,553.001,79.941
721.287,704.673,426.068,641.526,289.333,556.577,76.087
705.989,677.058,393.831,676.948,286.352,548.035,77.581
