0001-0104-0059,0001-0088-0076,0001-0046-0063,0001-0043-0048,0003-0018-0088,Average,Err
793.235,472.198,625.343,758.798,402.753,610.465,68.671
779.394,444.186,624.507,748.319,405.015,600.284,68.433
773.553,479.093,608.207,722.231,410.440,598.705,61.862
759.847,485.738,640.807,726.597,415.417,605.681,60.069
728.906,467.291,624.036,754.382,412.795,597.482,61.206
747.406,453.680,626.371,708.639,400.095,587.238,61.574
709.476,467.750,608.829,753.109,435.866,595.006,56.502
779.182,429.157,658.121,769.441,398.637,606.908,73.127
731.847,444.977,577.757,733.181,390.229,575.598,63.458
780.271,447.314,621.843,706.924,401.280,591.526,65.376
720.794,437.163,645.793,719.420,407.324,586.099,61.196
803.959,440.663,602.014,730.130,424.723,600.298,67.719
788.482,471.221,606.943,755.950,381.315,600.782,70.512
784.471,448.552,611.007,752.025,410.351,601.281,68.164
739.782,478.669,650.571,778.034,417.393,612.890,63.570
759.712,432.767,627.736,735.849,415.866,594.386,65.252
791.429,448.221,587.379,741.870,401.652,594.110,69.032
766.318,444.122,630.029,718.034,406.955,593.091,64.442
780.482,430.052,599.100,779.134,411.801,600.114,71.823
780.559,428.215,593.893,746.378,401.765,590.162,69.968
757.212,460.919,632.114,735.206,420.667,601.223,61.814
743.788,453.436,598.471,754.097,399.110,589.780,65.035
765.465,446.238,623.186,729.025,408.970,594.577,64.669
767.688,462.657,602.107,721.966,430.887,597.061,60.139
751.947,443.779,618.271,745.710,393.554,590.652,66.706
773.282,441.965,664.400,727.534,409.634,603.363,66.812
754.841,458.256,659.700,730.483,405.485,601.753,64.024
721.841,474.884,619.779,750.071,400.021,593.319,61.051
784.612,465.430,646.779,727.807,410.315,606.989,65.253
796.394,465.808,622.486,731.025,400.908,603.324,67.479
778.388,459.640,623.714,695.294,413.458,594.099,61.900
789.447,458.244,664.443,724.706,410.312,609.430,66.701
774.965,462.948,608.543,700.197,393.122,587.955,63.744
754.929,451.552,646.543,739.966,415.289,601.656,63.844
785.041,458.448,652.257,742.143,415.812,610.740,66.501
778.629,465.517,631.157,703.307,415.786,598.879,61.827
837.800,446.070,611.921,751.197,410.122,611.422,74.471
758.029,446.669,645.571,748.546,381.369,596.037,69.382
763.212,458.157,607.279,778.790,420.244,605.536,66.614
762.288,428.971,637.943,708.861,425.887,592.790,62.908
775.429,431.081,629.871,724.601,409.030,594.003,66.938
819.271,435.221,662.407,711.916,399.077,605.578,72.627
802.582,423.884,649.657,729.269,409.854,603.049,71.370
799.388,441.971,644.107,728.546,422.360,607.275,67.673
826.482,446.017,630.771,727.529,406.423,607.445,71.947
758.865,412.407,628.593,719.731,399.429,583.805,67.676
737.135,432.622,592.407,769.622,424.747,591.307,65.111
753.235,432.453,653.550,739.345,430.479,601.812,64.049
776.112,424.488,629.743,717.256,388.036,587.127,69.442
749.229,440.174,642.707,745.836,409.277,597.445,65.498
799.359,465.273,644.450,722.319,424.774,611.235,64.778
792.776,434.064,657.893,725.668,398.137,601.708,70.591
764.176,462.843,639.914,768.134,409.869,608.987,66.746
755.606,430.407,668.814,735.782,433.604,604.843,64.410
728.400,448.349,638.586,761.500,411.506,597.668,64.050
753.988,462.360,634.379,704.441,406.979,592.430,60.570
724.865,471.070,660.857,715.231,393.238,593.052,60.566
744.776,468.541,614.986,733.357,383.527,589.037,64.034
761.535,451.174,655.479,758.529,408.905,607.124,67.146
767.771,438.953,621.993,751.218,393.470,594.681,69.267
790.759,465.436,674.821,759.311,413.696,620.805,68.708
737.129,440.093,668.857,757.920,405.426,601.885,66.902
758.982,415.395,614.721,733.609,409.396,586.421,67.180
759.494,434.622,673.414,733.878,400.220,600.326,68.121
780.076,420.767,626.943,693.450,409.851,586.218,66.096
793.141,461.802,664.243,733.945,418.717,614.370,66.423
713.141,428.715,652.507,746.151,413.015,590.706,63.494
736.541,419.233,646.857,755.206,403.051,592.177,68.143
730.288,439.919,670.943,718.588,400.304,592.008,63.642
746.288,421.913,645.400,738.761,415.220,593.516,65.837
778.641,453.994,668.514,756.454,411.190,613.759,68.441
756.535,468.843,618.621,685.025,410.268,587.859,58.152
759.982,462.523,652.029,724.555,419.943,603.806,61.665
758.353,468.971,650.914,750.277,407.574,607.218,64.556
759.588,426.663,622.843,710.916,411.932,586.388,64.119
761.847,413.279,660.157,721.824,389.324,589.286,70.237
762.394,448.314,620.436,706.315,412.476,589.987,61.892
740.553,446.453,668.686,735.895,413.116,600.941,63.699
733.782,433.971,623.293,739.492,407.985,587.705,63.743
738.118,488.715,619.529,751.769,427.113,605.049,58.185
775.747,476.826,641.700,725.933,407.744,605.590,63.392
746.912,442.360,618.821,729.429,420.815,591.668,61.741
762.094,439.157,653.557,732.420,429.292,603.304,63.761
787.724,455.390,613.407,761.420,420.461,607.680,67.625
771.818,427.488,593.543,733.555,438.464,592.974,64.189
767.782,431.680,638.964,753.185,413.196,600.962,68.222
761.488,442.506,650.321,751.811,414.970,604.219,66.516
793.829,439.942,593.836,758.424,420.375,601.281,69.450
755.624,463.622,630.979,746.685,406.396,600.661,64.117
753.471,462.506,627.471,749.231,405.173,599.570,64.324
729.088,461.326,609.779,753.794,415.661,593.929,61.136
792.135,460.965,586.843,733.487,411.946,597.075,66.200
730.747,446.453,627.364,756.622,404.943,593.226,64.426
772.418,443.297,630.236,748.941,405.357,600.050,67.902
768.976,453.721,649.279,771.349,411.542,610.973,68.309
749.859,466.640,643.764,708.958,414.905,596.825,59.410
766.941,413.023,632.293,745.702,412.182,594.028,69.339
712.124,473.413,617.650,768.416,406.226,595.566,61.554
736.488,444.837,656.729,784.954,417.199,608.041,67.297
769.235,452.628,624.336,726.689,432.390,601.056,61.673
803.029,462.052,663.036,756.462,413.167,619.549,69.771
791.947,466.390,642.157,754.761,417.536,614.558,67.129
759.435,443.488,645.093,775.916,407.604,606.307,69.199
771.718,434.262,635.386,754.223,422.690,603.656,67.339
782.459,439.203,599.029,754.639,403.693,595.805,69.716
752.559,450.384,626.007,748.790,409.312,597.410,64.746
765.335,466.773,617.157,767.282,407.048,604.719,66.478
774.559,466.919,609.857,730.332,424.982,601.330,61.931
748.135,461.547,622.079,724.878,424.476,596.223,59.307
757.741,459.878,629.407,717.655,395.613,592.059,63.461
744.235,431.035,605.771,706.588,414.929,580.512,61.025
746.671,460.122,611.114,760.966,418.363,599.447,63.278
741.982,475.855,637.429,760.739,423.991,607.999,61.145
785.518,456.297,614.893,786.689,428.363,614.352,68.868
776.353,436.564,630.357,751.181,410.065,600.904,68.603
756.276,483.215,610.750,762.933,418.655,606.366,62.420
776.847,456.663,660.336,739.605,414.551,609.600,65.994
758.900,419.849,652.121,764.849,420.771,603.298,69.185
778.488,450.953,619.021,753.937,429.235,606.327,65.450
737.747,413.843,638.121,745.391,413.679,589.756,66.456
766.641,481.401,618.243,739.176,405.390,602.170,63.052
797.947,467.913,587.343,732.361,397.586,596.630,67.889
737.794,421.215,634.536,733.021,396.232,584.560,66.383
748.365,471.372,625.686,756.861,411.893,602.835,62.981
807.071,470.948,629.450,729.181,411.455,609.621,66.985
755.759,458.953,593.964,735.752,440.815,597.049,59.301
