0001-0104-0059,0001-0088-0076,0001-0046-0063,0001-0043-0048,0003-0018-0088,Average,Err
611.476,1570.936,2056.721,415.870,344.777,999.956,307.513
635.400,1565.547,2014.857,388.013,357.792,992.322,301.289
590.629,1624.558,2051.471,404.059,355.235,1005.191,312.025
628.171,1553.419,2085.193,421.651,332.170,1004.121,310.005
629.129,1595.878,2041.143,424.408,358.226,1009.757,304.585
644.012,1628.692,2027.257,418.185,341.893,1012.008,306.472
622.006,1589.035,2043.636,414.773,344.158,1002.721,306.699
618.776,1575.698,2053.786,419.202,347.976,1003.088,306.571
609.376,1552.436,1921.250,406.643,348.598,967.661,288.281
645.759,1589.378,2066.343,395.798,350.887,1009.633,309.573
601.447,1564.855,2064.350,412.475,343.548,997.335,308.987
611.247,1533.616,2111.586,433.059,350.018,1007.905,310.811
628.994,1579.035,2001.643,399.025,358.524,993.444,299.911
622.447,1545.151,2069.143,409.828,340.759,997.466,307.615
628.376,1557.151,2030.014,409.559,347.232,994.467,302.260
630.588,1599.558,2024.393,411.689,346.146,1002.475,304.560
623.600,1539.581,2108.314,419.992,362.146,1010.727,310.089
628.424,1583.884,2016.879,416.979,332.289,995.691,303.229
656.082,1545.448,2023.700,401.332,356.301,996.573,299.095
633.606,1516.500,2032.243,411.660,347.077,988.217,299.219
595.812,1618.721,2033.357,411.399,338.104,999.479,309.746
583.365,1575.506,2011.486,425.735,351.449,989.508,301.844
625.235,1599.622,2058.179,412.244,348.527,1008.761,309.143
607.765,1554.122,1989.364,406.571,347.548,981.074,297.711
621.400,1548.762,1931.457,404.891,351.872,971.676,288.604
625.000,1525.593,2006.300,394.462,363.542,982.979,296.636
627.106,1534.669,2016.243,415.840,343.524,987.476,298.603
618.453,1579.302,2051.871,391.521,341.580,996.546,309.277
626.241,1545.035,2038.550,408.546,345.229,992.720,302.894
634.629,1546.052,1997.964,424.870,346.286,989.960,295.649
667.365,1596.442,2035.629,420.105,345.057,1012.919,303.533
611.947,1597.198,2007.971,418.181,353.312,997.722,301.989
621.076,1555.599,2067.143,446.870,353.741,1008.886,304.255
614.894,1560.116,2088.557,419.471,362.259,1009.059,309.213
637.759,1497.680,2089.314,418.992,347.881,998.325,305.177
614.488,1603.116,1987.179,404.521,338.312,989.523,301.912
648.000,1548.680,1982.543,409.870,344.289,986.676,294.460
627.941,1568.006,2047.400,418.168,348.030,1001.909,304.741
610.653,1564.953,2058.600,396.588,347.732,995.705,308.601
626.424,1603.052,2067.857,416.433,354.595,1013.672,309.820
630.671,1619.291,2055.721,428.739,332.964,1013.477,310.151
608.188,1655.477,2113.971,421.634,346.539,1029.162,321.333
620.929,1550.430,2127.664,385.803,352.789,1007.523,317.120
636.106,1575.122,2047.036,403.261,347.426,1001.790,306.033
634.947,1643.390,2083.079,410.433,363.723,1027.114,314.263
641.206,1552.913,2078.586,400.903,343.351,1003.392,309.053
649.800,1514.622,2038.400,393.441,350.366,989.326,300.341
606.129,1516.820,2017.371,394.929,350.545,977.159,299.505
589.347,1580.360,2029.779,429.248,340.655,993.878,305.038
605.894,1630.523,2043.350,392.777,348.443,1004.198,312.065
620.576,1569.326,2055.943,395.718,348.539,998.020,308.068
624.606,1558.669,2035.450,412.643,358.923,998.058,302.069
634.318,1613.494,2101.843,399.714,349.244,1019.723,316.609
601.665,1575.797,2078.379,414.353,353.497,1004.738,310.738
618.941,1594.971,1991.464,396.903,334.619,987.380,302.513
639.929,1554.041,1980.557,390.971,325.149,978.129,298.131
626.665,1618.372,2037.993,395.286,359.667,1007.596,308.195
636.676,1612.663,2025.357,392.550,347.521,1002.954,306.816
638.012,1570.535,2103.564,409.113,347.369,1013.719,312.956
645.553,1583.093,2022.886,425.891,336.750,1002.834,302.085
630.024,1571.273,2091.250,416.139,367.991,1015.335,309.400
609.253,1558.215,2001.100,410.420,352.048,986.207,298.863
621.941,1622.436,2098.107,406.723,365.833,1023.008,315.448
623.147,1651.052,2090.279,407.059,351.375,1024.582,317.734
650.247,1593.035,2044.621,396.521,362.375,1009.360,305.651
628.194,1514.657,2045.979,411.479,346.244,989.311,301.355
616.253,1558.965,2026.736,412.878,343.527,991.672,302.603
