0059-0047,0036-0041,0036-0055,0020-0009,0038-0115,0052-0095,0075-0096,0103-0061,0102-0035,0089-0037,0063-0028,0035-0012,0075-0069,0034-0017,Average,Err
578.967,577.256,484.389,1426.190,484.281,539.500,731.340,560.732,584.329,626.880,1144.197,676.029,645.199,578.371,688.404,68.837
587.361,562.424,468.967,1442.810,488.150,533.877,718.776,535.768,556.082,625.783,1132.188,641.993,672.037,650.429,686.903,69.758
553.731,552.440,473.488,1454.467,468.611,517.179,692.532,604.463,565.200,624.000,1164.227,630.787,643.985,613.629,682.767,71.804
574.489,569.314,465.332,1425.524,510.533,541.311,713.929,585.037,601.271,672.072,1123.779,653.449,646.140,610.771,692.354,67.427
567.976,583.424,472.746,1425.533,487.533,565.189,749.865,605.476,589.718,628.193,1165.261,631.574,653.125,673.857,699.962,68.703
560.104,588.120,477.828,1489.486,507.401,497.660,788.962,565.305,572.376,657.651,1156.067,641.434,630.816,609.086,695.878,73.233
564.282,545.304,479.541,1416.619,495.365,544.991,770.917,574.463,585.459,642.157,1162.636,658.699,640.728,675.886,696.932,68.785
578.425,580.741,475.623,1458.990,493.880,540.830,773.000,561.146,561.965,590.349,1183.897,660.787,689.257,596.657,696.111,72.323
567.700,570.304,473.094,1425.667,477.251,540.962,732.071,566.049,630.188,644.313,1141.606,628.132,643.096,619.971,690.029,68.612
576.273,572.288,471.529,1428.800,527.479,555.142,739.269,607.512,564.624,680.096,1148.427,646.184,636.051,580.286,695.283,68.386
603.081,564.605,463.975,1422.914,506.958,542.500,713.994,557.037,589.859,611.277,1144.261,617.324,635.110,612.829,684.695,68.567
598.037,581.333,474.041,1415.324,512.605,566.123,722.513,556.598,599.129,682.108,1146.815,640.809,641.235,594.257,695.066,67.358
611.518,569.929,490.410,1519.495,513.671,538.406,713.090,550.963,620.000,655.229,1157.742,686.809,655.868,675.714,711.346,72.924
592.989,564.608,472.070,1475.343,503.545,549.509,713.526,599.012,576.871,645.108,1093.585,648.566,619.721,693.029,696.249,69.125
594.685,577.861,468.508,1432.895,499.575,556.132,734.840,582.585,558.612,630.904,1117.664,627.463,640.081,669.543,692.239,67.791
598.333,560.074,476.980,1484.086,492.389,562.406,757.904,590.646,574.306,677.434,1117.385,665.287,660.684,680.914,707.059,70.157
591.903,580.638,457.393,1505.962,494.689,533.915,764.340,572.049,604.671,632.554,1136.642,657.096,635.757,676.971,703.184,72.677
576.954,538.408,458.656,1479.057,493.515,530.387,737.692,549.671,598.824,663.205,1135.985,622.706,622.971,574.657,684.478,72.414
601.498,563.553,446.758,1496.876,480.533,549.840,755.795,556.878,567.859,719.554,1120.839,631.860,650.963,614.514,696.952,72.525
579.271,577.741,455.410,1445.886,483.419,490.849,703.173,564.890,582.376,712.205,1096.758,622.765,613.110,667.286,685.367,69.164
581.782,562.472,477.139,1524.495,499.401,515.189,731.417,547.378,596.176,689.108,1135.818,645.757,664.059,584.343,696.753,74.207
571.513,547.414,478.832,1521.410,509.251,570.226,711.974,532.012,615.000,645.036,1147.279,662.140,658.868,590.943,697.278,73.894
599.273,552.660,465.311,1466.619,524.389,528.802,720.910,585.024,629.541,639.169,1141.076,627.404,635.213,587.229,693.044,70.464
590.874,556.848,466.750,1482.429,520.323,549.179,736.712,558.939,589.776,633.181,1118.230,613.956,627.684,595.286,688.583,71.020
587.469,551.521,448.156,1352.876,467.006,498.642,741.872,610.000,577.471,635.096,1145.203,618.537,623.434,631.743,677.787,66.115
573.965,565.314,453.820,1407.162,492.293,570.009,783.340,595.720,597.576,620.867,1127.206,656.316,634.522,628.429,693.324,67.102
587.207,577.773,481.127,1541.010,488.473,536.717,737.833,572.695,620.035,615.614,1144.345,635.507,633.544,643.171,701.075,74.733
576.544,582.424,478.439,1484.229,528.353,562.925,761.955,559.610,580.812,675.675,1195.915,645.721,647.316,696.314,712.588,72.464
564.949,539.023,470.016,1426.962,470.168,500.226,708.763,551.622,600.824,659.084,1129.436,639.721,656.978,625.743,681.680,69.347
559.599,548.207,457.340,1462.829,495.150,538.962,702.647,569.146,601.741,621.313,1129.339,615.081,627.772,594.400,680.252,70.958
589.106,545.592,471.254,1518.276,500.186,549.274,708.167,535.573,588.388,641.590,1166.821,651.125,646.544,647.514,697.101,74.555
572.121,576.660,471.619,1477.848,506.515,582.491,729.449,554.037,594.600,698.880,1179.233,635.103,630.529,671.914,705.786,71.867
607.196,543.595,449.275,1505.562,488.048,499.387,727.551,583.366,620.647,690.470,1186.864,620.713,687.375,613.600,701.689,74.973
583.542,578.117,474.475,1541.952,489.862,516.991,761.308,489.915,629.471,665.747,1174.373,642.971,656.265,524.057,694.932,77.613
