0059-0047,0036-0041,0036-0055,0020-0009,0038-0115,0052-0095,0075-0096,0103-0061,0102-0035,0089-0037,0063-0028,0035-0012,0075-0069,0034-0017,Average,Err
1494.621,560.508,552.594,410.400,501.683,571.274,361.006,485.878,388.365,392.699,495.279,716.618,349.699,791.114,576.553,75.746
1521.941,594.207,530.381,400.067,500.174,571.415,358.942,490.195,410.941,368.518,482.842,689.846,328.103,757.400,571.784,77.409
1527.086,579.123,524.918,427.371,525.784,597.783,359.936,493.927,396.812,367.193,484.388,767.368,340.831,754.029,581.896,78.015
1485.938,554.618,527.844,415.990,488.808,543.340,365.141,454.329,366.729,354.928,479.336,713.897,340.765,772.371,561.717,76.143
1510.859,567.867,540.664,404.448,497.862,546.509,364.782,434.341,394.753,395.313,487.939,767.471,357.228,766.771,574.058,77.278
1527.249,563.518,521.557,428.724,515.976,580.811,354.269,474.244,380.259,379.325,505.558,717.500,327.279,668.971,567.517,77.074
1518.350,540.379,537.152,398.400,517.713,598.717,357.853,517.976,389.106,388.048,492.203,779.103,335.912,714.286,577.514,77.343
1480.914,558.754,544.992,386.619,511.371,576.019,363.853,455.585,421.541,441.867,467.667,758.743,349.544,818.857,581.166,75.476
1531.648,546.576,529.742,399.714,517.557,621.887,368.026,470.549,372.776,382.699,487.336,808.493,331.257,756.600,580.347,79.542
1554.934,581.181,521.967,425.924,517.659,586.877,369.769,485.183,363.765,380.229,472.036,723.493,344.426,700.657,573.436,78.995
1505.976,541.858,540.959,423.743,506.042,601.208,362.750,465.402,366.012,392.482,467.588,731.978,336.199,669.229,565.102,75.999
1508.300,526.984,528.357,404.619,513.018,571.868,360.519,470.390,360.247,362.639,471.064,681.257,346.574,695.914,557.268,76.300
1546.866,550.443,528.816,397.171,490.084,625.906,356.955,458.220,411.188,383.988,462.724,720.294,355.559,781.286,576.393,79.462
1527.559,569.278,543.463,395.571,513.826,559.509,364.635,490.805,371.282,399.783,486.076,671.199,381.213,726.486,571.478,76.452
1534.115,584.453,533.270,396.057,525.192,563.358,356.487,500.049,404.353,381.241,495.230,777.500,336.176,743.200,580.763,78.527
1508.337,577.744,530.238,400.695,538.240,594.274,346.397,532.195,393.847,361.120,494.706,719.588,335.618,749.686,577.335,76.698
1588.905,558.709,519.594,407.952,500.228,602.123,351.936,443.232,381.388,450.506,489.882,735.875,337.287,639.800,571.958,80.793
1535.412,567.294,556.193,429.810,489.036,594.075,381.987,552.646,396.659,434.289,484.315,749.191,343.132,727.714,588.697,76.732
1543.617,583.906,539.508,396.352,551.287,571.689,360.622,472.598,411.435,386.988,508.306,726.529,330.449,691.543,576.774,77.963
1521.707,565.388,529.848,417.571,476.090,595.368,379.135,502.280,410.118,410.277,494.770,695.265,331.676,761.600,577.935,76.470
1526.471,544.155,511.049,377.038,522.886,552.557,358.468,517.000,376.341,364.578,484.118,714.309,342.735,666.971,561.334,77.400
1451.784,560.786,534.148,398.476,498.575,568.491,354.212,462.829,390.318,424.217,484.079,724.213,359.044,730.943,567.294,72.369
1525.214,578.294,516.480,424.800,512.844,576.283,364.353,463.159,391.800,394.530,477.927,728.103,330.868,702.571,570.516,77.071
1508.110,566.058,525.643,403.695,508.240,576.189,368.577,472.098,419.882,396.590,494.270,711.779,331.603,841.829,580.326,77.307
1566.890,597.032,526.381,431.476,504.952,603.868,353.513,507.963,383.776,421.410,483.827,717.000,349.618,718.457,583.297,79.077
