0001-0061-0035,0001-0091-0099,0001-0049-0095,0001-0065-0081,0001-0067-0105,0001-0061-0107,Average,Err
292.652,293.478,283.835,343.581,365.980,451.985,338.585,24.024
292.671,272.470,298.622,339.341,384.838,455.985,340.655,25.806
296.854,289.045,284.157,341.042,388.778,479.603,346.580,28.473
295.834,280.081,304.630,317.443,365.242,416.162,329.899,19.095
294.974,292.502,293.984,343.593,407.889,423.603,342.758,22.340
295.234,277.628,317.118,324.437,357.374,461.721,338.919,24.592
293.362,278.263,298.268,319.269,390.485,456.176,339.304,25.928
290.583,274.000,305.260,339.479,379.303,453.059,340.281,24.906
287.933,278.008,310.630,337.593,407.596,442.809,344.095,24.978
299.092,286.773,318.197,341.551,372.990,419.824,339.738,18.592
297.225,273.231,347.835,355.275,387.576,488.103,358.207,28.280
299.287,274.340,387.701,330.629,383.242,453.132,354.722,24.552
288.624,281.190,382.827,334.419,371.838,503.926,360.471,30.430
290.014,275.239,367.181,361.569,394.556,467.971,359.422,26.345
292.568,273.745,406.094,333.437,379.081,454.824,356.625,25.876
290.833,280.700,484.906,334.234,360.394,468.647,369.952,32.723
293.614,281.267,483.496,345.078,391.242,512.118,384.469,35.980
299.363,285.401,462.276,331.868,386.202,508.147,378.876,33.743
286.654,277.619,466.835,325.048,394.040,489.544,373.290,34.027
294.769,273.745,418.150,340.701,382.101,475.544,364.168,28.472
294.557,272.085,404.654,345.461,397.667,460.118,362.423,26.679
290.615,270.219,354.213,371.784,350.030,472.132,351.499,26.503
288.902,265.595,341.512,347.437,385.747,456.985,347.696,25.619
302.444,285.575,305.850,339.443,363.141,489.956,347.735,27.989
309.270,288.441,309.520,388.551,388.949,440.441,354.195,22.463
313.772,271.955,322.386,366.395,373.909,450.412,349.805,23.027
308.807,283.049,306.732,372.401,397.141,487.632,359.294,28.480
318.741,278.377,310.882,374.988,371.556,457.294,351.973,23.697
316.636,273.838,303.102,353.180,393.566,508.441,358.127,31.503
311.910,278.287,307.165,349.395,399.172,452.603,349.756,24.366
313.226,282.360,358.528,354.988,396.111,483.000,364.702,26.111
309.617,283.000,363.433,353.719,424.545,484.882,369.866,27.737
311.755,290.158,354.047,334.431,388.152,464.176,357.120,23.268
304.408,283.259,365.520,354.036,396.545,462.118,360.981,24.039
304.248,281.429,324.362,347.826,366.687,473.294,349.641,25.241
301.502,282.235,317.118,351.090,373.990,471.603,349.590,25.489
293.574,276.397,321.457,358.808,360.273,431.882,340.399,20.917
303.856,281.405,307.260,336.132,407.808,464.103,350.094,26.465
304.188,265.073,313.110,334.653,390.657,485.059,348.790,29.246
300.180,272.555,333.000,328.114,410.263,497.647,356.960,30.907
299.391,269.049,303.213,349.281,392.677,478.765,348.729,28.721
300.722,285.251,308.709,350.030,379.273,472.118,349.350,25.870
291.157,261.190,310.717,328.060,389.283,454.412,339.136,26.411
298.289,277.393,308.472,330.593,403.081,552.206,361.672,38.346
297.004,282.858,336.449,329.868,380.485,473.456,350.020,25.861
297.109,280.607,301.795,333.246,391.838,452.941,342.923,24.869
296.804,279.397,317.276,341.024,403.889,503.500,356.982,31.243
294.416,278.826,308.268,341.832,417.101,455.235,349.280,26.634
295.929,286.899,316.031,338.174,410.020,464.912,351.994,26.343
292.846,283.393,315.543,327.222,390.333,512.750,353.681,32.250
290.534,285.713,313.551,326.120,416.364,490.647,353.821,30.580
295.655,287.486,308.748,334.096,399.222,524.176,358.231,33.817
301.505,285.089,304.638,329.060,380.202,480.926,346.903,27.415
292.220,268.960,322.339,367.204,378.636,537.824,361.197,35.867
293.000,290.806,343.205,343.695,412.828,504.500,364.672,30.443
298.872,290.668,370.953,331.299,389.737,465.897,357.904,24.472
294.270,283.623,367.913,350.269,406.394,489.206,365.279,28.378
285.762,282.377,386.346,333.946,403.990,511.044,367.244,32.208
297.818,271.429,419.354,369.946,433.010,506.897,383.076,32.934
295.353,278.583,441.047,332.665,389.333,495.897,372.146,31.871
291.254,287.324,497.748,331.060,394.040,515.838,386.211,37.691
291.265,275.227,491.197,335.275,388.465,473.500,375.821,34.126
289.965,279.130,446.661,342.078,366.758,515.588,373.363,34.342
296.702,273.903,402.858,361.479,388.364,501.147,370.742,30.411
293.163,280.223,381.661,331.257,433.222,510.485,371.669,33.048
293.891,280.409,355.417,343.395,395.172,472.897,356.864,26.313
298.559,282.162,331.992,352.395,398.313,468.353,355.296,25.686
304.499,283.696,327.047,347.964,377.293,531.309,361.968,33.231
298.497,288.267,313.016,357.575,380.606,477.809,352.628,26.415
295.047,277.826,312.654,320.216,399.727,461.676,344.524,26.497
295.924,270.704,299.433,329.635,376.596,472.662,340.826,27.604
293.931,273.154,326.780,332.090,399.465,476.147,350.261,28.022
295.547,283.474,324.220,349.431,381.071,492.559,354.384,28.494
296.747,278.858,334.299,335.281,415.646,451.824,352.109,25.282
290.524,279.842,307.520,334.210,410.374,485.441,351.318,30.043
292.124,284.757,315.835,342.766,388.030,491.412,352.487,28.979
293.936,282.632,324.102,350.257,366.535,476.368,348.972,26.134
294.676,280.433,330.244,338.683,356.364,482.368,347.128,26.838
295.435,274.980,307.236,350.910,374.313,480.647,347.254,27.913
286.995,263.822,317.984,351.886,378.848,454.926,342.410,25.777
296.971,281.899,310.937,357.156,372.475,490.000,351.573,28.440
299.018,281.255,312.016,379.240,398.828,448.074,353.072,24.477
299.261,287.498,300.189,357.802,387.970,507.838,356.760,31.226
297.066,282.996,317.787,338.287,394.364,480.353,351.809,27.592
296.933,278.664,362.157,338.084,384.727,481.706,357.045,27.105
295.066,296.692,323.732,349.533,404.535,512.015,363.596,31.030
292.994,287.765,305.307,351.293,397.364,461.103,349.304,25.661
303.866,296.899,335.000,324.425,390.566,463.765,352.420,23.793
302.976,304.069,327.528,330.970,425.404,484.971,362.653,27.954
298.935,290.000,320.772,345.012,408.768,523.368,364.476,33.057
294.687,294.899,296.134,332.850,375.495,443.706,339.628,22.408
294.359,289.623,324.409,357.599,404.182,511.162,363.556,31.296
305.055,292.186,313.449,333.144,421.636,466.662,355.355,26.642
291.959,272.077,335.055,330.000,461.121,479.176,361.565,32.616
294.285,274.992,359.378,345.940,463.202,493.176,371.829,33.036
299.656,290.749,355.071,351.743,485.384,448.838,371.907,29.483
294.426,280.304,358.339,359.617,471.141,500.603,377.405,33.730
297.418,286.287,333.228,359.826,512.485,470.412,376.610,34.902
303.853,297.227,329.669,328.940,461.747,491.824,368.877,31.726
300.679,299.340,334.976,342.808,448.758,501.059,371.270,31.240
294.605,274.255,326.787,346.174,474.485,478.132,365.740,33.245
287.458,278.830,379.228,360.659,444.566,470.588,370.221,29.333
305.518,286.174,433.992,363.635,415.253,498.103,383.779,30.111
295.501,298.834,486.551,332.557,419.697,529.309,393.742,37.293
294.228,276.170,523.354,361.838,436.758,515.059,401.235,40.061
296.892,284.636,527.354,364.257,432.222,511.721,402.847,39.054
298.308,296.283,493.402,359.659,410.111,504.544,393.718,34.256
303.439,280.312,495.402,354.228,405.828,517.397,392.768,36.647
292.372,298.012,417.441,339.593,403.091,477.044,371.259,27.349
296.286,299.717,370.764,339.042,409.687,502.265,369.627,29.060
300.305,287.275,379.535,329.066,400.505,482.868,363.259,27.317
