0001-0061-0035,0001-0091-0099,0001-0049-0095,0001-0065-0081,0001-0067-0105,0001-0061-0107,Average,Err
385.336,1005.194,1344.953,1348.222,2346.414,2732.779,1527.150,323.442
384.282,1006.709,1374.000,1309.521,2312.343,2810.632,1532.915,329.624
384.188,976.474,1312.787,1325.006,2355.778,2696.132,1508.394,322.639
383.139,1048.826,1346.764,1301.485,2339.455,2679.971,1516.607,316.631
386.003,1023.482,1359.630,1327.443,2312.576,2744.941,1525.679,321.617
383.092,1019.951,1338.795,1308.808,2406.768,2702.838,1526.709,325.117
386.389,988.486,1272.449,1311.246,2338.838,2665.794,1493.867,318.490
375.668,994.389,1298.961,1338.180,2438.242,2613.588,1509.838,320.857
380.281,1012.267,1326.039,1295.551,2438.475,2674.324,1521.156,325.781
388.129,979.717,1352.205,1277.701,2308.000,2694.397,1500.025,318.750
385.041,1006.101,1314.787,1349.629,2441.949,2718.941,1536.075,329.531
373.487,1012.806,1285.646,1344.198,2374.990,2735.853,1521.163,327.739
381.125,1013.267,1241.055,1292.485,2362.303,2686.912,1496.191,322.798
384.647,986.486,1276.165,1292.575,2397.980,2755.574,1515.571,332.591
385.004,997.526,1302.764,1288.102,2336.131,2768.765,1513.049,328.606
381.193,972.211,1268.402,1320.844,2315.556,2696.382,1492.431,321.115
379.230,1006.413,1288.559,1336.329,2253.636,2666.515,1488.447,311.768
381.928,1016.858,1249.866,1319.401,2309.293,2663.029,1490.063,315.599
380.025,1025.899,1256.039,1341.042,2325.313,2696.162,1504.080,319.537
376.430,1018.413,1286.709,1336.359,2323.828,2689.176,1505.153,318.821
381.765,1046.514,1320.079,1316.437,2264.263,2813.897,1523.826,326.138
383.959,1026.445,1310.496,1291.976,2395.687,2677.588,1514.359,322.177
383.559,1035.235,1329.205,1306.114,2325.374,2675.235,1509.120,315.838
380.090,1026.182,1290.024,1294.982,2309.152,2721.162,1503.599,321.053
372.700,992.223,1261.874,1312.024,2331.768,2684.544,1492.522,321.253
375.986,1028.490,1337.984,1325.030,2425.788,2655.750,1524.838,321.962
378.802,1053.700,1252.528,1280.246,2228.010,2766.132,1493.236,320.530
376.076,1023.632,1276.575,1287.383,2446.970,2763.647,1529.047,336.392
382.929,1058.004,1299.630,1315.060,2413.808,2741.618,1535.175,328.583
382.926,1021.150,1277.575,1357.395,2410.737,2691.426,1523.535,324.576
383.644,1001.559,1376.386,1308.395,2420.909,2715.132,1534.338,327.628
383.026,1041.178,1340.189,1333.868,2381.646,2814.059,1548.994,333.372
384.817,1070.215,1338.882,1361.928,2340.616,2607.397,1517.309,307.523
377.604,1027.534,1272.449,1308.856,2418.566,2765.294,1528.384,333.800
378.007,1010.109,1336.079,1302.916,2353.838,2716.588,1516.256,323.699
378.482,1011.352,1348.969,1361.874,2303.263,2685.015,1514.826,315.640
379.928,1022.275,1272.984,1325.072,2396.616,2771.691,1528.094,332.553
381.988,1061.745,1270.047,1275.862,2319.586,2736.912,1507.690,322.596
379.164,1052.372,1275.315,1336.790,2347.556,2694.632,1514.305,319.637
381.587,1064.818,1304.787,1312.413,2235.010,2692.794,1498.568,310.757
377.072,1037.202,1321.307,1328.635,2389.566,2816.485,1545.045,335.358
377.999,976.846,1347.961,1347.186,2331.394,2729.000,1518.398,323.980
384.006,1050.150,1280.748,1328.677,2307.333,2609.882,1493.466,307.707
376.168,1041.741,1294.346,1310.928,2315.030,2700.044,1506.376,318.642
375.601,1070.931,1311.819,1288.994,2336.051,2688.250,1511.941,317.909
381.507,1024.947,1358.465,1321.976,2411.768,2627.956,1521.103,317.515
380.095,1026.846,1292.976,1316.431,2331.172,2830.456,1529.663,333.762
383.476,1025.101,1327.630,1302.617,2298.707,2643.706,1496.873,311.215
381.393,1059.202,1280.102,1336.036,2295.172,2802.588,1525.749,326.849
382.161,1041.587,1333.126,1244.120,2316.212,2602.029,1486.539,308.788
383.807,1074.794,1257.323,1303.144,2359.071,2708.676,1514.469,321.540
386.500,1002.105,1339.858,1296.096,2315.646,2761.882,1517.015,325.358
378.529,1002.356,1282.614,1355.521,2333.899,2687.059,1506.663,319.623
382.427,1004.846,1246.480,1326.635,2375.788,2704.044,1506.703,325.104
386.626,1033.267,1333.402,1336.671,2427.455,2716.853,1539.045,326.753
381.241,1031.668,1383.031,1351.395,2441.242,2702.294,1548.479,325.920
380.396,1013.891,1312.063,1356.689,2419.626,2795.103,1546.295,335.651
383.531,1044.547,1315.102,1329.317,2379.566,2742.853,1532.486,326.141
385.578,1048.453,1318.299,1354.880,2402.030,2793.015,1550.376,332.090
391.680,1024.907,1376.528,1352.617,2357.232,2772.382,1545.891,326.268
391.978,1047.984,1321.433,1306.659,2403.333,2723.147,1532.422,325.196
389.423,1055.777,1299.386,1293.599,2405.364,2773.632,1536.197,331.140
389.220,1022.393,1324.669,1369.281,2334.778,2754.000,1532.390,323.730
390.603,1022.603,1237.000,1308.198,2394.646,2701.941,1509.165,325.285
385.208,1037.166,1249.646,1346.401,2367.293,2586.426,1495.357,310.718
380.503,1085.684,1285.969,1311.623,2396.374,2622.721,1513.812,314.866
387.205,1072.980,1297.583,1330.892,2411.919,2690.206,1531.797,321.988
379.372,1065.101,1341.110,1310.665,2365.394,2726.529,1531.362,322.896
385.071,1049.834,1317.583,1312.874,2367.838,2721.397,1525.766,322.963
390.432,1092.239,1335.024,1344.156,2403.515,2717.779,1547.191,322.097
389.841,1044.158,1357.378,1310.024,2301.566,2762.235,1527.534,321.795
381.715,1003.862,1309.937,1318.066,2377.414,2562.853,1492.308,310.246
383.436,1063.457,1307.220,1345.000,2361.859,2823.000,1547.329,332.422
387.164,1030.182,1360.142,1300.204,2447.040,2818.412,1557.191,338.874
382.783,1019.810,1309.740,1309.311,2387.990,2847.353,1542.831,339.288
384.954,1039.381,1283.244,1326.078,2470.798,2895.618,1566.679,349.454
381.915,1036.704,1304.843,1364.599,2436.030,2692.544,1536.106,325.392
388.244,1021.081,1309.228,1378.623,2404.535,2572.191,1512.317,311.063
386.845,1044.304,1258.677,1332.431,2356.384,2764.588,1523.871,327.543
388.375,1036.340,1294.039,1386.599,2388.606,2779.147,1545.518,329.957
382.641,1089.745,1303.685,1309.533,2392.859,2665.059,1523.920,318.099
384.826,1016.117,1328.110,1332.257,2352.465,2778.632,1532.068,328.755
387.050,1035.692,1372.724,1359.132,2392.000,2739.250,1547.641,325.238
383.560,1097.283,1308.992,1361.383,2384.030,2685.471,1536.787,318.113
383.499,1036.911,1357.559,1337.347,2383.949,2823.265,1553.755,334.283
383.637,1047.279,1349.102,1314.437,2358.879,2760.618,1535.659,326.072
385.641,1054.433,1358.417,1341.293,2334.475,2833.868,1551.355,331.046
386.834,1086.623,1313.646,1375.521,2390.707,2703.441,1542.795,320.195
386.751,1046.567,1389.480,1349.377,2346.970,2665.441,1530.764,314.013
387.680,1032.291,1334.677,1380.162,2394.657,2789.662,1553.188,331.007
382.490,1094.486,1355.441,1339.904,2446.727,2769.000,1564.675,330.881
389.130,1053.522,1333.244,1329.228,2320.020,2806.353,1538.583,327.465
385.868,1104.660,1312.197,1351.647,2354.253,2793.235,1550.310,326.679
