0045-0077,0046-0094,0055-0100,0051-0053,0061-0037,0031-0058,0046-0041,0063-0061,0050-0021,Average,Err
343.208,394.009,315.123,453.444,345.329,347.680,320.951,400.355,276.642,355.193,16.646
339.423,376.600,316.154,486.179,351.257,337.218,348.166,385.897,273.038,357.103,18.404
311.644,356.285,299.537,435.841,336.057,330.734,330.074,402.617,273.623,341.824,15.866
342.215,376.953,293.796,449.245,345.852,321.608,313.534,402.248,252.425,344.208,18.558
328.114,384.353,306.123,471.086,350.995,345.035,327.086,407.519,279.443,355.528,18.193
351.839,374.357,303.716,446.053,346.938,337.081,326.067,415.383,271.481,352.546,16.886
344.604,389.762,316.673,453.642,355.438,339.328,337.178,405.252,280.123,358.000,16.151
315.523,388.902,310.426,429.000,346.481,341.382,323.638,406.252,282.934,349.393,15.295
311.430,365.153,298.377,449.331,342.948,332.387,298.202,376.486,270.792,338.345,16.867
336.087,365.353,308.321,465.417,377.895,345.605,330.699,405.435,268.962,355.975,17.908
328.933,369.851,306.802,439.523,348.176,352.153,324.031,402.930,281.491,350.432,15.273
343.174,368.200,301.167,442.669,333.910,331.003,320.031,389.360,276.170,345.076,15.575
346.530,378.047,286.019,452.219,348.767,345.562,334.104,391.495,277.057,351.089,16.721
334.087,374.945,292.315,445.212,345.814,333.476,342.356,397.790,282.792,349.865,15.877
341.235,396.494,307.907,451.563,334.176,340.597,334.939,415.126,260.717,353.639,18.252
323.544,370.940,306.833,449.788,328.943,340.030,308.890,394.332,274.245,344.172,16.700
337.745,403.289,310.068,460.609,364.286,346.444,336.785,396.140,277.925,359.255,17.128
329.235,367.451,330.500,446.589,342.924,336.398,318.663,387.724,282.066,349.061,14.779
326.940,371.230,317.296,436.808,348.943,334.495,318.957,395.668,268.377,346.524,15.489
339.362,352.843,295.531,438.417,367.700,336.645,322.209,391.304,280.189,347.133,15.184
343.812,371.621,306.790,455.000,346.967,335.763,347.706,385.271,289.330,353.584,15.082
322.369,375.660,299.537,448.642,350.762,343.887,319.160,408.785,269.792,348.733,17.414
333.000,377.851,321.593,462.245,364.448,331.788,330.669,415.107,259.019,355.080,18.482
330.792,369.698,302.549,454.603,351.952,349.637,323.025,392.547,271.236,349.560,16.738
350.611,347.468,298.173,457.066,342.510,347.140,333.871,409.379,274.632,351.205,17.096
324.094,358.051,290.037,443.470,355.371,346.879,324.215,403.589,261.877,345.287,17.288
341.094,374.217,289.907,441.391,347.024,340.651,356.583,402.093,268.406,351.263,16.527
322.893,369.587,300.722,431.550,336.048,348.344,312.883,380.519,276.764,342.146,14.704
341.899,373.498,306.358,461.305,348.976,336.683,333.282,401.533,273.547,353.009,17.137
344.362,394.728,315.253,442.219,364.829,336.513,329.104,406.607,285.528,357.683,15.481
332.839,389.353,309.815,435.470,353.586,358.540,313.374,412.000,287.830,354.756,15.594
325.745,374.285,309.420,446.384,358.138,349.376,341.313,402.243,279.991,354.099,15.610
342.027,376.945,316.691,502.404,347.452,350.591,332.288,400.888,282.198,361.276,19.717
334.752,388.596,300.852,451.570,352.495,336.309,313.178,416.206,268.057,351.335,18.286
348.154,378.387,309.068,426.404,350.086,347.656,316.067,388.528,256.962,346.813,15.527
347.973,367.966,288.370,430.834,345.990,349.000,338.417,390.201,288.962,349.746,14.121
339.195,377.089,308.691,411.258,358.586,358.702,318.006,412.874,291.670,352.897,13.500
318.644,384.311,293.802,442.444,348.048,331.175,329.773,402.407,293.906,349.390,15.917
331.289,391.264,315.235,459.371,362.852,343.022,330.828,397.776,298.708,358.927,15.714
345.060,385.932,285.432,441.364,356.143,342.320,340.883,406.860,291.632,355.070,15.878
342.799,402.698,296.327,457.106,360.076,343.110,341.479,397.033,268.047,356.519,17.898
342.644,384.166,312.463,415.497,355.695,354.656,317.638,416.121,293.283,354.685,13.794
325.215,380.226,320.463,436.609,341.000,331.715,323.558,403.248,276.755,348.754,15.397
