0045-0077,0046-0094,0055-0100,0051-0053,0061-0037,0031-0058,0046-0041,0063-0061,0050-0021,Average,Err
638.248,1010.081,663.062,1853.139,1067.924,796.382,861.957,550.313,395.566,870.741,134.010
669.624,1047.902,668.784,1832.298,1034.557,775.780,843.331,535.827,426.811,870.546,130.671
623.497,971.906,674.938,1809.159,1080.633,794.664,849.822,545.519,413.755,862.655,129.321
660.309,1007.468,681.302,1869.099,1049.533,800.126,896.730,561.285,414.679,882.281,133.137
640.584,1002.298,677.519,1846.583,1084.667,820.944,865.681,557.145,410.896,878.479,132.283
645.664,1032.455,690.216,1914.185,1053.057,799.409,898.908,525.958,416.953,886.312,138.774
642.248,987.149,662.920,1844.682,1039.948,823.887,840.049,577.818,427.453,871.795,130.127
680.154,1019.277,694.074,1860.232,1092.500,819.997,888.687,561.902,440.340,895.240,131.280
659.423,1020.668,658.698,1916.470,1066.114,832.446,869.859,553.603,381.745,884.336,139.811
627.812,1044.306,688.716,1858.185,1067.562,845.594,871.558,538.271,396.547,882.061,134.758
619.832,1072.928,663.654,1835.033,1057.848,814.204,865.730,576.150,413.132,879.835,131.949
619.510,1005.009,665.562,1833.119,1010.857,808.298,820.785,533.500,400.613,855.250,131.845
633.396,1002.711,669.327,1812.556,1023.790,782.648,851.178,518.243,431.151,858.333,129.052
639.752,1007.089,670.660,1853.013,1025.333,802.110,871.620,530.776,391.698,865.784,133.809
649.483,1012.800,702.944,1848.073,1060.929,804.384,880.110,548.612,389.085,877.380,132.800
633.248,1019.715,648.877,1805.470,1043.871,830.801,849.221,553.005,391.387,863.955,129.762
622.248,1000.132,663.327,1781.457,1054.357,820.642,819.387,543.584,399.981,856.124,127.488
677.409,965.255,656.235,1852.265,1039.300,807.917,899.712,562.902,414.349,875.038,131.083
690.436,1017.506,659.969,1857.086,1057.986,798.124,837.350,553.500,381.472,872.603,133.924
633.027,1001.383,671.136,1836.636,1020.290,806.589,886.859,555.841,410.340,869.122,130.725
646.597,1045.289,687.340,1891.053,1054.429,818.384,856.663,556.991,404.028,884.530,136.382
629.470,1021.945,667.753,1801.377,1052.643,811.935,839.466,555.421,389.396,863.267,129.410
630.315,987.877,678.833,1806.854,1054.276,792.040,877.344,536.551,383.840,860.881,130.169
622.430,1046.111,714.228,1853.384,1089.981,809.226,870.908,539.855,422.349,885.386,133.470
644.638,1026.434,685.833,1833.344,1084.295,819.425,872.307,558.084,399.415,880.419,131.631
635.282,1011.702,648.179,1842.040,1030.757,827.667,834.436,529.893,404.198,862.684,132.884
661.013,1011.779,667.932,1804.265,1055.714,807.640,864.368,540.505,427.632,871.205,127.662
650.376,1009.498,654.352,1907.523,1056.886,826.484,865.270,539.103,418.642,880.904,137.869
