0001-0119-0076,0001-0101-0071,0001-0118-0022,0001-0104-0200,0001-0086-0168,0001-0200-0024,0001-0172-0181,0001-0250-0193,0001-0184-0241,0001-0145-0212,Average,Err
643.415,409.176,348.782,398.227,365.308,381.851,571.384,276.305,880.822,564.351,483.962,54.394
531.553,385.723,351.527,400.283,363.669,398.090,574.370,278.758,982.156,575.713,484.184,60.432
496.592,366.367,350.346,400.940,396.407,396.760,579.993,266.538,1146.066,561.696,496.171,74.393
465.140,370.965,351.369,390.740,370.782,380.236,562.405,283.936,1254.469,567.953,499.800,84.104
496.667,385.112,341.101,394.286,378.113,376.569,559.975,271.691,1283.910,589.306,507.673,87.026
476.007,374.670,353.540,392.938,398.642,394.354,572.127,270.856,1265.130,554.916,505.318,84.646
473.618,368.620,358.168,409.060,380.235,383.715,581.898,282.979,1205.631,601.396,504.532,79.750
473.990,368.697,354.067,402.602,388.448,404.222,566.651,279.856,1237.628,564.142,504.030,81.931
466.940,346.574,358.695,397.900,373.974,374.854,576.197,276.436,1092.611,571.721,483.590,70.427
464.159,371.524,347.366,395.462,381.640,411.778,595.736,294.419,1116.841,591.089,497.001,71.689
463.357,356.646,348.242,390.802,377.288,394.688,566.261,263.835,1080.579,552.638,479.434,69.194
475.957,364.761,364.379,388.241,360.015,388.226,584.655,282.564,1028.741,540.914,477.845,64.235
482.278,361.277,357.064,394.346,367.128,366.597,560.894,267.131,981.127,568.928,470.677,61.006
466.913,363.402,357.544,405.453,392.142,409.059,593.384,287.542,929.567,584.616,478.962,55.679
451.386,380.122,353.268,410.100,381.744,399.319,566.637,279.805,850.088,575.072,464.754,48.905
476.659,408.864,358.789,409.087,394.898,398.153,567.032,274.042,796.826,587.496,467.185,44.612
462.430,389.056,368.097,418.369,395.628,411.424,586.775,287.903,810.856,578.908,470.944,45.106
458.085,386.894,357.691,407.658,383.913,399.653,579.831,279.182,778.868,594.290,462.606,44.123
471.802,383.902,371.285,399.794,390.259,372.361,571.162,265.686,779.059,588.245,459.355,44.534
455.162,372.104,344.366,409.459,380.267,401.215,561.919,291.479,799.396,552.758,456.812,44.268
468.382,377.447,358.960,412.115,388.735,380.510,594.553,282.593,778.499,593.357,463.515,44.661
463.072,380.588,353.215,396.958,381.555,399.219,565.549,287.572,867.362,582.660,467.775,50.279
459.420,374.886,355.658,400.551,385.898,375.601,570.444,276.072,916.692,549.081,466.430,54.442
446.418,362.410,342.336,402.549,372.642,397.934,569.775,284.538,1056.242,585.685,482.053,66.904
448.739,367.056,348.369,400.946,381.744,400.812,586.975,270.928,1209.183,580.844,499.560,80.402
444.773,386.239,368.258,405.183,370.035,389.483,558.937,269.275,1271.557,589.401,505.314,85.508
456.225,375.372,365.312,411.480,375.884,384.059,583.729,279.233,1253.289,587.162,507.174,83.818
451.399,364.426,365.903,424.225,412.910,405.580,581.394,275.157,1217.462,595.351,509.381,80.069
434.106,371.404,363.070,396.483,381.922,397.611,556.655,291.030,1185.306,595.543,497.313,77.482
422.150,358.854,365.258,410.183,388.939,401.472,591.468,281.716,1166.822,571.407,495.827,76.147
447.577,378.673,357.054,406.385,380.407,399.483,585.553,295.419,1096.396,562.142,490.909,69.208
445.850,360.338,348.946,408.542,386.936,416.969,615.665,293.784,1095.242,582.891,495.516,70.013
437.894,358.785,359.923,404.097,383.474,435.837,692.454,285.449,1021.479,584.554,496.395,65.753
432.797,368.465,353.225,407.251,387.584,423.347,761.000,291.453,912.619,573.499,491.124,59.746
438.568,363.537,367.057,409.365,378.767,411.146,804.201,278.093,989.570,620.930,506.123,68.307
446.145,363.944,360.362,404.173,399.477,415.976,771.345,269.890,1018.191,617.632,506.713,68.974
424.157,360.370,362.201,409.682,388.465,370.760,753.842,270.648,1022.154,607.025,496.930,69.468
444.874,362.734,352.265,403.320,382.058,390.656,717.148,275.983,965.421,597.607,489.207,63.343
436.611,360.867,368.037,401.538,409.177,390.764,666.982,274.148,877.895,601.986,478.801,54.614
445.271,363.681,361.480,413.342,386.797,395.108,615.102,290.428,881.232,603.588,475.603,52.856
419.650,360.774,369.282,404.619,402.660,397.014,609.504,286.936,853.462,594.047,469.795,50.413
430.937,350.319,356.581,402.407,391.262,391.833,590.856,273.797,853.655,567.187,460.883,50.448
431.647,381.710,346.815,404.269,382.273,411.618,582.996,268.064,887.660,598.850,469.590,53.334
437.652,362.064,347.463,416.424,397.933,396.812,572.042,265.665,952.000,580.521,472.858,58.117
430.643,372.000,360.440,394.347,387.308,379.722,562.641,283.301,1091.149,582.797,484.435,69.554
413.374,364.340,349.678,405.859,379.974,407.101,581.345,278.364,1211.528,580.198,497.176,80.546
425.780,374.819,378.034,405.703,398.747,405.448,580.870,272.436,1206.379,555.368,500.358,79.025
428.698,368.465,355.007,401.804,386.535,394.667,581.521,286.746,1234.946,578.340,501.673,82.183
390.734,358.622,362.433,399.997,383.826,403.764,572.729,279.021,1223.210,602.747,497.708,81.931
438.855,376.064,369.426,414.472,384.349,384.580,592.338,276.360,1198.051,577.412,501.191,78.864
418.365,355.072,357.755,408.176,381.247,386.938,550.757,275.136,1116.631,571.607,482.168,72.010
408.671,358.582,371.896,395.557,385.497,401.069,566.306,265.008,1060.049,522.549,473.519,66.733
427.589,362.021,376.047,407.122,380.962,399.549,591.761,267.746,1093.002,585.031,489.083,70.184
447.657,366.234,361.409,413.013,398.134,387.684,588.007,274.903,1025.866,565.953,482.886,63.778
424.483,386.197,354.671,409.718,385.634,382.990,539.757,266.051,925.773,553.510,462.878,54.898
425.372,351.428,355.282,418.276,400.471,392.490,603.049,276.665,890.108,575.627,468.877,53.427
406.783,346.330,362.893,395.417,384.959,397.208,537.067,265.114,776.430,571.398,444.360,43.925
429.394,357.926,348.883,409.186,384.422,395.351,596.475,275.636,783.689,579.175,456.014,45.564
412.604,348.790,365.711,408.734,401.916,388.569,570.525,281.648,745.995,562.749,448.724,41.196
419.742,360.316,349.711,405.980,394.765,413.934,593.496,298.136,768.098,572.582,457.676,42.963
411.990,348.354,366.181,394.240,379.782,396.792,589.813,287.453,776.355,542.304,449.326,43.665
421.220,365.912,377.329,409.378,391.706,414.188,581.275,270.801,804.902,591.384,462.809,46.169
433.529,355.984,369.423,418.328,392.430,403.219,598.535,290.636,803.247,578.794,464.412,45.701
419.304,357.138,355.315,418.936,367.927,385.326,588.324,283.051,846.543,587.220,460.909,50.230
419.877,348.072,363.963,406.513,396.009,394.962,597.158,266.242,902.518,570.496,466.581,54.635
431.577,349.218,366.023,392.083,390.622,421.993,576.338,276.453,1082.494,589.850,487.665,69.044
424.068,344.402,339.252,413.501,388.613,393.340,586.775,269.742,1117.396,566.031,484.312,72.850
427.312,345.582,357.466,397.042,395.602,385.035,640.415,283.814,1153.176,586.301,497.175,76.460
425.133,355.253,347.591,403.189,379.081,390.500,626.401,287.364,1165.792,603.978,498.428,77.526
422.164,347.027,368.869,408.334,389.794,406.115,594.704,278.631,1153.330,581.451,495.042,75.314
428.652,357.987,338.534,422.249,395.483,417.587,588.761,291.941,1182.954,599.214,502.336,77.619
411.360,372.489,363.628,411.366,381.186,406.882,588.940,284.254,1147.966,598.869,496.694,74.655
409.505,378.378,379.238,399.756,390.549,405.583,616.056,285.470,1098.746,587.741,495.102,70.282
423.848,368.048,354.067,413.907,399.517,411.698,585.377,282.462,1026.785,590.889,485.660,63.885
417.171,362.444,354.319,404.728,385.398,405.590,604.504,286.928,955.408,563.309,473.980,58.231
424.297,370.420,371.440,414.920,380.901,399.812,598.380,261.479,890.308,582.209,469.417,53.556
408.111,366.564,357.443,402.631,385.578,404.045,608.923,282.398,799.337,561.306,457.634,46.150
416.222,356.218,351.121,405.988,384.331,391.087,572.842,275.466,777.176,542.978,447.343,43.658
420.522,371.684,370.946,406.017,392.334,398.875,588.215,297.331,763.631,562.231,457.179,41.711
428.541,354.136,338.564,419.605,396.177,384.372,607.408,280.966,795.286,560.387,456.544,46.317
406.135,361.133,355.517,400.647,379.058,406.441,570.106,287.682,781.567,572.412,452.070,44.019
420.133,358.335,358.517,415.371,390.265,409.226,632.915,285.555,802.198,581.125,465.364,47.273
415.906,351.606,372.866,407.019,385.439,406.316,821.197,285.898,832.198,587.872,486.632,58.404
409.906,370.771,353.520,426.022,410.151,416.941,947.486,276.508,821.645,578.799,501.175,65.312
396.749,340.657,362.117,409.054,398.131,415.181,1058.165,265.695,835.993,548.432,503.017,75.000
413.664,357.801,354.708,415.359,403.142,386.503,1010.106,292.326,949.819,589.421,517.285,76.739
424.478,358.085,366.242,414.955,399.985,411.059,906.521,293.381,1107.474,601.889,528.407,80.509
415.268,378.133,358.966,419.991,398.363,403.781,804.972,281.953,1168.978,584.747,521.515,81.151
426.384,352.066,368.906,410.945,377.430,413.285,680.423,283.445,1193.315,575.485,508.168,80.008
422.348,359.176,356.718,409.074,391.878,432.438,639.729,282.953,1176.961,594.025,506.530,77.733
424.732,352.436,371.268,396.292,387.549,424.420,603.070,278.110,1191.271,600.128,502.928,78.790
415.647,376.545,378.654,432.749,381.578,405.188,719.155,274.742,1182.117,586.279,515.265,79.611
