0001-0119-0076,0001-0101-0071,0001-0118-0022,0001-0104-0200,0001-0086-0168,0001-0200-0024,0001-0172-0181,0001-0250-0193,0001-0184-0241,0001-0145-0212,Average,Err
1419.193,1163.654,553.604,1156.177,521.721,536.017,417.060,463.839,498.308,331.409,706.098,115.430
1426.998,1155.572,519.295,1140.703,507.299,534.156,406.806,447.165,515.597,321.326,697.492,116.396
1480.121,1133.934,524.456,1120.493,502.942,529.691,417.113,455.987,501.020,329.273,699.503,117.854
1491.621,1172.644,515.869,1176.532,517.314,531.601,418.486,452.161,489.643,332.234,709.810,122.147
1570.415,1221.981,538.641,1178.523,533.140,545.587,434.197,448.987,539.900,328.791,734.016,127.370
1538.135,1173.319,536.661,1180.529,534.581,533.177,433.764,456.017,514.081,326.499,722.676,124.041
1548.756,1198.987,531.899,1152.238,531.180,542.167,416.408,468.919,525.819,320.201,723.657,124.835
1591.773,1230.551,507.926,1174.603,504.808,538.747,412.894,460.534,507.528,326.546,725.591,130.871
1580.848,1164.314,527.909,1142.634,514.776,538.444,427.137,434.695,502.699,319.061,715.252,126.649
1559.338,1205.394,521.738,1152.606,522.538,533.465,413.148,457.712,504.572,330.064,720.058,126.560
1590.411,1189.540,539.356,1168.776,531.794,538.212,415.430,455.208,484.389,323.552,723.667,128.686
1594.200,1204.894,544.215,1165.416,513.180,534.757,421.229,454.017,515.824,325.404,727.314,128.942
1655.908,1197.029,539.221,1186.997,533.331,537.594,407.162,442.415,507.039,328.214,733.491,133.952
1649.565,1210.944,525.228,1177.157,528.128,540.031,416.025,445.309,497.741,325.610,731.574,133.892
1648.630,1207.242,534.044,1177.096,534.192,526.691,417.415,449.343,504.988,327.081,732.672,133.379
1643.749,1187.035,539.805,1174.430,513.578,530.205,413.440,456.394,518.851,323.331,730.082,132.261
1650.012,1247.348,513.735,1188.587,513.206,537.878,417.021,464.407,521.638,325.234,737.907,135.284
1654.713,1191.303,530.836,1179.625,522.012,552.462,413.908,466.640,496.824,327.758,733.608,133.034
1664.773,1222.981,526.711,1190.265,526.703,532.549,409.620,446.831,503.672,324.933,734.904,135.949
1665.471,1217.261,536.158,1176.756,532.727,550.681,414.236,482.835,520.438,331.730,742.829,133.509
1690.130,1252.641,544.362,1189.621,536.186,532.017,422.644,463.318,510.394,325.671,746.698,137.549
1672.152,1169.261,536.067,1176.581,528.334,542.438,419.028,454.233,512.438,334.858,734.539,133.023
1684.367,1238.003,540.701,1200.964,523.869,547.069,399.134,445.708,520.098,328.961,742.887,137.695
1699.389,1231.003,557.027,1165.022,525.901,552.458,412.606,427.212,520.726,326.958,741.830,137.125
1693.797,1216.436,528.782,1174.269,533.410,540.927,427.014,460.237,510.822,333.499,741.919,135.875
1648.012,1216.598,552.611,1205.298,524.073,550.972,407.264,460.636,503.655,324.109,739.323,134.283
1700.848,1241.319,529.574,1170.523,528.096,554.090,426.968,433.030,513.553,329.838,742.784,137.670
1697.940,1265.112,553.933,1211.935,531.209,548.340,414.507,453.559,506.325,321.474,750.433,139.561
1723.807,1205.168,551.685,1167.497,507.439,537.024,411.500,438.119,525.743,336.440,740.442,138.042
1676.502,1199.423,535.124,1165.055,542.677,521.788,426.866,457.059,520.944,328.496,737.394,133.890
1666.964,1186.965,536.973,1175.169,531.189,564.521,424.225,464.254,500.149,327.875,737.828,132.932
1746.012,1191.918,532.933,1179.044,525.669,546.042,434.581,456.136,504.567,328.730,744.563,139.058
1716.626,1216.787,543.446,1180.201,526.308,542.524,428.377,452.339,526.293,331.448,746.435,137.485
1683.292,1231.543,538.315,1130.469,511.727,556.076,406.644,460.619,507.924,319.657,734.627,135.275
1713.012,1215.926,527.054,1144.807,508.547,527.944,396.081,448.555,507.907,327.669,731.750,138.110
1700.698,1167.535,534.107,1149.969,512.413,550.365,406.599,439.843,491.364,326.301,727.919,135.525
1716.700,1236.457,531.879,1134.288,505.244,534.163,399.004,448.903,507.765,332.772,734.718,138.462
1712.978,1242.162,534.326,1124.080,507.224,553.590,411.056,454.038,495.477,330.833,736.576,137.647
1713.543,1210.343,541.503,1155.397,527.805,541.257,409.718,449.000,498.462,330.017,737.705,137.318
1743.208,1263.848,546.903,1199.718,510.049,539.562,431.070,462.568,517.027,327.081,754.103,141.886
1734.722,1225.500,544.309,1181.334,529.901,536.344,414.996,460.983,504.044,318.365,745.050,140.019
1721.316,1249.343,522.617,1174.693,517.078,537.628,427.570,463.246,503.863,328.460,744.582,139.585
1772.058,1209.771,537.423,1179.219,509.442,561.872,418.384,447.097,512.496,327.618,747.538,141.956
