0383-0244-0015,0383-0239-0038,0383-0187-0150,0383-0224-0175,0383-0193-0180,0383-0186-0197,0383-0021-0204,0383-0241-0187,Average,Err
248.156,260.887,286.329,391.409,295.196,357.219,405.374,258.880,312.931,20.734
241.036,264.404,294.082,403.118,296.009,321.931,380.417,262.944,307.993,19.055
249.492,259.599,288.219,378.195,289.204,334.406,389.127,247.743,304.498,18.645
240.732,263.960,291.292,388.827,287.907,329.587,380.689,259.609,305.325,18.420
244.841,251.974,287.733,386.709,294.036,354.837,397.140,256.303,309.197,20.437
256.255,251.487,295.368,375.286,290.800,328.419,406.856,250.831,306.913,19.487
235.302,250.639,282.585,368.941,283.960,331.131,404.003,247.567,300.516,20.336
246.268,254.570,275.619,384.464,290.102,341.663,411.197,258.130,307.752,20.973
242.859,268.222,289.164,402.927,308.884,356.369,399.122,270.553,317.263,20.368
248.539,259.884,296.656,397.382,312.249,360.238,395.204,261.173,316.415,20.135
240.372,253.629,291.650,388.759,297.213,358.131,397.042,255.525,310.290,20.762
238.271,270.103,291.407,364.014,325.733,353.256,389.606,262.683,311.884,17.970
239.070,253.960,290.086,371.591,298.796,347.044,411.573,255.518,308.455,20.587
240.125,262.219,294.316,406.686,290.680,329.150,408.851,249.831,310.232,21.970
239.979,256.858,300.559,370.432,286.200,356.375,406.289,262.648,309.917,20.039
242.797,256.258,292.557,398.595,293.898,344.150,412.865,246.528,310.956,22.216
243.448,264.490,290.437,383.441,291.000,352.931,413.060,255.345,311.769,20.940
245.065,251.434,291.621,391.018,305.444,363.806,401.255,257.352,313.374,21.092
249.656,267.914,290.021,391.573,295.911,362.181,398.306,260.757,314.540,19.939
247.466,254.093,294.611,369.845,276.773,339.413,403.199,252.123,304.690,19.619
235.685,256.444,294.120,381.186,286.271,348.738,410.745,259.296,309.060,21.098
241.070,257.924,293.376,378.168,305.942,350.712,391.292,254.437,309.115,19.264
235.773,263.970,290.725,377.718,309.338,348.663,385.950,256.254,308.549,18.842
248.401,254.689,290.151,393.059,308.071,364.100,386.194,262.197,313.358,19.795
237.357,264.010,296.963,395.959,294.431,348.544,401.962,256.243,311.933,20.915
249.622,254.917,290.566,379.323,300.587,361.762,396.035,261.500,311.789,19.509
254.214,261.950,282.249,377.114,295.991,343.650,391.975,256.366,307.939,18.365
249.674,268.791,296.361,401.473,295.431,358.119,388.449,262.387,315.086,19.618
248.312,253.877,296.262,381.523,303.333,374.062,394.818,263.239,314.428,20.012
247.685,267.083,289.239,384.091,306.129,382.206,403.684,248.944,316.133,21.315
242.398,261.858,290.516,376.664,298.644,357.750,402.119,254.908,310.607,20.015
249.258,267.841,292.075,366.845,298.133,357.656,404.907,258.433,311.894,18.986
252.763,262.745,291.576,414.614,302.858,352.256,419.202,262.430,319.805,22.377
244.531,253.762,292.050,378.391,283.382,359.494,409.179,254.482,309.409,21.111
252.122,267.066,297.606,397.445,295.840,336.044,416.556,252.937,314.452,21.037
251.628,255.993,302.363,387.127,302.213,374.619,410.571,259.352,317.983,21.190
252.539,257.331,295.804,399.923,298.840,355.069,407.232,251.074,314.726,21.384
247.786,263.642,287.121,392.845,306.547,371.994,423.828,264.908,319.834,22.178
249.008,250.338,297.736,382.855,296.947,359.750,416.960,253.761,313.419,21.612
250.562,260.619,301.884,387.923,284.107,351.538,405.860,268.877,313.921,19.868
246.701,260.023,301.305,396.973,295.836,369.119,396.040,257.835,315.479,20.813
245.255,269.772,290.142,395.445,292.618,336.762,393.270,252.320,309.448,19.678
245.083,252.033,286.477,379.973,288.338,357.856,384.626,252.694,305.885,19.566
240.891,260.440,291.923,400.986,286.716,367.125,390.177,256.327,311.823,21.259
248.292,271.381,290.036,390.345,310.907,370.494,379.394,258.437,314.911,18.996
249.034,260.503,299.785,411.568,278.862,338.356,384.384,270.102,311.574,19.948
241.396,264.752,295.135,394.982,308.929,354.150,393.367,257.901,313.826,20.037
241.247,260.772,291.854,386.027,288.147,353.363,383.743,271.715,309.608,18.758
246.453,255.871,298.707,398.782,311.938,368.387,381.516,258.222,314.984,20.151
246.156,259.964,299.473,390.777,302.631,363.206,381.639,257.736,312.698,19.327
251.596,261.328,294.809,376.045,297.200,371.731,390.160,255.218,312.261,19.257
241.784,265.096,295.882,388.773,307.818,353.712,391.953,264.835,313.732,19.217
246.833,265.619,296.753,392.195,320.996,354.706,394.751,264.877,317.091,19.295
258.534,269.225,291.959,384.159,313.027,370.544,415.698,250.285,319.179,20.870
249.370,257.752,293.903,382.455,291.196,369.637,407.835,255.211,313.420,21.030
241.557,259.295,297.716,376.264,313.031,371.131,408.359,269.109,317.058,20.345
242.820,262.692,289.626,383.059,305.382,333.369,414.297,259.810,311.382,20.330
244.146,249.113,280.890,387.114,307.836,353.769,424.977,257.525,313.171,22.587
256.305,267.603,284.499,373.614,293.222,361.387,419.204,279.342,316.897,19.679
242.323,268.675,286.099,388.768,302.818,372.731,406.304,259.750,315.934,21.128
246.328,264.182,293.430,379.595,289.680,358.875,416.239,253.898,312.778,21.082
246.633,269.371,291.252,399.468,294.916,370.044,412.743,263.180,318.451,21.662
258.885,263.695,287.807,394.505,299.044,345.075,399.114,269.264,314.674,19.026
238.128,263.517,290.099,395.014,298.089,333.812,394.332,256.465,308.682,20.009
250.656,270.629,284.275,378.564,301.364,360.075,392.518,265.039,312.890,18.448
245.888,266.974,283.136,384.705,298.893,363.550,394.928,261.137,312.401,19.689
246.872,261.666,279.970,388.186,290.373,365.800,382.364,263.849,309.885,19.446
262.299,249.854,290.869,384.377,303.138,335.456,384.982,255.028,308.251,18.160
241.229,254.023,284.742,402.495,304.338,359.869,389.771,261.331,312.225,21.016
244.885,251.338,281.479,366.768,292.067,364.956,394.309,264.116,307.490,19.454
248.583,255.715,291.407,393.873,287.302,379.969,395.730,258.415,313.874,21.433
252.633,267.656,285.080,346.705,309.662,363.456,411.361,253.651,311.275,19.099
242.776,269.334,283.766,397.150,303.924,367.800,400.659,262.585,315.999,20.921
241.284,270.917,285.701,387.118,307.591,356.075,418.768,270.908,317.295,20.860
242.826,267.560,279.105,389.205,284.542,358.644,418.057,257.352,312.161,21.997
244.451,265.255,285.479,402.095,298.533,352.656,397.397,255.570,312.680,20.870
247.622,257.175,282.222,388.595,291.187,335.919,428.686,248.592,310.000,22.539
241.984,265.692,295.267,388.455,306.498,357.125,417.210,262.148,316.797,21.143
