0383-0244-0015,0383-0239-0038,0383-0187-0150,0383-0224-0175,0383-0193-0180,0383-0186-0197,0383-0021-0204,0383-0241-0187,Average,Err
545.602,618.735,684.813,525.241,558.773,605.125,387.583,389.109,539.373,34.913
542.370,597.123,691.034,522.332,580.093,635.169,375.676,385.366,541.145,37.073
518.044,611.725,687.264,511.541,544.102,636.725,377.699,403.687,536.348,35.863
544.422,624.616,688.873,523.268,560.898,640.150,385.755,389.141,544.640,36.757
516.328,588.060,691.634,513.718,567.662,613.119,384.778,409.243,535.568,33.935
548.195,617.228,687.886,524.105,566.547,658.275,373.082,401.951,547.159,37.366
544.005,614.377,698.692,525.259,553.920,619.962,377.421,392.433,540.759,36.602
528.396,630.705,698.026,531.250,556.240,625.225,382.172,405.947,544.745,36.150
535.188,595.013,690.183,517.336,564.729,611.544,375.117,397.996,535.888,35.148
550.786,618.930,685.753,532.918,559.622,650.019,385.384,381.827,545.655,37.249
535.073,602.775,692.488,521.591,548.956,614.844,389.344,415.039,540.014,33.436
534.497,635.821,690.277,538.664,563.569,629.969,387.711,396.165,547.084,36.212
553.310,623.801,681.886,520.636,556.631,662.819,388.396,401.320,548.600,36.377
530.820,638.205,700.508,512.336,556.618,621.300,392.376,402.715,544.360,36.149
527.255,619.480,668.781,526.159,577.551,646.931,380.404,403.532,543.762,35.373
547.424,638.123,696.542,530.123,577.889,644.038,392.664,398.708,553.189,36.833
530.422,599.354,675.574,533.655,563.804,636.381,381.097,394.183,539.309,35.000
536.042,653.738,696.987,548.764,562.022,614.356,387.451,376.486,546.981,38.183
543.922,635.970,670.989,517.755,565.036,623.275,384.377,392.835,541.770,35.420
552.451,664.199,680.344,535.227,559.942,606.906,390.240,405.718,549.378,35.340
534.656,636.566,689.129,534.950,572.556,632.869,381.441,399.637,547.725,36.586
552.565,622.891,687.604,540.473,566.387,635.425,387.396,386.926,547.458,36.420
543.359,614.159,691.490,512.132,568.636,606.788,387.856,409.588,541.751,34.152
541.823,614.791,675.602,511.855,554.493,646.250,387.162,411.947,542.990,34.451
544.685,627.245,694.699,531.505,549.293,636.013,376.386,392.648,544.059,37.352
531.443,615.834,690.619,508.941,549.800,637.712,388.165,406.264,541.097,35.366
536.221,612.695,683.097,534.045,556.360,605.275,388.115,398.081,539.236,33.899
