0001-0072-0197,0001-0135-0221,0001-0053-0078,0001-0069-0141,0001-0031-0146,0075-0005-0120,0075-0012-0134,0075-0018-0124,0075-0037-0127,0075-0055-0177,0001-0051-0194,0001-0094-0126,0001-0106-0097,0001-0136-0090,0001-0184-0111,0001-0217-0119,0133-0146-0150,0133-0139-0138,0133-0125-0164,0133-0176-0164,0133-0189-0158,0073-0183-0212,0073-0177-0183,0073-0159-0166,0073-0187-0053,0047-0177-0061,0047-0162-0053,0047-0176-0031,0040-0152-0093,0330-0248-0118,0350-0238-0158,0375-0211-0040,0336-0240-0021,Average,Err
315.563,279.003,282.959,531.000,278.624,318.483,312.487,367.480,322.838,340.180,270.156,382.478,314.311,251.723,294.582,266.196,240.515,243.832,372.841,243.588,384.443,358.310,247.600,267.043,235.916,240.556,303.767,240.027,271.710,335.368,259.438,262.722,237.963,299.203,10.632
327.367,298.825,282.596,511.772,264.307,295.449,283.133,323.975,306.286,322.315,264.973,376.127,286.858,249.963,267.779,255.378,245.062,271.466,409.406,247.311,365.136,361.770,235.611,262.165,233.597,248.690,305.383,241.681,249.500,326.245,256.246,255.105,237.946,293.013,10.205
320.472,280.045,271.941,481.757,259.184,282.891,282.703,317.843,315.895,357.876,262.327,360.799,321.868,273.759,279.459,272.258,238.701,288.870,352.217,242.215,379.379,337.475,243.695,305.482,242.565,245.175,281.669,234.111,265.725,309.269,257.615,284.113,236.761,293.519,8.889
317.206,299.487,292.466,414.112,235.400,274.429,268.810,284.343,286.567,384.848,256.082,303.816,302.274,251.492,268.664,264.622,276.897,281.068,383.428,240.548,356.786,341.095,237.363,337.951,246.701,263.595,267.466,240.587,279.580,307.929,263.869,259.090,239.512,288.730,7.825
326.744,294.389,293.512,401.029,241.360,274.973,272.615,261.081,303.562,456.865,269.884,284.916,305.574,251.068,279.098,277.142,238.351,284.460,405.123,243.288,361.843,333.590,236.353,352.396,229.734,235.889,264.940,228.181,268.475,287.929,296.485,266.820,235.222,289.785,9.338
348.070,324.990,299.578,350.951,250.928,279.231,270.385,263.348,299.543,534.421,320.299,266.381,323.279,258.733,270.197,267.324,240.485,261.466,425.138,231.277,303.286,368.290,223.137,323.128,241.896,245.365,244.489,243.434,251.750,282.028,351.415,280.887,231.778,293.240,10.895
331.688,352.201,306.082,312.573,240.365,276.578,270.144,274.960,298.286,555.573,349.435,260.953,308.847,257.602,295.344,260.633,256.031,286.627,455.406,239.158,286.893,382.530,237.300,285.854,226.578,250.024,238.323,234.322,264.140,273.751,439.377,264.406,228.204,296.975,12.379
334.467,346.975,313.155,301.126,241.603,282.095,283.887,279.712,282.786,563.702,312.864,251.649,329.921,262.785,245.434,269.124,245.649,294.497,520.341,231.797,281.643,404.690,236.458,274.061,252.240,234.770,233.316,250.003,268.640,277.530,462.031,284.241,232.032,299.552,13.714
356.126,315.720,349.586,299.636,239.987,281.048,267.744,284.263,308.895,549.910,330.299,244.552,310.637,257.644,258.279,258.029,268.619,299.031,605.406,232.864,262.307,407.545,223.974,261.994,231.110,244.429,233.534,238.982,260.450,259.735,411.969,266.383,235.562,298.674,14.813
325.688,293.175,397.956,296.311,250.624,291.660,254.815,283.576,314.262,551.815,321.986,245.518,323.605,256.555,268.623,263.956,237.959,296.329,637.848,237.548,272.300,390.400,222.216,265.890,219.682,243.762,239.699,238.889,256.640,276.241,409.523,271.699,238.209,299.847,15.482
