0001-0072-0197,0001-0135-0221,0001-0053-0078,0001-0069-0141,0001-0031-0146,0075-0005-0120,0075-0012-0134,0075-0018-0124,0075-0037-0127,0075-0055-0177,0001-0051-0194,0001-0094-0126,0001-0106-0097,0001-0136-0090,0001-0184-0111,0001-0217-0119,0133-0146-0150,0133-0139-0138,0133-0125-0164,0133-0176-0164,0133-0189-0158,0073-0183-0212,0073-0177-0183,0073-0159-0166,0073-0187-0053,0047-0177-0061,0047-0162-0053,0047-0176-0031,0040-0152-0093,0330-0248-0118,0350-0238-0158,0375-0211-0040,0336-0240-0021,Average,Err
1467.236,885.780,1164.706,511.801,1346.979,877.306,701.087,738.692,1873.614,848.084,571.633,752.652,575.189,857.942,624.098,808.273,726.216,844.944,661.428,501.158,511.007,565.800,387.811,573.402,491.870,491.952,275.090,462.250,453.225,347.383,447.808,440.887,1051.436,722.386,58.909
1523.744,907.742,1244.083,484.146,1330.920,930.694,751.097,864.556,1876.429,890.169,598.537,752.873,575.389,850.707,722.820,822.600,765.320,795.969,703.384,497.249,493.764,569.865,373.305,591.256,470.481,525.929,282.316,471.012,487.585,340.277,471.215,420.271,1065.945,740.959,60.291
1575.709,929.239,1284.422,444.782,1369.160,1020.544,842.364,935.556,1955.452,916.365,633.952,784.977,597.911,876.141,673.967,831.313,769.144,852.280,771.826,526.514,489.950,630.620,373.279,566.152,488.935,461.063,292.331,474.410,505.815,339.818,472.500,450.782,1072.358,763.928,63.470
1579.261,928.682,1287.117,481.238,1338.384,1124.878,965.903,1030.126,1931.129,925.607,629.544,772.030,590.200,878.990,691.803,816.487,789.155,834.242,809.486,512.893,471.407,603.670,376.595,451.049,489.721,475.349,292.421,472.587,517.775,342.395,501.108,424.812,1043.315,769.071,64.072
1551.271,909.672,1318.852,535.612,1413.427,1111.469,1033.036,1066.545,1937.295,824.837,627.463,799.385,607.726,871.414,692.098,830.560,744.206,836.509,897.681,526.305,461.857,613.730,367.253,374.305,508.351,473.508,296.564,484.373,555.910,352.245,458.146,440.120,1043.480,774.703,64.911
1590.126,902.137,1318.991,546.995,1382.528,1179.755,1044.631,1132.561,1895.600,685.320,527.639,846.732,593.405,836.241,681.566,793.011,752.619,836.006,874.688,528.266,507.614,616.515,351.437,370.628,479.766,516.794,317.015,483.928,542.805,365.577,456.208,437.316,1064.405,771.480,65.143
1605.070,871.580,1315.611,563.165,1343.864,1251.150,1076.887,1179.460,1933.224,603.843,474.660,856.967,605.411,870.094,686.910,811.255,722.814,843.149,844.609,546.960,516.800,604.715,379.468,374.823,489.994,496.317,315.737,484.205,537.360,351.490,365.008,430.805,1034.338,769.325,66.904
1620.422,856.277,1300.369,609.879,1345.224,1302.558,1120.267,1251.040,1943.576,559.944,425.442,857.525,575.926,853.204,689.148,818.880,793.567,814.739,806.014,536.746,495.914,533.145,396.895,359.195,510.558,525.762,345.917,483.599,571.730,373.557,340.569,453.015,1082.084,774.324,68.245
1601.467,875.615,1293.196,641.092,1367.600,1319.252,1215.754,1329.535,1969.024,535.736,413.143,884.462,609.395,885.298,675.066,820.076,772.515,792.205,659.478,563.808,539.493,537.055,372.268,379.378,463.143,489.151,353.406,476.298,575.790,389.316,327.054,463.842,1082.785,777.961,69.905
1602.407,861.869,1149.332,621.680,1335.280,1401.837,1285.846,1331.030,1918.452,541.612,404.980,904.866,589.021,841.330,724.721,798.982,749.773,769.528,492.543,532.051,569.436,556.480,359.447,404.177,508.513,496.556,366.368,472.663,584.015,390.336,324.146,455.286,1058.019,769.775,69.143
1624.221,922.548,938.340,661.165,1341.944,1321.068,1316.708,1408.742,1972.786,538.253,428.864,916.615,616.121,884.613,714.107,841.695,776.680,829.025,423.036,534.689,596.621,577.015,390.479,442.732,461.877,533.294,377.917,475.386,611.790,398.261,329.631,437.098,1058.920,778.856,69.448
1642.653,932.003,767.397,692.204,1393.051,1455.728,1353.662,1418.273,1977.457,525.118,431.769,921.492,588.663,931.084,719.811,816.091,710.381,827.143,418.087,518.328,639.164,574.095,377.321,427.287,473.734,498.929,368.729,476.139,612.370,405.221,322.977,450.308,1070.206,779.905,71.765
1596.146,918.118,642.142,697.146,1367.645,1422.435,1326.949,1444.586,1971.776,554.612,451.694,926.027,549.000,830.042,665.123,800.695,748.237,806.776,385.043,471.079,598.429,587.740,378.047,473.451,495.188,504.929,394.970,484.449,590.825,406.344,353.085,442.053,1053.199,767.818,70.367
1519.894,932.153,584.324,686.592,1379.592,1539.490,1365.359,1493.056,1888.600,636.904,486.653,947.562,581.074,897.827,604.238,809.131,758.072,803.708,411.804,459.226,609.686,587.240,381.711,507.494,492.896,458.516,403.323,489.834,599.185,415.047,344.554,460.120,1055.704,775.472,70.009
