0001-0049-0053,0001-0079-0227,0001-0132-0215,0001-0146-0232,0001-0156-0159,0001-0224-0241,0001-0209-0103,0001-0171-0060,0001-0158-0056,0001-0120-0053,0059-0127-0028,0059-0113-0028,0059-0180-0036,0059-0191-0025,0059-0176-0016,0059-0214-0012,0090-0159-0019,Average,Err
256.174,284.985,243.867,251.109,248.213,258.789,258.040,262.859,230.106,247.892,532.101,368.250,267.740,233.644,227.270,202.119,266.527,272.923,17.677
268.219,287.025,261.567,241.964,229.443,257.259,266.673,247.868,228.283,257.759,554.474,395.955,260.028,237.375,226.924,208.146,251.579,275.326,19.406
267.486,285.448,256.722,243.456,231.546,258.960,240.980,247.627,240.905,231.367,493.768,356.393,248.758,231.312,235.238,207.876,243.018,265.933,15.719
256.808,285.583,267.206,232.923,227.086,260.781,246.799,249.837,234.053,238.380,459.246,339.071,253.811,236.005,242.524,204.970,239.652,263.220,13.681
267.067,280.180,259.939,253.129,233.601,269.271,237.142,248.884,239.784,230.139,433.982,296.107,250.299,249.577,241.486,206.639,265.527,262.515,11.485
266.344,279.504,257.206,233.351,225.935,250.895,261.132,261.260,246.919,228.861,391.075,313.429,257.587,240.654,244.211,207.927,253.601,259.993,9.655
269.518,272.056,246.072,251.790,220.983,268.672,255.439,244.270,236.636,225.177,325.285,284.134,256.833,226.538,239.865,211.318,245.945,251.796,6.424
280.025,288.644,264.039,237.073,226.732,256.316,255.073,251.762,252.025,235.949,340.882,268.589,249.093,224.716,235.919,210.258,242.553,254.097,7.050
315.489,303.370,244.278,240.641,234.034,252.534,254.693,253.944,247.204,230.620,305.118,278.438,258.302,224.856,237.314,208.788,245.103,254.984,6.947
321.939,316.314,276.083,250.516,229.976,262.781,244.924,257.608,246.723,229.892,310.825,282.634,258.605,230.476,231.930,219.722,249.875,260.048,7.455
341.561,302.302,252.428,239.875,226.773,267.377,233.310,245.683,245.658,235.481,304.311,270.652,255.601,234.409,241.703,218.667,238.165,256.115,7.625
317.804,303.549,280.033,247.593,236.175,258.016,248.908,249.630,246.112,211.070,289.829,261.321,267.189,236.255,249.692,206.333,238.674,255.775,6.917
