0001-0049-0053,0001-0079-0227,0001-0132-0215,0001-0146-0232,0001-0156-0159,0001-0224-0241,0001-0209-0103,0001-0171-0060,0001-0158-0056,0001-0120-0053,0059-0127-0028,0059-0113-0028,0059-0180-0036,0059-0191-0025,0059-0176-0016,0059-0214-0012,0090-0159-0019,Average,Err
391.244,391.844,564.733,534.754,683.924,970.194,343.535,429.420,343.571,783.165,492.272,415.045,573.370,489.639,581.995,358.247,491.927,519.934,39.497
403.302,389.010,549.572,527.964,689.378,973.684,355.076,430.276,344.801,776.006,476.632,419.071,592.167,501.913,615.422,363.838,500.868,524.058,39.412
392.187,391.953,581.994,534.266,682.096,979.000,348.185,439.107,342.165,775.171,486.171,423.821,573.584,472.481,585.351,350.492,486.927,520.291,39.729
401.409,407.200,580.011,541.835,656.100,931.713,356.439,418.279,336.924,813.139,485.882,470.143,586.758,472.990,572.622,370.654,495.121,523.366,37.723
390.969,405.099,546.417,538.173,691.034,967.789,351.719,439.646,350.798,827.133,529.303,471.714,568.477,490.212,577.681,366.086,483.619,529.169,39.502
394.752,397.167,553.539,535.524,678.570,1026.348,351.215,443.423,352.213,861.905,515.855,505.571,587.377,473.846,609.086,374.144,504.319,539.109,42.549
391.645,410.005,587.183,546.597,664.649,989.543,341.327,443.223,339.742,801.506,561.268,502.402,572.285,494.163,590.222,360.995,511.220,535.763,39.732
390.898,404.479,577.061,527.738,679.962,950.668,355.518,428.429,335.115,809.253,572.180,523.223,565.210,492.481,582.384,374.540,488.231,532.787,38.416
393.447,399.581,557.939,544.629,670.285,969.377,347.241,433.069,334.594,803.241,554.496,535.179,554.306,502.861,607.297,359.631,504.960,533.655,39.124
380.659,395.353,539.200,554.395,664.540,961.567,350.452,426.787,347.902,820.399,568.289,495.938,568.947,490.928,560.059,370.333,490.722,528.616,38.993
383.694,393.197,572.828,533.940,663.316,933.870,351.479,434.809,342.325,804.019,583.373,533.804,564.737,474.683,589.584,360.770,503.480,530.818,37.854
384.375,394.566,561.700,549.133,694.577,935.684,349.898,425.840,346.944,809.867,602.579,516.179,568.007,479.413,567.578,363.290,505.227,532.639,38.432
387.056,392.408,523.983,537.258,684.990,978.555,353.983,433.749,349.345,799.139,584.487,565.179,554.847,493.327,562.011,362.412,507.615,533.550,39.265
394.627,395.367,535.889,507.044,695.426,940.802,346.772,427.752,344.465,822.158,611.667,570.634,547.345,519.260,576.859,370.894,474.971,534.231,38.838
391.138,398.745,560.111,482.766,689.089,970.745,352.442,433.555,353.148,833.905,597.557,537.607,557.214,487.385,585.665,369.455,489.330,534.697,39.940
400.621,408.515,569.294,479.520,664.959,959.725,349.525,438.056,348.218,818.051,593.544,556.321,561.238,486.606,600.276,365.303,487.663,534.555,38.868
402.429,411.388,553.211,503.552,677.522,929.931,344.416,435.009,340.560,817.880,616.614,560.304,535.523,494.053,581.659,365.020,491.546,532.978,37.962
396.540,405.729,582.306,498.931,671.945,952.960,352.832,432.285,337.146,820.671,597.158,569.143,562.406,481.808,582.659,376.606,503.256,536.728,38.765
401.969,400.219,565.600,516.161,703.509,971.449,344.436,421.107,343.392,795.051,611.478,565.384,588.552,487.260,620.768,367.010,497.769,541.242,39.804
396.954,406.261,555.894,522.601,696.883,966.381,346.647,424.382,351.188,821.759,608.390,575.688,545.865,494.279,588.292,351.722,486.773,537.645,39.883
411.097,412.778,578.628,529.077,721.636,974.073,354.950,434.690,345.580,826.253,649.570,550.277,553.263,479.486,587.227,337.477,501.659,543.984,40.809
393.859,408.537,561.322,520.141,667.491,978.656,350.353,434.944,344.619,786.380,607.154,616.670,553.886,464.010,587.405,334.740,503.817,536.117,39.715
400.996,413.403,549.778,511.419,679.457,943.834,350.627,428.947,352.286,815.013,622.500,606.286,564.947,493.010,586.854,335.237,500.516,538.536,38.909
405.340,404.868,534.561,541.730,682.313,939.895,339.000,437.994,348.300,827.892,607.395,615.411,548.601,461.837,591.281,327.053,519.579,537.238,39.535
402.914,410.551,544.028,512.617,691.409,941.692,337.139,443.235,342.190,818.842,628.575,592.884,576.345,451.731,587.692,324.301,502.791,535.820,39.793
407.926,416.718,550.561,514.565,685.787,952.745,348.059,445.034,355.221,820.367,644.360,610.634,560.872,455.202,584.514,322.907,503.073,539.914,39.792
401.741,412.866,567.572,526.657,702.003,1008.296,348.772,435.865,345.339,822.209,618.465,564.036,568.762,458.567,579.232,331.904,504.015,540.959,41.886
408.072,406.721,572.883,537.835,681.845,966.883,347.733,432.357,347.185,804.671,611.816,569.509,558.488,456.553,554.995,337.273,494.011,534.637,39.489
409.280,413.822,548.978,538.355,688.577,974.231,350.663,428.796,345.535,825.310,630.259,490.750,559.843,448.183,535.054,332.699,485.755,529.770,40.529
405.557,406.096,573.039,534.198,709.825,930.648,359.475,435.549,340.389,810.089,556.044,444.241,571.665,447.933,562.973,350.354,496.875,525.585,38.510
401.822,405.467,550.322,534.121,710.419,965.328,350.053,450.959,343.221,787.538,527.873,422.152,576.690,473.115,578.146,338.985,501.703,524.583,39.479
404.487,405.279,551.439,533.048,675.069,953.810,349.884,421.182,345.162,793.582,501.478,407.214,570.819,488.183,560.459,344.280,513.901,518.781,38.717
406.733,405.744,561.772,560.165,678.759,977.802,353.564,427.351,348.415,802.158,481.346,432.071,553.925,453.683,592.405,349.598,498.886,522.611,39.842
402.152,400.655,562.633,537.988,685.007,946.721,348.102,432.072,339.675,791.234,485.943,379.009,564.235,463.894,576.519,346.131,491.927,514.935,39.146
399.081,408.133,550.528,527.286,663.536,943.308,352.878,431.445,342.210,843.399,477.632,383.821,568.288,471.620,572.265,364.222,502.099,517.750,39.553
405.224,407.964,542.817,539.665,685.924,992.036,370.997,421.082,345.039,812.367,465.447,402.036,564.879,472.870,588.724,353.561,507.996,522.272,40.698
410.869,409.639,569.611,556.024,710.588,974.247,360.432,430.856,347.725,814.335,500.075,420.786,580.434,482.486,594.146,358.417,487.788,529.909,40.177
411.419,408.553,559.717,543.907,662.942,984.976,359.627,421.887,353.431,825.146,489.724,466.866,549.078,469.875,584.746,363.010,496.286,526.541,39.677
404.670,399.740,562.233,548.734,682.773,966.737,348.241,436.473,346.647,806.253,483.180,466.938,583.676,476.918,579.124,370.616,503.037,527.411,39.026
397.011,396.716,586.950,568.415,686.399,963.563,356.248,425.082,355.860,772.076,518.048,455.000,575.253,486.625,565.816,359.972,485.538,526.739,38.322
408.430,414.732,557.583,565.190,696.416,933.263,355.264,421.502,343.706,781.405,536.276,483.009,562.082,462.365,608.205,363.023,517.297,529.985,37.324
407.497,420.937,544.161,564.931,679.375,970.522,346.083,415.966,347.025,815.019,548.785,535.134,572.413,482.572,577.292,361.528,493.495,534.278,39.121
410.691,416.520,578.272,504.476,694.069,951.692,352.637,422.163,348.569,802.259,562.456,514.143,572.762,489.514,562.173,357.581,496.480,531.556,38.194
398.642,417.259,576.544,483.004,696.502,962.846,354.013,442.502,355.683,807.215,573.145,525.473,584.452,483.870,578.422,357.710,497.282,534.974,38.794
412.238,406.490,574.850,484.641,678.918,952.988,359.469,416.285,339.790,843.411,572.421,525.643,551.075,455.284,580.124,349.788,497.117,529.443,39.662
407.145,396.976,545.189,468.456,680.381,972.320,353.201,433.611,350.412,818.259,572.377,525.830,542.669,494.106,569.162,362.326,487.176,528.212,39.269
404.348,397.574,567.000,484.944,694.265,937.166,347.498,443.940,345.462,803.538,588.535,550.652,568.779,479.447,602.665,363.995,484.883,533.217,38.199
406.999,395.995,570.767,483.569,691.698,961.300,351.241,447.066,348.776,791.544,584.285,555.991,575.053,469.673,571.951,363.697,499.326,533.466,38.510
409.123,399.668,557.283,511.637,683.890,959.842,356.145,426.097,349.557,826.209,617.632,548.714,581.249,475.577,589.659,358.465,495.476,538.013,39.423
410.532,406.051,553.617,509.177,696.354,978.020,346.822,430.085,346.468,852.728,628.070,572.688,569.655,466.942,588.324,360.510,490.491,541.561,41.126
410.372,408.776,564.350,507.802,700.759,942.352,344.129,432.401,343.280,800.880,593.798,557.554,560.395,449.519,559.135,355.475,482.103,530.181,38.484
409.584,414.420,582.867,522.637,691.416,952.255,342.719,421.398,342.269,845.823,611.118,600.027,554.374,477.971,557.859,367.043,482.073,539.756,39.884
425.972,423.148,547.217,513.480,695.873,923.672,330.020,419.583,341.776,813.411,585.500,569.107,544.448,459.817,569.216,346.449,485.623,529.077,38.129
423.014,412.601,555.328,513.770,668.680,934.215,339.865,414.599,343.073,823.842,587.057,603.277,517.552,452.394,556.211,335.018,474.839,526.784,38.836
426.359,427.790,574.489,524.464,687.014,928.239,338.630,421.558,359.689,804.918,614.952,620.116,531.384,459.322,565.530,334.371,488.791,535.742,38.141
422.486,430.283,583.422,515.927,677.502,942.243,343.838,435.323,338.894,832.551,631.373,610.107,533.808,481.019,559.124,342.242,492.817,539.586,39.150
404.325,415.632,580.050,522.879,711.852,961.429,361.515,442.028,350.496,812.342,634.820,585.705,591.288,474.240,602.935,358.725,501.974,547.779,39.448
389.373,397.148,582.561,522.726,718.027,1021.057,365.442,434.370,342.294,810.443,636.526,587.938,606.495,509.990,589.243,373.571,500.092,552.194,41.938
370.950,391.132,555.289,519.403,674.735,1013.219,363.746,451.125,342.681,758.791,641.132,563.598,630.548,527.740,612.789,374.558,519.670,547.712,40.347
362.028,372.914,564.917,522.383,676.265,1031.344,370.739,439.922,352.692,731.595,632.658,536.625,622.822,551.774,653.811,370.611,485.033,545.772,41.204
361.156,369.013,542.267,507.855,657.997,1064.146,367.782,459.417,338.527,748.797,609.303,544.911,633.929,556.245,630.281,372.245,485.857,544.102,42.585
353.238,372.224,530.544,514.980,670.794,1072.377,383.700,446.364,339.571,723.886,609.294,539.946,634.950,553.144,629.481,372.992,498.623,543.889,42.532
354.393,367.692,515.961,490.016,649.478,1042.381,366.050,427.119,339.835,689.684,603.075,550.571,648.751,548.149,625.811,384.056,511.674,536.158,40.978
346.894,364.352,538.100,520.669,655.890,1050.972,366.802,438.082,340.188,675.785,593.781,544.589,638.829,552.433,621.400,375.134,507.282,537.128,41.150
355.584,375.411,522.533,511.935,666.918,1091.413,363.584,444.050,334.655,734.133,644.048,544.652,646.149,536.245,646.714,374.321,513.491,547.402,44.148
355.309,360.969,534.111,493.371,636.588,1054.988,392.432,445.307,334.095,693.582,599.171,524.143,632.377,563.221,621.086,379.338,486.755,535.697,41.066
345.944,364.530,498.817,475.754,627.285,1054.919,378.941,436.122,333.518,665.494,575.645,498.866,639.427,560.163,641.470,375.192,477.549,526.449,41.329
340.844,357.667,507.189,481.323,608.845,1052.093,376.479,434.304,333.639,675.487,580.031,528.393,641.868,562.841,628.865,374.508,491.084,527.968,41.223
342.597,348.937,492.006,469.673,625.814,1062.964,369.485,438.254,338.017,663.234,588.088,502.250,630.527,583.471,636.886,377.447,487.879,526.913,41.944
345.953,351.601,525.094,508.782,641.567,1107.972,375.495,453.160,337.549,700.538,592.118,534.911,625.459,567.231,635.578,379.753,508.128,540.641,43.831
351.896,373.291,545.122,528.238,665.729,1056.591,376.162,459.219,342.053,713.329,589.171,558.580,622.306,559.111,601.443,386.846,496.099,542.658,41.073
377.858,381.342,545.778,513.000,686.096,1027.287,381.713,448.044,354.947,752.399,675.662,579.795,612.673,546.111,623.124,381.323,500.993,552.244,40.765
380.152,405.764,572.272,556.274,700.546,1010.579,362.729,428.144,367.616,819.937,660.531,614.482,591.466,515.851,628.773,377.765,490.769,557.862,41.537
