0001-0109-0118,0001-0097-0091,0001-0073-0114,0001-0045-0079,0001-0117-0047,0001-0125-0028,0001-0125-0009,0001-0048-0145,0001-0096-0205,Average,Err
359.236,453.913,405.299,349.342,353.554,358.961,310.879,426.097,498.037,390.591,18.739
366.666,465.308,410.978,353.089,376.103,374.108,316.042,432.174,469.485,395.995,16.370
364.798,467.315,424.800,355.235,364.277,358.985,321.636,437.590,448.149,393.643,16.046
364.793,462.521,427.049,349.929,359.658,370.201,322.870,430.340,472.246,395.512,16.781
360.955,473.938,406.321,353.852,342.696,370.183,312.147,426.660,458.224,389.442,17.267
350.593,475.489,414.800,354.957,362.973,362.090,316.506,440.882,475.306,394.844,18.348
357.110,460.027,426.229,351.699,368.886,347.468,317.297,410.597,473.634,390.327,17.114
365.023,466.094,416.101,357.686,346.147,355.048,319.282,426.431,435.739,387.506,15.575
349.751,453.628,400.011,353.050,337.554,356.363,316.944,440.576,427.060,381.660,15.579
353.446,479.553,414.679,360.655,378.864,365.907,326.432,454.326,457.619,399.054,17.049
359.518,453.273,408.555,356.859,369.457,362.183,320.808,460.153,434.925,391.748,15.424
360.707,477.097,427.728,354.003,360.826,376.877,329.186,460.097,476.373,402.544,18.204
355.417,478.481,425.366,351.386,341.136,366.604,322.941,447.299,446.328,392.773,17.773
351.929,462.834,416.213,358.731,351.908,375.222,331.684,437.340,445.560,392.380,15.221
362.322,468.404,424.283,355.894,362.674,357.973,315.836,457.132,474.060,397.620,18.451
355.802,456.015,427.901,355.347,361.853,369.102,321.669,450.688,445.343,393.747,15.979
353.917,476.174,415.090,350.151,361.636,384.916,316.263,452.910,435.478,394.059,16.884
358.163,460.814,425.524,346.775,343.690,368.102,329.689,450.188,457.284,393.359,17.021
365.982,462.395,418.243,353.040,385.690,367.495,319.571,421.535,457.209,394.573,15.231
361.120,478.442,426.328,352.942,360.696,372.700,322.249,450.431,465.261,398.907,17.812
369.514,465.221,413.025,361.452,365.598,364.282,315.023,450.667,500.403,400.576,18.975
363.626,470.690,428.618,356.462,372.163,372.580,329.076,435.882,514.724,404.869,19.190
355.784,457.015,400.380,349.561,347.870,363.781,311.195,417.514,473.157,386.251,17.078
361.677,476.777,429.674,358.355,364.603,365.222,322.169,450.896,486.060,401.715,18.747
360.314,470.722,420.629,352.234,358.484,366.327,330.336,436.014,470.134,396.133,16.878
366.418,465.816,428.180,355.487,354.207,371.189,311.082,434.208,459.881,394.052,17.035
363.324,482.196,432.591,349.066,366.924,370.880,327.921,451.292,463.134,400.814,17.745
353.242,469.886,427.512,351.112,341.995,350.081,324.198,427.354,481.440,391.869,18.792
354.412,464.437,425.092,356.546,366.168,354.607,323.138,443.736,463.776,394.657,17.064
353.545,460.568,408.101,362.624,360.734,358.018,321.198,456.438,463.007,393.804,17.074
359.202,469.881,417.989,358.906,373.940,372.958,322.469,419.347,473.067,396.418,16.322
355.017,474.710,424.369,362.576,377.582,363.450,313.257,438.083,458.716,396.418,17.121
357.016,466.345,421.315,355.030,384.908,368.042,322.831,441.979,482.940,400.045,17.417
362.216,464.273,408.238,352.431,372.690,368.982,308.085,433.090,444.328,390.482,15.827
377.485,469.481,420.198,353.321,363.120,380.267,318.879,434.924,490.418,400.899,17.791
363.351,480.355,434.852,366.166,384.989,367.093,335.062,450.222,462.657,404.972,16.447
350.163,466.099,431.742,359.333,347.674,375.216,320.218,465.903,456.500,396.983,18.151
368.558,471.337,415.398,355.814,360.201,377.706,320.356,432.562,454.403,395.148,15.908
