0001-0109-0118,0001-0097-0091,0001-0073-0114,0001-0045-0079,0001-0117-0047,0001-0125-0028,0001-0125-0009,0001-0048-0145,0001-0096-0205,Average,Err
717.951,532.774,489.373,428.350,756.049,446.270,389.503,673.549,686.993,568.979,43.990
716.582,522.117,464.782,416.418,819.891,435.069,388.845,687.104,594.567,560.597,47.846
692.265,511.782,484.807,414.728,824.473,447.072,388.364,710.292,651.858,569.516,48.298
685.659,525.538,485.706,419.056,793.560,453.979,386.542,668.569,662.000,564.512,44.479
692.364,525.459,481.182,415.763,815.620,452.084,381.621,699.840,640.590,567.169,47.157
694.130,526.385,472.357,421.271,832.489,443.910,397.164,729.549,621.634,570.988,48.655
706.373,525.801,463.856,411.910,811.652,437.793,382.706,714.042,666.955,569.010,49.429
708.129,527.022,476.613,418.930,796.397,457.973,378.359,672.875,679.351,568.405,46.550
696.590,525.856,463.796,407.184,772.228,435.688,373.573,690.326,659.231,558.275,46.413
690.759,515.243,470.144,415.845,779.418,446.465,378.975,695.340,668.978,562.352,46.068
694.456,523.208,490.112,415.244,840.516,453.078,382.444,685.243,708.493,576.977,49.946
701.561,533.623,471.899,400.127,767.234,435.991,395.068,698.319,671.104,563.881,45.937
694.821,531.963,472.061,426.718,804.582,458.003,394.175,706.521,649.007,570.872,45.881
705.866,536.543,481.598,414.729,784.266,456.348,380.989,665.924,693.448,568.857,45.877
703.953,538.434,492.020,414.226,795.652,466.649,399.949,686.361,677.015,574.918,45.076
721.249,536.305,471.218,419.796,784.549,442.856,396.638,702.792,683.425,573.203,47.008
706.795,514.119,473.872,423.576,784.571,437.384,384.619,647.639,642.963,557.282,44.501
692.214,523.293,484.728,422.880,786.815,468.913,384.949,670.403,646.075,564.474,43.475
709.736,512.722,485.578,415.763,758.804,442.345,384.206,656.319,648.448,557.102,43.361
697.760,522.643,485.393,411.227,798.054,454.538,395.862,675.083,636.776,564.148,44.692
693.497,529.199,475.092,416.142,759.495,461.910,377.192,699.743,631.164,560.382,43.618
711.594,530.839,471.681,419.109,787.109,452.844,382.689,662.681,676.567,566.124,45.782
696.198,525.821,461.645,429.466,795.065,448.309,394.610,660.965,628.761,560.093,43.947
707.790,526.385,476.031,430.541,825.973,441.399,371.952,692.833,662.791,570.633,48.958
706.651,541.295,474.063,416.728,780.092,480.547,388.240,689.181,656.687,570.387,44.318
710.124,539.258,486.649,414.893,783.467,444.832,387.969,677.243,681.873,569.590,45.808
700.446,522.223,468.290,417.843,804.467,454.754,374.571,688.701,605.537,559.648,46.299
691.225,524.067,480.011,419.440,792.288,438.757,388.554,677.403,694.381,567.347,46.358
709.637,527.603,476.910,419.320,807.902,446.805,387.234,679.562,655.149,567.791,46.753
718.997,516.995,476.472,416.897,826.592,434.640,380.427,703.944,651.866,569.648,49.931
695.532,545.313,467.542,411.123,781.630,435.637,387.305,706.771,697.522,569.819,47.570
716.640,541.836,469.827,422.789,794.658,460.294,387.107,713.882,655.910,573.660,46.867
692.554,523.809,486.793,419.243,805.473,446.417,382.811,644.965,654.754,561.869,45.102
697.868,518.305,473.607,413.329,766.043,443.057,389.958,679.569,611.530,554.807,43.244
694.918,512.762,468.787,422.112,804.424,461.793,384.607,679.042,641.582,563.336,45.629
701.333,536.293,486.290,415.093,795.853,447.763,384.288,696.410,657.806,569.014,46.283
691.195,519.442,485.027,418.731,774.500,466.048,397.944,708.326,652.164,568.153,43.805
703.960,543.345,482.326,418.265,801.924,441.580,390.218,732.229,690.806,578.295,48.720
696.216,529.489,485.112,421.855,814.005,440.724,394.031,726.972,649.060,573.052,47.758
695.462,516.811,482.485,417.243,847.011,427.505,396.472,681.396,643.791,567.575,49.005
688.985,524.442,505.912,418.871,762.261,468.559,377.489,674.104,673.500,566.014,42.875
689.113,519.174,479.054,415.607,820.571,446.369,381.364,673.424,683.604,567.587,47.930
696.267,541.206,489.162,420.535,824.859,443.820,375.494,666.549,621.903,564.422,46.626
724.863,523.675,485.431,424.819,811.582,439.799,393.946,672.986,638.358,568.384,46.603
701.082,510.650,485.719,424.946,791.663,443.706,388.102,718.042,655.493,568.822,46.645
695.951,535.429,471.063,407.324,822.484,440.381,385.353,691.639,662.127,567.972,48.585
712.345,541.660,462.371,414.332,815.978,454.688,370.876,664.125,664.619,566.777,48.183
697.367,529.268,470.751,418.293,833.962,452.838,395.610,739.618,706.022,582.637,50.966
702.483,536.069,475.094,419.302,820.609,431.339,389.000,662.271,631.075,563.027,46.748
692.082,524.516,479.256,426.528,795.620,455.144,387.785,670.986,653.500,565.046,44.450
700.838,535.107,478.955,418.875,790.707,445.468,369.559,718.035,640.672,566.468,47.226
719.966,511.593,480.870,422.078,805.755,451.997,387.636,715.347,656.396,572.404,48.052
712.089,525.164,484.726,421.090,820.696,449.610,386.862,720.250,650.545,574.559,48.611
710.725,524.027,505.544,425.431,809.962,449.435,379.316,690.271,625.701,568.935,46.216
702.931,524.469,481.917,416.732,807.158,462.685,390.178,675.299,643.940,567.256,45.485
708.010,525.484,472.431,424.567,768.027,453.571,382.294,682.389,631.701,560.942,43.801
705.356,512.340,472.942,408.699,832.603,447.772,398.585,685.208,650.963,568.274,48.454
708.994,517.965,480.510,420.100,795.935,451.742,392.946,702.139,628.851,566.576,45.772
700.268,501.107,471.364,418.781,824.505,452.820,399.833,689.333,640.754,566.529,47.260
706.181,527.494,480.555,439.834,783.217,453.727,387.048,658.361,649.381,565.089,43.268
727.003,532.739,464.867,420.655,776.886,456.823,384.944,686.701,679.470,570.010,46.462
727.751,527.749,486.038,422.727,793.967,443.123,387.161,692.660,649.425,570.067,46.674
708.012,530.784,464.166,420.022,793.359,438.847,388.839,731.194,655.940,570.129,48.120
696.485,534.119,487.216,426.091,795.755,440.709,395.099,673.403,635.769,564.961,44.153
703.881,524.603,469.162,413.773,741.076,450.880,392.627,698.694,643.582,559.809,43.108
706.392,529.236,484.883,424.666,847.527,449.853,382.862,717.201,640.776,575.933,49.873
709.547,539.099,503.303,423.440,800.092,462.595,393.780,710.076,625.575,574.167,45.057
701.360,546.563,478.964,415.811,755.250,441.505,383.701,759.021,669.866,572.449,47.278
