0001-0037-0052,0001-0050-0100,0001-0103-0237,0001-0121-0090,0001-0157-0199,0001-0161-0179,0001-0192-0189,0001-0239-0174,0001-0188-0095,0001-0198-0156,Average,Err
714.691,542.788,456.251,453.184,417.696,409.844,1930.298,435.452,425.259,431.220,621.668,140.682
720.054,516.358,477.259,457.817,389.017,401.023,1870.758,430.391,422.361,419.207,610.424,135.924
717.926,493.590,460.948,456.684,374.526,385.731,1776.684,424.928,450.696,413.573,595.529,127.826
696.394,469.127,451.653,458.490,388.551,391.329,1757.381,415.143,437.446,397.872,586.339,126.326
712.841,470.407,467.217,444.384,396.730,398.038,1713.614,421.585,463.117,407.676,589.561,121.659
734.592,484.971,448.459,445.763,405.543,419.859,1718.250,423.048,480.006,416.065,597.656,121.587
727.074,468.342,461.881,456.273,413.074,401.452,1679.220,424.237,468.169,407.455,590.718,118.185
750.977,472.727,471.115,444.923,399.531,387.090,1606.409,410.959,461.922,393.875,579.953,112.752
767.011,473.652,493.612,454.780,439.506,404.455,1709.268,442.713,460.855,421.263,606.711,120.264
813.839,485.377,484.192,455.377,426.369,407.518,1688.937,441.522,489.145,414.869,610.715,119.025
891.884,473.500,474.929,451.713,422.293,394.078,1728.341,444.505,497.256,415.289,619.379,124.542
969.765,486.706,489.960,446.949,460.517,404.628,1732.937,457.635,526.364,411.058,638.652,125.408
1214.156,477.418,483.071,434.242,440.594,398.997,1664.018,455.872,496.304,411.010,647.568,129.457
1470.669,497.611,492.693,447.949,424.014,397.188,1657.013,430.775,460.440,406.268,668.462,142.525
1661.314,492.466,481.904,449.677,434.920,406.661,1709.106,459.401,474.256,421.046,699.075,156.163
1761.300,488.101,504.470,449.166,445.943,411.990,1772.510,428.836,473.214,422.467,715.800,166.423
1710.932,485.343,496.678,460.457,464.054,416.455,1788.624,443.382,460.611,419.700,714.624,163.937
1582.756,494.158,505.495,441.230,484.080,396.374,1854.237,431.761,428.437,449.328,706.786,161.418
1366.399,479.739,468.735,453.790,529.562,387.166,1796.626,448.891,408.789,423.695,676.339,146.793
1000.620,477.408,478.916,449.937,560.960,401.704,1819.848,437.491,421.852,440.363,648.910,134.212
784.416,477.668,477.620,458.177,607.205,399.394,1774.316,425.700,434.355,456.351,629.520,125.424
668.187,484.044,467.395,437.739,564.082,384.095,1666.891,419.235,403.163,502.149,599.698,115.289
625.334,460.237,475.225,454.857,547.290,395.291,1705.283,441.357,397.831,724.652,622.736,118.303
591.493,483.096,483.871,450.427,489.582,394.666,1706.313,422.881,443.148,1195.695,666.117,130.192
618.363,484.840,469.601,442.336,438.722,408.201,1627.240,436.159,409.226,1376.375,671.106,133.750
597.317,470.026,451.866,442.039,385.088,406.050,1516.328,414.928,409.548,1261.749,635.494,121.782
625.133,481.018,480.228,488.908,382.943,419.332,1632.124,446.411,429.437,1292.768,667.830,129.349
662.918,480.163,488.048,475.370,382.946,402.427,1607.763,435.927,462.837,1188.090,658.649,122.691
606.742,493.477,498.470,457.346,395.878,412.399,1475.028,424.570,432.401,1100.546,629.686,108.866
618.484,467.989,458.000,438.722,386.543,395.249,1347.419,418.956,425.178,1009.908,596.645,97.022
628.198,477.931,465.025,454.652,387.409,408.098,1284.288,436.126,434.503,986.861,596.309,89.949
657.969,492.711,476.543,454.430,417.949,416.704,1184.470,435.713,450.858,955.684,594.303,79.691
654.938,510.206,488.952,457.435,397.898,400.814,1068.654,450.043,455.322,892.500,577.676,68.402
661.275,524.864,470.770,466.457,400.179,409.812,952.141,453.677,437.066,854.299,563.054,58.567
664.518,550.810,488.860,457.198,376.619,406.573,871.235,443.700,481.883,790.910,553.231,50.315
677.725,662.979,510.115,450.143,385.903,409.922,809.854,441.200,448.759,740.172,553.677,46.134
679.057,929.556,559.184,467.102,391.446,404.741,789.609,461.358,454.066,658.792,579.491,53.993
691.125,1282.791,549.674,465.157,385.205,391.583,780.020,433.406,427.735,587.767,599.446,82.145
703.915,1473.292,528.534,453.442,397.506,432.070,759.515,418.213,431.593,506.246,610.433,98.172
673.861,1511.284,502.871,452.828,384.040,409.518,764.513,428.889,437.910,444.155,600.987,102.801
699.725,1494.750,487.309,453.925,394.991,432.445,752.672,419.160,429.497,425.841,599.032,101.492
668.289,1343.065,474.190,442.319,400.347,394.899,775.588,424.495,425.729,416.520,576.544,89.420
696.368,1291.025,506.173,461.311,394.580,388.013,801.381,419.788,423.108,414.175,579.592,85.829
720.518,1105.172,478.006,455.978,420.497,409.281,800.798,433.032,439.855,423.653,568.679,69.934
712.283,879.239,490.534,454.094,437.031,405.791,824.982,431.420,419.289,416.075,547.074,55.285
719.782,689.461,486.921,461.386,457.730,401.601,812.184,431.022,415.581,411.075,528.674,45.427
719.816,568.253,478.777,459.398,491.281,401.709,817.280,433.386,418.383,421.863,521.014,42.222
736.751,521.676,465.023,469.968,697.514,401.987,868.619,437.666,435.527,413.903,544.863,48.834
723.581,515.368,510.106,464.189,755.702,414.714,987.343,450.853,436.398,415.270,567.352,57.450
815.691,495.425,495.843,462.459,677.182,409.952,1547.146,428.314,454.702,425.260,621.198,105.025
784.227,473.296,476.733,447.094,605.116,385.090,2294.076,432.435,498.780,428.878,682.572,173.323
836.654,487.879,482.628,468.997,536.662,410.706,2539.205,432.254,506.614,424.550,712.615,195.977
877.122,493.926,480.875,461.056,489.452,401.814,2502.702,429.247,569.422,445.394,715.101,192.739
825.399,492.199,488.781,442.363,453.631,394.279,2417.192,453.614,724.386,463.794,715.564,184.051
863.388,497.750,497.633,447.674,439.199,425.387,2302.078,427.922,741.087,529.340,717.146,172.749
812.334,491.940,459.094,451.404,417.903,400.807,2200.263,430.737,668.780,657.945,699.121,163.428
810.283,484.786,492.478,455.457,420.097,400.322,2101.212,443.705,700.816,882.838,719.199,154.542
763.918,485.134,459.722,455.780,424.017,404.990,2037.000,445.602,645.828,1249.095,737.109,157.283
770.637,496.523,467.351,464.304,438.392,407.902,1963.927,438.652,605.169,1322.514,737.537,153.560
785.646,494.292,486.301,474.341,430.366,410.339,1930.424,428.729,551.623,1260.400,725.246,148.999
743.076,492.152,482.829,457.237,404.500,398.598,1879.621,439.333,491.693,1177.873,696.691,143.541
743.720,488.495,457.877,458.747,412.045,395.106,1782.467,439.381,439.340,1107.679,672.486,134.372
742.592,508.392,479.787,447.213,399.577,403.296,1716.742,422.290,441.937,1034.095,659.592,126.570
752.564,498.810,464.687,461.747,393.793,406.553,1619.990,433.166,407.889,969.760,640.896,117.303
704.127,475.279,470.543,448.258,400.560,403.879,1558.311,425.258,403.298,910.291,619.980,110.648
706.241,495.766,466.029,451.551,419.906,407.420,1506.611,446.123,404.967,864.859,616.947,104.048
714.677,497.828,463.509,461.747,412.119,410.827,1380.535,431.401,420.937,836.698,603.028,92.632
728.606,510.103,481.835,457.148,390.259,428.229,1157.591,429.425,412.428,763.876,575.950,72.715
754.295,517.961,477.123,477.720,376.418,393.387,1002.250,423.483,392.666,682.887,549.819,60.902
728.714,493.794,482.520,454.918,383.619,405.271,890.333,438.829,417.946,613.068,530.901,49.323
775.405,486.315,467.125,456.891,376.571,397.291,785.621,438.026,405.798,512.513,510.156,44.517
757.870,491.539,461.267,460.476,373.435,407.445,787.273,442.626,416.377,468.485,506.679,43.310
807.431,502.163,455.979,451.534,371.693,398.291,736.902,429.235,423.235,424.681,500.115,44.532
768.456,489.464,470.706,456.119,380.636,415.324,768.811,433.592,420.991,419.016,502.312,43.104
789.433,522.072,479.401,455.230,370.642,411.608,786.003,421.695,414.816,417.623,506.852,46.123
774.867,519.181,456.825,452.357,387.818,404.688,760.528,430.602,423.717,412.860,502.344,43.333
748.419,515.247,472.962,471.555,392.804,410.626,783.907,434.611,399.855,417.292,504.728,42.952
768.210,535.706,458.902,476.507,387.335,383.719,724.763,441.718,406.723,405.782,498.936,41.611
740.561,703.796,453.793,479.899,398.105,398.570,752.210,441.544,433.623,420.419,522.252,44.207
733.932,1012.405,443.445,466.246,392.739,397.731,755.290,433.775,433.892,419.222,548.868,63.258
726.048,1390.848,451.912,466.038,401.139,403.658,751.167,440.427,422.717,425.412,587.937,93.170
724.603,1596.975,450.376,465.304,388.739,417.558,795.232,436.904,440.855,434.006,615.055,111.502
698.399,1651.817,455.259,455.282,386.188,401.063,806.035,437.676,409.313,428.283,612.931,117.310
679.331,1527.345,489.284,446.549,369.807,403.427,799.371,435.090,415.286,426.091,599.158,106.066
693.153,1375.675,481.841,466.210,382.886,409.060,766.987,441.350,441.307,411.337,586.981,91.539
686.555,1221.538,483.415,466.387,368.753,403.593,856.164,439.287,423.732,425.918,577.534,81.552
694.839,1047.092,479.691,464.968,392.406,402.920,841.803,504.857,428.964,428.329,568.587,66.325
702.524,803.730,477.891,449.015,369.267,403.445,829.015,574.452,424.578,412.114,544.603,51.969
691.178,638.706,468.864,463.280,400.122,406.548,975.848,659.575,442.039,417.244,556.340,55.424
680.408,581.972,481.543,468.084,379.875,400.204,1423.990,747.614,447.500,451.611,606.280,93.393
693.720,532.348,471.591,441.311,373.722,402.812,2342.109,832.212,443.328,514.383,704.753,177.655
742.810,517.660,481.438,470.212,499.486,407.631,2640.614,1073.701,428.672,722.156,798.438,203.573
749.640,503.471,469.981,464.725,684.006,407.148,2549.659,1301.241,423.810,1003.005,855.669,198.592
703.309,499.940,455.050,452.628,747.565,416.601,2396.778,1479.039,424.630,1278.373,885.391,194.844
724.051,498.446,464.514,463.080,695.287,391.854,2359.164,1601.631,411.006,1382.158,899.119,199.146
773.071,511.675,464.478,446.043,609.776,422.530,2247.745,1646.372,422.172,1350.881,889.474,191.804
719.898,499.064,456.267,455.507,537.517,406.274,2131.295,1597.529,416.419,1221.308,844.108,180.867
689.620,502.855,466.503,455.160,465.517,424.334,2092.283,1630.406,408.756,1177.100,831.254,179.686
728.992,496.848,450.232,452.206,412.028,387.618,1924.051,1565.323,412.087,1087.742,791.713,165.608
727.986,499.123,472.747,456.515,388.793,397.779,1860.899,1520.179,424.831,1023.134,777.199,157.517
688.771,470.609,452.077,447.730,382.773,416.191,1772.429,1421.831,414.898,958.443,742.575,146.974
718.578,507.766,456.424,455.519,388.824,409.101,1726.179,1222.560,405.536,900.925,719.141,133.693
659.487,503.778,445.760,458.573,366.344,393.033,1623.793,950.949,419.843,837.353,665.891,117.077
696.244,502.792,472.015,472.259,366.270,400.719,1527.328,733.715,410.102,784.904,636.635,103.942
708.530,511.873,470.775,464.578,368.645,417.812,1485.869,553.739,437.012,757.285,617.612,98.813
735.096,545.399,473.284,458.785,367.338,413.447,1360.843,476.741,433.762,667.910,593.260,87.865
783.830,519.508,466.061,449.945,354.031,404.141,1154.497,453.925,442.855,581.964,561.076,71.991
808.909,502.526,452.518,471.186,357.148,408.171,972.732,446.539,464.319,508.836,539.288,58.276
799.238,508.410,472.019,465.358,366.509,427.668,843.492,443.218,453.295,460.393,523.960,48.360
837.762,521.721,480.520,462.978,362.997,434.497,798.293,441.751,465.726,443.345,524.959,47.947
832.139,536.824,476.541,436.230,354.597,408.789,736.455,425.638,458.831,427.838,509.388,46.175
809.632,550.386,462.100,468.990,353.224,417.116,775.515,437.138,442.633,420.696,513.743,46.559
787.062,603.626,465.234,463.425,363.401,412.191,747.725,436.063,434.964,409.391,512.308,44.547
762.246,733.400,490.365,454.971,362.767,419.601,754.313,442.208,435.352,428.887,528.411,46.888
716.640,962.258,472.284,453.621,373.875,429.407,767.020,439.563,453.636,422.294,549.060,58.609
703.212,1187.858,471.207,454.695,357.219,422.560,750.813,426.031,454.958,431.489,566.004,75.845
649.805,1402.652,471.580,447.067,374.946,404.299,768.341,457.831,440.235,424.905,584.166,93.690
645.224,1470.605,485.610,458.152,356.841,397.455,747.134,434.930,469.422,426.558,589.193,99.409
622.703,1479.989,464.008,458.220,379.105,400.492,762.086,435.962,444.253,424.737,587.156,100.429
595.173,1439.217,471.800,460.558,382.298,409.754,727.104,436.130,443.190,425.742,579.096,95.779
633.683,1329.191,458.205,433.305,373.784,421.098,721.717,442.515,449.307,423.011,568.582,86.470
628.235,1157.167,471.956,463.879,387.412,416.158,766.207,433.585,436.139,428.039,558.878,72.109
628.490,913.026,462.841,467.381,392.511,420.460,755.598,442.316,445.268,434.177,536.207,51.991
629.399,715.361,451.685,468.299,373.827,443.578,791.245,427.920,444.717,429.031,517.506,42.499
624.482,604.809,471.338,449.947,366.423,419.153,759.159,456.592,449.723,430.640,503.227,36.120
651.343,539.312,477.996,472.118,399.321,420.834,788.528,438.196,443.687,438.054,506.939,36.839
645.255,534.433,471.065,458.230,373.031,426.435,765.626,441.903,432.569,433.203,498.175,35.959
631.042,513.693,466.407,465.077,382.855,410.123,783.169,437.389,420.337,432.918,494.301,36.896
623.269,501.260,475.733,488.282,383.435,438.940,780.995,429.452,431.093,442.236,499.469,35.392
681.309,509.149,458.879,464.184,377.858,430.671,792.258,440.991,445.819,560.064,516.118,38.535
665.683,527.639,467.509,485.449,383.676,432.839,801.510,459.734,438.723,850.975,551.374,49.051
709.309,514.742,462.587,518.563,389.352,456.889,777.338,446.973,455.663,1094.112,582.553,65.298
817.745,513.799,480.960,507.959,378.128,604.887,829.114,458.993,509.590,1309.969,641.114,83.333
1082.184,510.194,476.092,497.604,373.378,773.987,824.669,460.457,524.599,1409.994,693.316,99.633
1603.521,528.680,471.100,483.495,379.866,989.754,935.614,439.111,546.343,1338.258,771.574,127.857
1859.212,514.941,482.948,473.019,430.608,1180.960,1485.967,440.271,882.732,1236.338,898.700,154.660
1860.881,542.469,483.979,487.631,550.176,1315.837,2378.288,434.215,1109.693,1165.626,1032.879,200.743
1815.938,668.719,485.042,497.495,803.901,1384.251,2571.384,448.828,1207.199,1093.963,1097.672,205.151
1605.932,888.676,471.111,518.558,945.955,1291.608,2475.245,471.565,1206.741,984.877,1086.027,184.488
1364.912,1105.913,496.311,778.701,1020.560,1366.882,2517.672,512.392,1306.117,973.587,1144.305,173.474
1117.963,1298.601,509.244,1357.096,937.634,1412.191,2377.841,627.384,1223.834,899.515,1176.130,155.965
853.793,1326.663,552.649,1678.693,816.259,1451.053,2257.798,741.877,1174.846,859.277,1171.291,155.939
721.459,1323.737,535.215,1717.531,686.776,1450.093,2189.891,1063.302,1132.834,795.687,1161.652,155.945
667.244,1286.356,534.221,1631.413,598.864,1358.857,2097.737,1432.686,972.105,715.903,1129.539,155.048
655.351,1130.750,577.764,1671.623,557.651,1409.982,1985.152,1583.628,865.741,652.574,1109.022,156.844
627.193,923.747,829.328,1654.838,520.804,1369.420,1902.679,1640.305,753.096,579.264,1080.067,153.868
649.575,761.067,1164.338,1580.049,482.060,1299.862,1821.619,1605.611,638.943,502.445,1050.557,151.516
651.915,628.368,1278.203,1588.834,446.903,1161.580,1725.553,1541.078,552.922,463.073,1003.843,152.402
610.467,551.214,1309.182,1565.249,425.401,1058.618,1616.586,1442.916,494.220,456.410,953.026,148.574
640.640,540.742,1284.027,1519.932,431.449,888.078,1495.831,1242.481,487.581,439.974,897.073,134.229
660.552,524.990,1258.161,1540.585,427.739,769.397,1393.184,1110.271,463.187,450.735,859.880,128.089
668.646,517.757,1179.699,1501.181,398.378,597.862,1229.447,846.418,448.630,441.712,782.973,117.065
684.960,539.913,1159.514,1419.282,412.594,539.618,1033.497,657.626,459.226,432.734,733.896,104.577
694.357,531.518,1188.633,1416.181,420.611,503.869,884.750,594.271,460.518,431.492,712.620,103.431
687.116,548.696,1258.384,1423.599,416.153,476.490,799.083,558.085,431.479,442.888,704.197,107.562
751.337,601.261,1469.875,1389.976,455.724,504.126,753.591,584.307,427.852,449.145,738.720,114.780
883.527,628.807,1705.077,1380.179,453.420,480.176,748.005,568.002,430.114,456.233,773.354,131.106
1020.615,601.077,2007.787,1331.184,418.940,440.518,754.566,561.454,415.440,469.042,802.062,155.561
1278.470,657.458,2267.115,1339.222,417.699,448.676,763.583,587.751,433.437,524.591,871.800,177.962
1510.054,715.003,2240.422,1292.683,395.287,443.088,772.389,595.831,464.464,565.974,899.519,179.747
1661.691,767.384,2097.079,1229.212,387.185,449.658,721.005,582.292,442.840,616.684,895.503,173.982
1638.467,835.206,1848.021,1126.174,395.594,447.945,743.861,606.669,420.575,659.280,872.179,153.254
1556.530,876.928,1706.405,1130.635,403.781,483.897,748.846,585.756,436.864,804.601,873.424,137.570
1355.946,930.783,1387.937,1015.974,412.509,506.693,764.664,600.466,459.145,1045.665,847.978,107.203
1211.102,1038.747,1085.457,924.925,394.227,517.661,754.028,586.563,494.205,1169.558,817.647,91.766
944.788,1032.727,865.319,765.391,385.256,512.987,736.566,581.498,562.566,1169.613,755.671,74.839
736.416,997.412,747.722,647.913,384.895,536.417,760.833,555.676,639.235,1128.727,713.525,65.652
705.807,932.869,670.251,547.957,382.239,536.492,784.283,562.618,794.566,1070.382,698.746,61.486
680.076,852.458,650.800,508.191,370.199,506.246,797.760,556.817,935.325,1010.130,686.800,62.373
655.433,710.150,607.820,512.771,368.491,533.671,762.331,628.416,1131.494,954.497,686.508,66.434
677.099,668.283,633.873,522.002,369.540,610.912,775.313,791.565,1268.148,930.731,724.746,73.395
656.915,601.843,623.585,494.737,397.241,566.043,775.722,1038.005,1370.063,847.456,737.161,86.370
713.221,559.284,656.253,496.442,406.233,580.475,808.634,1392.910,1422.190,800.501,783.614,105.716
716.754,555.283,655.180,499.809,397.392,568.503,858.245,1593.648,1380.000,743.464,796.828,116.891
716.193,550.408,643.939,493.449,439.241,600.417,926.167,1605.817,1296.569,641.355,791.356,113.749
753.561,566.621,673.912,509.404,581.364,676.209,1336.667,1626.048,1221.837,583.129,852.875,117.791
763.921,585.830,676.551,464.884,687.591,792.925,2218.561,1505.988,1047.145,499.889,924.328,164.156
748.932,586.227,666.159,468.090,675.054,891.580,2630.263,1423.954,878.542,464.744,943.355,196.281
