0001-0037-0052,0001-0050-0100,0001-0103-0237,0001-0121-0090,0001-0157-0199,0001-0161-0179,0001-0192-0189,0001-0239-0174,0001-0188-0095,0001-0198-0156,Average,Err
922.011,496.227,366.894,1079.886,292.957,292.601,422.934,417.824,828.994,416.211,553.654,84.684
917.782,518.637,369.814,1064.971,282.744,297.304,422.699,418.809,841.033,428.706,556.250,83.763
896.082,525.348,361.311,1073.962,293.835,294.804,419.384,424.515,829.386,445.474,556.410,82.622
896.263,523.475,358.092,1080.945,300.281,303.776,437.828,422.195,813.750,449.809,558.642,81.859
940.904,522.221,365.432,1058.198,307.656,297.874,421.361,420.300,806.494,473.976,561.442,81.966
933.235,525.327,352.497,1060.073,315.134,288.093,438.098,430.804,803.437,472.521,561.922,81.606
939.669,557.627,360.363,1076.732,311.710,297.121,451.030,423.770,827.181,491.845,573.705,82.847
966.875,559.132,370.668,1105.870,319.526,296.266,451.540,431.048,822.738,502.481,582.615,84.992
952.527,560.031,372.749,1099.654,311.952,296.560,442.659,428.696,813.274,507.655,578.576,84.008
977.490,569.198,369.388,1119.285,314.517,300.726,461.480,438.621,813.265,523.159,588.713,85.598
958.156,593.943,376.004,1112.727,317.429,302.817,456.677,433.906,833.723,529.655,591.504,84.648
959.360,596.376,366.656,1140.928,322.903,297.068,463.202,433.877,853.319,551.277,598.497,87.040
924.776,602.492,368.814,1156.625,317.784,301.256,470.303,432.706,823.018,559.366,595.714,85.655
875.513,602.502,386.593,1133.493,314.898,298.198,470.846,427.345,839.614,576.219,592.522,82.605
820.377,617.490,377.434,1116.572,307.810,293.508,469.187,425.814,848.639,569.865,584.669,80.771
768.892,602.466,370.006,1119.439,315.986,300.636,444.348,432.840,845.223,585.047,578.488,79.336
737.360,608.819,363.958,1170.782,317.639,298.879,456.793,441.125,837.491,597.505,583.035,81.862
692.017,627.672,365.670,1147.270,308.224,294.759,446.480,442.486,826.105,600.522,575.121,79.704
694.453,622.623,370.146,1139.904,301.497,299.003,454.939,440.911,827.401,607.177,575.805,79.103
719.720,614.175,363.912,1133.727,296.648,302.794,437.763,434.512,877.349,614.019,579.462,81.369
770.705,621.995,361.923,1142.365,287.568,296.063,432.199,433.683,868.349,622.049,583.690,83.433
775.343,632.533,365.100,1153.068,274.349,296.510,435.152,432.034,851.102,603.254,581.845,84.034
794.476,630.587,371.415,1159.939,272.903,291.869,433.795,451.188,840.322,598.082,584.458,84.356
785.187,616.846,377.407,1165.872,272.460,307.967,441.260,431.657,862.223,522.252,578.313,84.885
822.286,632.609,383.927,1154.164,279.310,297.761,438.374,441.732,843.322,433.861,572.735,85.381
843.660,653.685,382.395,1188.053,286.614,299.842,457.934,452.696,861.452,391.268,581.760,89.118
863.283,670.214,372.411,1174.544,297.560,295.098,460.975,445.746,836.012,375.565,579.141,88.624
844.776,679.404,365.430,1160.925,306.375,297.693,456.639,436.253,851.277,362.562,576.133,88.015
853.561,651.459,361.967,1191.422,307.574,302.616,467.066,426.952,812.045,348.835,572.350,89.182
872.204,660.734,376.998,1192.094,303.463,294.829,486.654,443.729,828.910,347.934,580.755,89.925
