0190-0041,0179-0010,0059-0145,0001-0200-0106,0109-0122,0137-0169,0205-0007,0245-0190,0237-0213,0243-0240,0219-0241,0186-0239,0052-0008,0023-0120,Average,Err
641.196,378.630,433.520,395.914,389.411,447.072,328.403,306.595,444.590,388.311,454.532,331.183,373.462,419.635,409.461,20.901
600.006,368.267,436.545,420.668,386.818,453.206,329.888,321.529,462.815,389.200,438.597,345.697,370.962,408.899,409.507,18.212
616.381,395.092,434.957,397.016,394.584,441.593,343.567,338.029,434.197,386.170,417.511,321.460,381.183,406.680,407.744,18.106
610.849,386.611,434.140,420.389,392.823,447.301,334.284,315.529,431.022,389.395,411.833,328.488,366.183,424.208,406.647,18.544
598.827,397.111,431.588,403.131,379.208,466.632,353.403,316.805,407.140,380.520,428.989,330.407,375.215,487.801,411.198,18.516
635.957,366.786,434.488,394.299,413.281,447.837,329.328,325.310,424.337,383.305,400.392,332.841,368.258,488.990,410.387,20.682
644.043,366.248,434.353,406.324,367.294,439.598,327.022,323.601,448.157,386.050,407.866,325.782,363.629,450.521,406.463,21.079
639.009,363.973,422.332,396.074,390.156,431.268,327.873,319.236,449.045,411.934,399.371,322.339,396.220,410.373,405.657,20.202
657.134,355.622,434.026,398.164,384.139,439.928,342.127,316.655,418.719,392.677,404.183,322.187,365.059,386.258,401.206,21.340
682.781,361.088,438.419,407.598,394.649,443.589,332.127,327.336,437.337,399.148,416.065,335.732,382.629,372.357,409.347,22.639
733.798,360.992,432.360,392.369,399.104,412.775,358.836,325.270,442.719,389.271,404.414,319.593,380.634,354.479,407.615,25.907
763.611,357.099,432.050,401.852,392.234,437.474,342.672,331.193,462.478,384.398,417.016,341.505,369.269,354.174,413.359,27.937
831.426,367.748,434.112,403.270,410.658,422.033,345.052,328.440,426.871,397.471,400.414,341.958,364.973,343.867,415.592,32.115
932.534,352.885,420.122,405.992,402.208,450.909,342.097,332.954,448.972,389.595,415.699,331.053,350.548,341.518,422.649,39.311
1063.733,366.744,432.558,409.414,391.238,458.206,359.522,334.282,432.393,382.820,417.435,343.584,366.091,338.162,435.442,47.619
1211.264,369.202,428.914,398.811,395.446,457.947,360.910,324.917,422.225,388.656,414.441,327.604,363.199,339.276,443.058,57.837
1207.892,368.027,436.136,410.639,394.671,464.344,340.799,331.807,442.534,397.017,409.726,322.226,360.312,331.651,444.127,57.782
1138.957,346.137,430.808,412.414,383.502,448.656,345.522,344.313,443.949,390.422,393.027,338.902,352.070,341.452,436.438,53.055
1066.227,356.034,433.839,396.090,377.082,457.134,347.313,344.261,452.247,404.082,416.505,341.918,383.032,337.062,436.631,47.835
1046.776,348.210,435.293,419.725,371.268,440.220,329.112,335.796,425.927,388.026,413.898,342.059,407.962,334.909,431.370,46.791
