0190-0041,0179-0010,0059-0145,0001-0200-0106,0109-0122,0137-0169,0205-0007,0245-0190,0237-0213,0243-0240,0219-0241,0186-0239,0052-0008,0023-0120,Average,Err
443.608,881.233,651.401,386.594,665.082,664.608,465.022,632.543,1103.331,775.817,845.796,666.878,556.016,861.959,685.706,50.320
480.824,841.851,661.106,385.119,639.251,646.938,458.948,660.003,1093.736,758.921,841.930,666.743,523.532,876.169,681.076,49.070
493.855,866.363,652.785,382.262,637.602,624.239,479.888,663.098,1096.399,752.938,868.468,663.074,538.409,867.892,684.805,49.154
533.818,873.374,647.364,372.348,660.429,659.268,468.813,663.675,1092.264,782.638,858.608,679.039,542.323,863.264,692.659,48.595
536.969,845.966,653.632,393.516,664.563,631.153,496.306,655.885,1036.096,767.105,906.280,669.935,514.538,856.545,687.749,45.799
572.835,914.477,663.119,371.447,633.186,669.230,480.276,652.049,1110.275,775.075,869.876,677.085,540.586,884.899,701.030,50.020
601.074,860.763,668.498,378.783,649.792,660.163,485.269,659.635,1144.028,780.978,890.522,659.094,532.253,855.459,701.879,49.775
606.293,837.195,656.980,388.045,668.645,645.407,486.179,646.218,1087.365,777.189,847.903,669.406,522.500,847.960,691.949,45.773
615.403,861.088,668.946,388.020,659.489,632.670,476.903,643.391,1113.101,758.301,889.027,662.204,539.027,866.188,698.126,48.194
628.017,875.718,664.090,384.926,654.528,658.914,463.903,669.034,1043.253,791.429,884.038,676.156,538.043,874.695,700.482,45.984
642.651,872.324,657.016,392.373,645.788,643.904,474.784,643.336,1082.449,777.677,868.215,668.557,549.183,864.317,698.755,46.335
642.236,859.599,662.053,397.242,663.100,634.565,442.507,640.060,1105.242,772.630,889.419,666.594,535.355,850.190,697.199,48.102
631.938,861.679,651.174,380.639,632.983,640.340,493.634,647.224,1075.438,789.218,886.425,658.181,528.548,851.574,694.928,46.620
583.165,865.718,654.360,388.410,614.091,625.053,463.746,647.578,1058.438,756.955,831.823,680.842,522.640,852.269,681.792,45.810
536.378,883.240,665.538,384.545,623.684,620.904,468.448,658.606,1068.669,780.281,874.301,692.937,546.758,852.730,689.787,47.734
452.574,856.279,666.081,401.721,623.394,663.766,469.933,651.322,1103.624,763.331,888.005,660.325,496.710,841.505,681.326,50.435
392.057,839.038,657.575,384.701,665.641,624.416,489.142,644.629,1083.416,771.112,886.043,672.416,545.247,863.440,679.920,50.621
355.543,872.851,658.546,390.451,643.026,629.856,431.142,654.675,1061.528,745.863,869.414,660.040,530.349,876.172,669.961,52.434
338.111,834.775,657.038,396.275,643.619,667.684,466.828,653.147,1114.989,795.305,867.177,667.704,562.968,865.817,680.817,53.233
336.165,865.095,671.973,393.111,670.749,638.713,475.604,652.463,1066.039,791.555,895.081,664.896,549.339,885.371,682.582,52.794
340.236,864.305,657.490,377.611,627.121,651.928,466.821,666.468,1062.933,776.434,893.758,675.670,532.204,861.153,675.295,52.807
342.818,869.015,655.191,387.184,626.108,655.278,466.821,639.741,1094.393,766.820,876.941,669.591,529.629,872.714,675.160,53.640
364.705,858.794,663.210,391.988,652.736,640.799,447.276,652.422,1085.416,771.522,935.774,682.632,517.306,851.803,679.742,53.736
