0204-0044,0252-0006,0133-0061,0115-0072,0184-0024,0238-0072,0225-0077,0230-0067,0208-0072,0200-0063,0195-0102,0189-0091,0153-0095,0164-0072,0122-0057,0173-0115,0222-0208,0238-0208,0223-0182,0214-0176,0207-0166,0200-0179,0193-0154,0239-0137,0194-0119,0204-0126,0212-0129,0249-0107,0245-0182,0228-0114,0229-0105,0218-0095,0118-0157,0172-0180,0238-0250,0077-0105,0077-0063,0081-0053,0086-0028,0053-0050,0129-0145,0120-0132,0108-0117,0090-0123,0075-0144,0048-0153,0050-0132,0027-0123,0015-0101,0018-0076,0013-0133,0048-0211,0007-0249,0017-0243,0048-0199,0078-0177,0073-0193,0109-0225,0126-0223,0148-0237,0161-0238,0141-0193,0162-0169,0170-0163,0192-0201,0187-0207,0196-0216,Average,Err
305.681,665.675,721.603,374.405,316.285,294.105,359.730,465.268,373.535,441.307,332.986,373.823,320.209,313.082,491.367,454.901,341.585,355.765,437.513,450.427,377.423,378.851,421.764,430.622,298.750,343.043,380.430,291.353,507.474,299.024,277.846,337.963,407.609,448.592,1865.040,311.516,354.585,362.130,337.705,442.793,340.422,439.686,349.130,358.224,497.519,389.487,438.112,332.458,444.532,388.928,411.101,394.942,375.976,422.595,359.621,426.443,395.437,443.634,361.223,379.979,354.039,427.158,487.725,363.404,409.652,398.418,310.847,414.395,23.716
308.086,592.737,694.815,393.405,313.634,304.450,384.500,501.338,363.748,364.716,337.500,372.490,331.716,279.589,480.267,423.340,345.273,328.379,438.555,418.866,333.972,370.835,394.789,411.892,321.148,324.863,394.484,307.793,471.079,313.833,305.162,411.728,412.897,428.670,1728.532,314.099,359.115,382.536,322.585,434.842,373.503,527.814,328.902,424.414,470.532,386.645,438.272,324.078,438.905,393.818,418.745,383.101,353.298,409.153,438.864,447.038,392.645,445.572,363.920,354.758,329.588,411.462,421.099,377.583,375.391,433.345,334.781,410.739,21.556
289.059,588.425,697.606,365.586,343.016,468.415,369.919,496.634,336.787,372.386,336.446,387.177,352.374,300.342,485.983,472.000,342.170,333.643,441.227,402.695,391.901,379.017,419.756,409.477,313.102,296.923,371.570,328.940,488.823,307.516,285.677,363.148,429.174,455.883,1518.863,310.322,371.695,372.348,318.450,425.961,347.730,506.953,357.598,377.078,450.909,352.342,385.272,319.123,403.365,387.639,423.930,379.826,370.583,378.427,388.636,416.935,399.437,438.679,417.375,336.042,336.735,452.739,435.643,331.090,411.246,427.909,316.854,407.321,18.770
306.412,560.163,692.489,340.509,373.553,535.023,422.068,481.394,327.173,401.420,334.676,343.865,324.882,289.068,465.150,462.093,353.345,337.498,425.613,382.500,367.155,432.388,412.837,465.712,295.889,327.983,420.290,312.947,492.068,299.571,328.231,307.728,432.549,454.860,1430.339,311.465,368.560,398.652,304.505,418.695,373.643,432.616,366.500,409.897,493.078,341.197,388.092,323.564,436.619,385.722,405.364,397.043,354.726,418.420,406.136,423.378,390.563,434.158,378.562,336.484,339.637,488.560,395.322,378.756,376.210,413.200,320.467,408.198,17.585
312.701,536.237,644.534,371.543,482.472,599.667,452.635,472.746,326.417,365.761,317.851,385.292,335.986,324.767,442.367,510.148,348.097,334.921,386.311,402.927,371.113,398.554,380.650,432.045,293.324,312.530,443.108,326.527,454.831,334.175,307.969,361.000,428.554,460.447,1195.234,306.787,372.990,340.130,321.525,418.813,390.373,519.000,369.891,376.940,446.052,391.967,392.383,328.207,375.024,402.275,418.504,394.638,373.190,389.412,415.318,428.022,401.536,433.293,389.330,340.432,342.137,529.087,401.000,358.263,382.261,438.364,339.839,408.663,14.478
305.800,603.212,627.016,407.750,470.927,534.649,434.068,449.408,346.717,427.000,327.500,389.042,353.209,281.534,420.317,499.919,327.855,346.430,477.101,427.122,387.577,452.537,412.439,463.775,300.898,305.154,411.011,331.653,457.098,309.889,302.192,394.037,428.378,409.866,998.113,309.510,356.100,346.435,317.305,428.631,362.897,605.163,358.120,346.250,440.909,378.743,388.379,323.453,410.111,385.478,416.171,384.971,328.738,394.740,404.788,427.205,391.224,473.730,390.643,343.105,334.343,535.076,429.550,359.679,379.848,398.000,346.978,407.723,12.540
318.721,503.250,598.621,412.707,432.350,451.099,468.662,408.451,388.929,658.000,319.432,358.531,315.313,296.151,442.250,463.221,329.552,313.783,546.790,443.744,413.197,411.579,398.106,545.631,302.796,302.513,363.065,331.447,486.120,305.492,299.385,350.321,403.858,446.693,724.282,328.274,353.425,325.435,310.800,417.404,354.119,537.453,355.391,355.172,446.987,363.204,361.330,324.464,444.437,385.722,434.130,424.101,392.476,390.137,457.758,410.481,375.126,431.983,394.455,335.705,354.794,482.255,399.585,345.103,358.239,476.218,321.664,403.013,10.317
287.037,506.850,633.962,388.052,434.008,381.380,711.135,450.155,397.598,697.750,308.446,388.583,331.431,310.740,430.900,473.823,348.682,350.043,589.605,381.537,434.901,402.752,401.992,923.315,280.787,307.855,368.667,310.867,489.680,316.849,298.062,398.037,408.043,448.911,654.734,315.834,355.805,372.232,307.515,428.468,377.346,531.140,367.174,380.966,408.727,362.303,378.553,321.950,439.635,382.632,425.039,375.058,413.619,625.985,452.333,420.243,406.481,437.073,408.812,313.516,348.412,521.946,395.702,359.673,369.043,401.309,298.350,417.165,13.846
300.731,541.275,681.353,437.991,392.293,330.596,987.216,477.127,379.606,620.739,344.338,393.521,325.142,300.151,456.883,441.724,336.639,359.509,660.950,405.854,385.775,389.628,372.585,1316.135,288.611,324.726,341.806,313.907,484.109,335.008,281.300,391.889,372.215,448.771,621.798,302.245,353.000,354.957,356.125,432.557,364.946,528.640,340.109,350.819,450.636,373.783,370.150,342.123,452.659,386.735,418.797,418.580,387.738,587.855,446.500,427.995,367.842,450.713,384.589,338.358,380.373,443.511,403.053,379.397,376.565,455.455,315.401,426.628,19.017
303.057,478.525,745.273,387.888,349.228,310.877,1006.838,537.549,340.150,589.943,339.622,415.406,330.773,279.137,422.467,431.654,337.524,317.989,856.008,396.256,433.789,391.884,357.195,1343.315,288.185,307.803,382.742,314.327,460.586,320.325,286.615,422.506,408.719,437.497,616.823,309.363,366.320,351.565,329.165,410.650,389.124,528.488,373.728,373.216,451.753,380.678,373.117,317.743,431.040,372.790,430.590,397.609,370.226,649.817,420.924,429.308,385.295,450.282,369.089,314.179,363.676,429.016,412.509,368.635,360.623,393.618,307.781,426.275,20.573
