0204-0044,0252-0006,0133-0061,0115-0072,0184-0024,0238-0072,0225-0077,0230-0067,0208-0072,0200-0063,0195-0102,0189-0091,0153-0095,0164-0072,0122-0057,0173-0115,0222-0208,0238-0208,0223-0182,0214-0176,0207-0166,0200-0179,0193-0154,0239-0137,0194-0119,0204-0126,0212-0129,0249-0107,0245-0182,0228-0114,0229-0105,0218-0095,0118-0157,0172-0180,0238-0250,0077-0105,0077-0063,0081-0053,0086-0028,0053-0050,0129-0145,0120-0132,0108-0117,0090-0123,0075-0144,0048-0153,0050-0132,0027-0123,0015-0101,0018-0076,0013-0133,0048-0211,0007-0249,0017-0243,0048-0199,0078-0177,0073-0193,0109-0225,0126-0223,0148-0237,0161-0238,0141-0193,0162-0169,0170-0163,0192-0201,0187-0207,0196-0216,Average,Err
507.531,1137.575,294.187,1354.009,466.065,746.304,397.324,460.268,510.591,530.318,519.081,689.938,938.972,777.411,1087.417,2607.233,1277.255,916.989,1002.580,671.707,516.521,777.868,632.854,787.595,479.759,404.419,530.366,436.873,470.477,472.889,597.015,520.136,1059.073,714.648,414.685,1033.277,595.625,367.159,321.355,1879.163,1159.751,1083.593,619.870,640.103,984.117,1983.757,782.971,1106.737,1100.278,631.770,2139.509,928.580,671.417,663.542,894.030,425.903,417.104,1502.885,775.607,603.095,621.402,684.071,1397.906,813.821,1099.174,1003.182,696.650,825.900,53.746
486.788,1209.600,296.725,1299.509,468.675,764.064,424.797,432.042,497.016,511.557,498.946,715.094,935.374,862.370,1058.267,2617.866,1259.394,918.552,938.143,637.695,558.324,789.074,596.870,830.270,473.657,418.701,567.366,452.127,467.684,472.810,585.769,488.000,1036.902,699.508,389.903,1025.287,589.645,396.768,315.455,1962.000,1172.005,1095.744,594.413,644.621,1005.065,1985.546,764.811,1143.894,1086.143,635.536,2149.218,906.362,677.036,714.565,763.833,437.703,442.749,1451.113,799.241,603.042,636.186,671.935,1346.924,785.186,1063.630,993.564,628.453,823.091,53.911
479.756,1240.888,294.101,1296.069,458.593,744.123,403.851,401.437,530.268,540.898,513.176,713.281,907.858,782.192,1134.500,2614.346,1260.603,918.329,988.076,652.585,542.239,873.719,607.691,831.090,491.981,404.624,566.430,438.673,519.643,431.103,591.831,480.198,1071.984,721.553,417.226,1000.869,561.740,357.696,308.460,1918.793,1142.389,1038.349,620.728,673.871,955.416,1919.579,776.534,1101.587,1062.929,644.223,2112.958,1000.246,672.452,692.260,845.621,409.195,428.393,1444.608,790.268,581.400,633.520,688.467,1330.409,826.218,1034.609,1032.855,666.197,822.952,53.250
473.025,1195.625,303.782,1382.948,456.545,747.579,414.392,444.775,512.622,508.705,505.351,714.938,919.384,835.712,1067.483,2587.968,1254.876,900.787,968.319,642.415,532.465,843.124,604.545,799.667,455.287,411.949,536.237,452.987,504.722,473.627,568.185,501.222,1051.034,720.542,425.927,1063.987,563.520,367.507,338.830,2040.532,1168.654,991.547,564.815,656.845,1084.857,1950.046,772.845,1113.285,1095.524,639.653,2145.078,951.623,692.083,721.962,896.152,420.492,442.792,1443.597,802.223,608.737,585.010,679.538,1354.240,809.346,1047.681,926.909,688.241,826.073,54.021
483.758,1250.625,299.160,1281.750,450.016,733.819,426.446,421.535,497.827,515.466,475.432,705.021,948.166,877.110,1109.400,2631.895,1290.367,906.639,978.487,630.939,511.704,842.264,611.553,859.901,450.444,415.145,543.914,430.667,527.989,491.786,607.523,513.765,1062.517,717.034,424.855,1041.987,568.055,347.797,321.395,1906.931,1173.411,1098.488,618.674,661.793,987.519,1900.007,807.335,1158.665,1142.714,643.223,2120.745,967.710,687.000,704.687,854.152,415.816,453.536,1466.932,814.786,608.137,662.765,730.908,1352.415,846.769,1079.826,999.782,689.226,832.211,53.568
495.205,1300.787,306.770,1309.922,453.447,748.140,423.432,427.380,532.283,478.477,502.365,723.250,961.810,783.945,1156.733,2653.770,1258.430,898.791,1006.555,644.622,547.310,857.322,599.382,846.351,442.148,410.769,573.817,427.400,535.617,507.579,614.392,490.272,1069.931,721.246,451.339,1045.379,575.965,396.333,319.865,1985.369,1242.005,1097.384,566.315,660.552,1077.377,1924.553,773.233,1163.827,1107.897,619.155,2112.351,945.406,716.738,721.244,813.864,428.676,437.120,1502.414,788.446,605.295,635.980,701.353,1399.661,845.038,1082.326,1034.418,655.686,837.944,54.526
480.741,1218.188,313.291,1280.897,466.195,730.170,429.622,425.662,491.787,517.284,503.108,696.844,978.019,880.425,1101.800,2608.555,1306.494,938.606,964.941,647.305,561.338,846.165,647.455,845.586,475.602,430.231,541.366,454.307,565.402,482.143,587.500,539.630,1055.455,702.782,502.548,1068.344,614.960,398.420,319.935,1919.079,1149.070,1028.709,606.598,676.172,1002.455,1934.967,802.238,1165.073,1203.071,641.065,2194.005,1002.522,695.417,691.672,846.576,434.259,444.366,1443.744,789.214,615.526,659.471,710.957,1385.749,823.699,1098.783,1037.655,650.891,839.882,53.527
493.000,1289.250,313.424,1332.466,465.740,713.409,376.257,432.239,514.559,473.114,493.243,746.552,943.289,839.411,1135.950,2629.442,1287.448,888.058,930.303,661.780,523.958,751.107,649.382,843.685,470.278,411.821,551.194,437.360,584.632,491.437,575.462,511.457,1073.327,742.888,541.685,1058.398,590.165,393.290,332.695,1931.143,1204.843,1034.047,582.478,639.595,1026.013,1949.447,814.738,1144.743,1138.452,625.952,2167.590,987.971,722.190,700.015,859.242,420.178,430.432,1458.042,787.893,584.253,681.569,717.940,1349.749,824.487,1065.123,1002.327,655.796,835.812,53.959
497.074,1278.375,310.282,1293.414,443.553,733.842,288.297,429.930,533.740,461.875,515.878,706.500,945.066,844.411,1142.450,2594.977,1278.594,945.903,978.714,699.427,534.718,856.537,590.455,596.387,477.324,421.051,562.312,481.433,569.169,488.944,601.515,543.185,1075.398,734.425,518.960,1069.863,607.520,359.928,321.250,2023.084,1155.281,1078.035,614.859,635.397,1033.675,1963.849,825.374,1139.575,1154.556,626.179,2152.177,1058.391,693.262,741.855,843.758,444.551,444.546,1494.062,844.161,625.326,623.706,706.571,1410.503,825.596,1045.819,1055.345,678.467,839.860,54.520
484.356,1323.225,303.207,1354.716,470.325,746.947,275.257,440.169,513.024,472.477,466.622,728.073,978.602,834.986,1019.017,2629.061,1294.024,935.300,870.370,638.024,552.930,817.926,604.561,507.072,472.167,395.504,560.204,455.607,575.214,469.794,601.746,513.111,1049.959,733.754,589.315,1037.675,609.840,388.478,317.510,1945.261,1170.265,1074.198,616.098,671.655,1060.130,1865.309,793.529,1127.927,1123.730,603.835,2134.743,949.580,666.095,699.733,883.727,430.097,455.978,1419.744,806.232,605.853,648.206,672.641,1370.275,830.974,1050.232,1020.236,670.679,826.823,53.770
