0234-0127,0127-0162,0168-0167,0157-0158,0144-0148,0141-0228,0129-0220,0117-0222,0142-0188,0226-0056,0202-0085,0214-0074,0191-0097,0186-0111,0211-0119,0243-0095,0185-0069,0202-0062,0209-0035,0176-0038,0166-0030,0184-0005,0116-0071,0170-0075,0162-0060,0231-0251,0237-0196,0208-0190,0211-0150,0111-0097,0101-0107,0063-0052,0086-0095,0078-0077,0100-0022,0117-0026,0095-0198,0059-0192,0058-0160,0019-0175,0033-0156,0033-0118,0011-0082,0187-0141,0161-0120,Average,Err
494.246,339.851,338.286,352.628,329.143,328.055,374.060,293.072,306.843,359.295,322.181,322.938,321.129,366.093,451.296,300.232,300.397,318.240,344.282,329.659,289.441,253.315,589.179,321.398,346.114,267.739,587.517,386.667,348.551,478.943,351.122,283.158,398.814,310.540,303.746,301.221,326.438,332.144,556.877,309.739,266.916,310.442,339.548,451.763,348.012,354.473,11.663
432.847,329.684,298.198,325.476,309.374,333.155,367.120,302.000,344.906,333.194,324.045,326.892,317.193,303.497,451.667,304.280,323.346,298.617,299.683,327.245,309.031,245.836,502.566,353.211,348.521,269.042,570.471,349.613,334.949,413.820,337.087,271.122,392.725,275.926,278.294,268.308,319.065,345.073,533.910,312.290,259.963,320.282,311.392,469.787,345.044,341.994,10.368
393.380,325.526,313.599,301.366,314.061,349.917,395.470,300.783,330.459,344.890,324.181,332.669,298.135,331.113,411.317,302.564,334.868,283.531,311.838,321.336,295.549,250.212,414.948,339.423,316.114,264.063,510.113,339.140,349.205,396.238,320.965,277.372,384.255,298.580,303.603,286.203,323.797,323.119,528.226,299.790,269.419,305.405,285.590,451.877,351.015,335.672,8.567
369.207,327.939,317.432,342.018,321.218,323.003,357.400,280.993,358.415,337.078,315.317,303.331,328.684,366.119,408.237,305.773,322.360,297.658,289.296,326.259,295.810,257.345,350.393,302.520,335.138,266.556,401.625,330.320,330.742,374.697,366.087,274.628,340.069,286.580,274.730,275.576,322.234,329.935,486.897,295.264,261.890,287.742,284.249,432.746,344.378,326.798,6.798
345.859,334.184,339.035,324.030,342.694,321.441,357.350,295.355,360.025,326.895,332.377,293.538,308.327,344.702,395.806,302.981,335.500,297.398,273.162,305.459,279.938,267.255,325.592,348.390,315.102,263.993,326.025,329.213,330.316,361.426,328.130,281.330,318.314,275.324,294.913,266.110,321.603,315.777,460.548,320.011,258.309,281.951,299.687,355.380,370.026,320.684,5.569
348.289,350.246,306.106,316.915,298.490,327.552,389.090,306.370,359.302,329.831,367.538,327.723,306.860,327.980,385.226,300.749,313.272,298.214,286.021,305.509,300.651,242.648,313.915,352.333,316.018,265.894,300.300,325.300,337.924,329.656,346.287,279.499,336.647,294.540,307.730,288.169,321.094,344.060,491.316,302.228,268.225,302.202,286.244,332.351,356.907,322.076,5.856
356.437,344.491,299.661,331.311,312.524,357.417,407.100,278.138,326.346,329.451,314.196,318.777,318.801,373.311,382.624,342.682,349.162,289.031,290.775,313.964,284.308,250.376,315.263,336.390,333.096,283.444,294.517,336.673,344.793,332.320,330.652,267.543,348.941,289.455,300.175,268.192,331.087,346.415,436.781,292.858,265.859,280.626,299.484,329.385,368.613,322.299,5.580
337.083,338.553,307.709,328.768,318.653,344.855,368.140,283.565,357.767,327.439,336.070,308.623,309.181,354.722,357.102,302.213,388.375,291.995,297.479,333.018,273.492,250.127,315.946,340.065,326.341,324.803,287.467,306.707,348.427,304.459,344.896,267.814,331.490,299.966,301.437,295.407,325.750,347.642,373.710,297.174,251.770,297.607,291.196,347.225,351.997,319.872,4.594
346.556,348.614,325.868,328.787,316.388,323.500,376.720,291.007,364.214,327.194,313.839,331.169,281.257,359.046,332.210,302.469,335.478,288.480,293.134,323.177,308.133,251.436,313.953,349.545,310.766,380.366,287.508,335.347,341.755,316.016,334.174,277.763,328.765,284.716,285.500,268.006,318.569,331.300,342.148,295.885,257.529,282.166,305.329,329.310,354.294,317.764,4.421
347.630,289.263,327.194,320.323,311.667,328.493,364.720,275.913,347.868,333.966,317.201,307.969,305.064,349.344,365.317,306.275,324.610,292.250,285.887,327.836,285.451,264.576,313.777,331.894,303.120,348.155,289.992,320.913,340.088,310.484,378.557,272.330,346.539,278.028,312.270,280.471,321.154,335.344,340.677,302.196,248.089,286.828,303.094,340.123,329.355,315.829,4.232
361.711,344.772,320.639,332.909,317.218,324.928,366.100,295.848,359.088,326.456,299.869,315.423,299.503,372.550,356.484,305.460,343.265,288.628,275.718,326.000,293.738,261.600,319.374,336.634,303.257,287.944,273.758,317.340,332.955,349.631,379.904,278.022,340.627,289.534,315.937,285.360,327.487,332.275,328.252,302.441,249.754,323.344,298.804,331.143,339.680,318.475,4.371
353.524,309.886,316.595,330.439,314.014,336.048,363.600,269.783,348.013,321.169,336.352,325.177,331.988,343.815,375.231,303.322,304.566,303.449,291.493,292.432,300.041,250.455,353.288,321.846,324.407,270.282,284.354,341.653,327.990,320.270,333.643,279.129,320.912,306.574,320.492,283.890,320.369,324.617,307.348,308.511,265.152,285.387,295.021,335.697,331.744,315.199,3.959
340.511,327.737,343.286,341.500,325.612,328.621,355.880,298.275,352.799,341.192,305.437,339.238,309.298,376.894,372.511,322.009,301.684,303.199,315.754,341.632,295.056,261.727,381.821,327.073,305.222,251.486,280.700,335.367,340.136,344.615,340.000,276.871,329.088,282.807,296.929,269.017,325.043,338.708,292.877,317.441,255.812,279.417,307.912,334.019,350.445,319.170,4.621
360.589,357.272,330.396,334.756,314.395,327.834,348.180,308.297,344.786,340.350,327.025,305.369,313.895,318.470,341.962,322.559,305.860,294.204,285.732,335.032,316.877,262.042,374.818,347.650,311.940,268.817,295.183,339.213,334.553,321.762,356.157,280.876,315.265,298.614,301.698,300.122,325.203,340.827,308.523,317.025,247.984,278.724,280.304,331.334,356.544,318.423,4.095
350.939,403.518,317.502,318.854,315.728,335.883,383.410,295.196,344.390,351.416,337.106,306.169,294.754,349.265,375.043,317.531,325.485,297.439,277.817,338.077,278.831,244.236,330.354,341.033,318.042,253.803,286.704,306.293,324.285,316.066,348.826,271.209,353.843,281.244,314.302,308.198,314.479,326.308,317.045,296.876,247.660,294.331,289.666,307.654,362.436,317.094,5.010
332.636,369.825,300.674,346.963,333.864,331.624,348.140,279.688,356.604,319.975,297.799,300.923,305.491,352.980,357.145,307.332,317.243,293.689,267.056,301.073,285.764,263.824,304.841,322.976,303.629,258.725,285.533,306.480,336.889,295.418,322.539,274.559,358.853,280.977,273.587,289.698,317.239,337.267,305.742,301.946,275.455,279.761,292.323,331.123,333.590,310.210,4.193
351.199,398.781,311.000,347.030,342.918,331.703,349.500,297.833,346.849,336.093,361.729,302.815,317.573,355.179,373.258,317.474,344.140,312.245,298.465,321.741,315.359,249.648,336.498,338.041,307.479,263.577,286.712,343.167,331.957,325.541,383.835,271.251,374.010,301.528,285.040,277.616,322.295,323.952,286.755,415.509,246.869,284.834,278.811,400.363,339.093,324.606,5.712
343.799,355.412,316.974,334.896,667.048,323.703,331.630,304.348,337.044,324.471,316.166,324.638,317.240,373.987,378.005,321.829,330.566,292.556,306.521,324.464,311.615,261.103,320.732,346.041,387.066,231.613,282.108,336.233,313.679,327.541,346.661,283.908,323.265,282.352,303.857,261.791,310.532,313.396,292.626,455.824,284.759,280.595,297.972,441.344,349.794,330.482,9.668
340.807,376.553,303.322,335.744,912.014,343.762,343.340,267.841,335.208,343.713,324.729,296.354,396.596,424.636,376.473,321.180,326.287,284.495,303.535,324.359,328.031,267.679,311.489,331.228,595.605,243.380,296.017,312.007,325.217,295.762,377.296,265.531,297.324,282.477,299.460,267.169,317.749,325.552,292.368,431.182,253.565,285.350,281.417,521.649,366.442,343.375,15.985
