0234-0127,0127-0162,0168-0167,0157-0158,0144-0148,0141-0228,0129-0220,0117-0222,0142-0188,0226-0056,0202-0085,0214-0074,0191-0097,0186-0111,0211-0119,0243-0095,0185-0069,0202-0062,0209-0035,0176-0038,0166-0030,0184-0005,0116-0071,0170-0075,0162-0060,0231-0251,0237-0196,0208-0190,0211-0150,0111-0097,0101-0107,0063-0052,0086-0095,0078-0077,0100-0022,0117-0026,0095-0198,0059-0192,0058-0160,0019-0175,0033-0156,0033-0118,0011-0082,0187-0141,0161-0120,Average,Err
338.526,481.132,404.581,321.463,318.898,620.317,718.690,603.543,350.667,885.316,341.487,464.962,400.117,477.563,448.355,372.351,434.507,346.010,394.810,436.355,417.579,319.376,485.376,387.447,419.647,395.711,278.500,383.660,495.624,336.713,343.000,376.534,411.118,362.932,359.897,389.791,450.267,371.185,290.194,314.221,320.115,359.828,435.848,350.966,558.360,417.190,16.791
361.493,516.395,399.256,325.299,304.150,599.421,778.750,638.435,343.195,929.346,359.181,473.492,400.327,496.901,461.774,382.450,456.294,334.255,427.049,426.000,440.313,325.170,466.525,375.740,397.503,391.930,278.479,387.047,511.336,339.959,318.278,379.994,419.578,334.432,388.357,362.453,456.009,371.819,280.129,320.514,322.874,333.074,459.938,335.971,556.401,421.495,18.402
389.916,517.667,390.722,323.970,316.054,586.731,742.180,587.022,355.667,887.146,353.141,456.685,413.538,493.099,440.468,377.564,391.765,339.888,409.493,425.791,414.564,323.255,492.098,390.415,404.204,365.585,280.642,405.000,510.833,362.189,338.774,368.953,406.794,344.557,385.056,371.070,433.602,354.260,281.497,320.122,320.241,348.847,459.641,337.533,556.198,417.210,16.892
408.094,495.912,399.388,316.939,330.320,594.766,793.700,619.232,340.226,900.274,362.392,442.277,414.234,462.623,433.349,383.739,435.500,352.551,402.789,421.259,422.246,308.285,494.338,399.520,401.790,393.732,289.442,372.113,494.626,333.172,348.974,370.781,425.833,356.375,393.246,371.384,435.465,361.225,284.477,313.957,317.099,351.411,448.475,343.959,577.820,420.429,17.649
439.149,451.842,381.767,330.189,335.238,581.697,775.290,595.580,322.245,927.447,347.286,457.931,403.520,470.570,465.634,395.332,456.779,344.286,418.127,444.214,433.805,333.800,500.054,391.358,401.587,387.542,292.104,406.940,500.477,345.648,336.261,374.018,400.480,362.528,348.635,375.773,445.801,362.642,278.645,320.446,319.942,350.301,421.783,348.482,580.834,421.422,17.674
455.007,514.921,391.123,322.049,333.531,606.328,791.920,585.565,339.038,910.150,347.668,485.477,421.088,484.066,486.742,385.445,460.375,355.102,404.141,434.977,427.400,318.333,495.608,373.520,412.790,400.641,298.062,412.187,521.091,347.262,337.496,381.091,424.922,349.932,363.508,368.506,448.268,369.769,293.987,317.329,315.037,339.552,444.901,358.048,571.849,426.796,17.804
478.377,500.237,380.330,333.524,317.503,591.683,710.270,591.478,344.050,883.616,352.844,447.323,405.854,483.232,492.532,406.777,468.779,358.648,421.261,436.764,422.564,311.133,496.911,400.317,428.617,358.268,310.767,406.540,496.970,339.574,348.357,384.131,422.088,369.256,370.810,377.424,446.858,372.898,280.374,326.849,330.518,332.368,444.553,365.065,556.485,424.551,16.367
489.349,487.982,388.921,317.902,314.585,602.821,721.690,619.065,339.673,896.411,361.749,464.646,439.807,458.523,502.070,411.844,463.757,363.944,415.204,418.968,411.462,322.927,508.517,397.415,427.533,382.380,306.967,411.427,506.533,355.549,332.209,380.429,408.186,352.091,388.675,373.070,437.413,361.704,276.903,324.576,313.403,329.098,450.131,365.368,579.488,426.275,17.070
512.680,513.930,413.304,324.549,330.286,598.917,698.150,591.696,337.321,911.502,374.573,481.715,444.696,477.099,468.011,399.223,454.647,374.490,433.380,449.064,444.251,322.624,522.403,391.203,442.204,372.042,322.229,412.353,525.333,340.574,332.713,381.731,399.647,360.170,354.214,384.465,445.234,367.765,283.574,318.959,318.105,337.239,428.636,366.414,582.767,429.913,16.967
537.717,478.544,399.423,320.073,322.810,596.907,792.680,600.986,358.579,900.137,380.729,464.246,429.696,488.272,491.134,420.033,411.301,364.786,395.599,433.714,418.728,340.576,506.104,403.033,410.611,371.972,309.992,378.853,504.864,362.975,333.600,381.099,441.304,356.324,363.651,381.064,455.072,368.817,301.258,331.329,326.361,365.975,441.113,379.552,577.677,431.095,17.347
