0001-0150-0218,0001-0081-0091,0001-0173-0157,0001-0145-0133,0001-0153-0130,0002-0119-0167,0002-0192-0036,Average,Err
334.237,381.181,362.712,419.350,291.978,432.475,304.178,360.873,18.970
332.517,399.268,372.087,409.413,287.618,416.462,326.584,363.421,17.111
336.427,366.587,369.556,407.625,283.742,420.100,313.238,356.753,17.202
331.736,368.435,374.456,391.000,277.663,419.363,318.297,354.421,16.821
328.461,369.681,362.581,413.337,276.472,443.250,310.842,357.803,20.319
328.602,372.899,364.919,421.800,272.528,461.206,322.426,363.483,22.231
332.492,336.370,355.494,405.225,281.618,431.969,297.178,348.621,19.030
339.781,363.348,356.706,433.050,319.101,451.756,308.851,367.513,19.209
332.332,363.819,349.538,431.175,317.056,450.050,276.535,360.072,21.606
328.739,372.297,360.913,391.512,275.843,440.738,299.277,352.760,19.714
329.903,367.652,349.000,374.025,268.247,446.000,302.238,348.152,19.924
345.371,401.710,359.794,382.538,281.640,449.288,335.663,365.143,18.616
326.517,380.101,349.925,425.488,291.382,433.181,515.990,388.941,26.515
344.471,376.464,376.350,422.700,272.978,441.825,415.040,378.547,20.000
340.401,369.870,381.038,413.488,292.787,429.869,311.465,362.702,17.779
335.976,396.341,358.231,405.200,279.685,425.663,289.743,355.834,19.959
320.529,350.355,368.394,366.025,300.618,402.219,283.347,341.641,14.696
339.929,397.435,378.913,390.650,285.270,461.450,290.733,363.483,21.988
340.076,379.428,368.569,396.475,309.157,440.406,322.475,365.227,15.937
342.555,390.312,378.431,427.750,271.281,442.881,319.604,367.545,21.250
336.746,376.348,389.706,422.712,304.157,448.894,300.772,368.477,20.025
341.165,374.268,373.444,413.450,280.348,445.269,268.149,356.585,22.842
335.854,380.413,388.969,407.663,276.382,427.419,286.535,357.605,20.704
333.951,403.239,357.137,405.212,277.483,449.075,427.614,379.102,20.879
334.077,383.275,367.169,418.387,304.202,479.581,470.248,393.848,23.133
341.379,387.478,374.425,415.500,293.225,434.863,327.485,367.765,17.548
328.884,368.072,366.137,400.100,291.674,422.887,333.149,358.701,15.657
332.873,400.514,353.731,440.337,296.775,445.719,299.198,367.021,21.931
337.272,406.072,380.419,424.825,304.978,415.869,283.178,364.659,19.773
336.916,375.522,361.269,400.113,308.719,462.269,296.634,363.063,19.909
339.317,352.652,375.062,401.913,283.011,467.094,281.564,357.230,23.017
343.995,356.268,394.125,389.100,297.270,449.769,305.505,362.290,18.740
326.214,402.942,379.406,421.188,291.652,413.312,252.436,355.307,23.051
340.629,388.783,370.725,373.025,295.157,438.200,277.792,354.902,19.370
329.906,358.174,378.163,405.400,300.169,432.025,287.426,355.894,18.745
335.901,382.355,386.756,441.525,292.629,448.425,294.545,368.877,22.376
334.973,372.971,359.169,432.113,299.337,442.669,297.287,362.645,20.401
332.264,394.261,382.800,381.475,295.551,467.375,296.743,364.353,21.417
333.225,388.696,349.531,396.625,278.101,475.500,435.713,379.627,23.068
341.678,374.725,413.500,428.825,322.169,460.750,406.178,392.546,17.173
345.784,366.464,361.881,413.262,272.854,472.056,316.535,364.119,22.590
346.991,372.920,382.863,411.925,293.933,431.512,300.960,363.015,18.326
346.602,383.022,376.744,424.850,310.899,449.038,276.594,366.821,21.268
339.357,380.014,387.988,433.725,311.472,449.675,302.911,372.163,20.033
331.972,387.029,375.306,432.887,302.775,437.050,269.297,362.331,22.344
344.588,371.210,368.581,421.038,281.258,441.925,266.554,356.451,22.910
344.367,355.268,353.300,419.488,296.685,478.706,261.901,358.531,25.378
332.757,381.254,376.169,382.550,283.921,438.925,290.842,355.202,19.485
338.198,387.819,379.150,444.312,297.517,450.181,279.634,368.116,23.369
332.709,370.638,370.706,457.038,301.326,454.312,353.604,377.190,20.553
343.674,393.348,360.544,417.663,311.708,460.394,529.495,402.403,26.052
340.313,371.913,383.212,407.212,321.326,452.956,387.446,380.626,15.125
334.653,367.768,372.925,388.663,319.798,442.606,315.950,363.195,15.649
342.178,375.790,368.494,404.325,314.573,474.469,297.584,368.202,20.798
337.400,391.167,357.550,412.900,308.225,449.194,291.109,363.935,19.980
338.034,371.551,381.506,404.225,315.067,451.250,267.683,361.331,21.136
341.864,414.370,396.569,406.325,300.438,455.750,291.673,372.427,21.699
340.172,375.362,388.875,410.400,304.809,441.731,272.941,362.041,20.839
341.692,387.906,365.694,420.000,291.461,474.413,286.099,366.752,23.766
335.194,338.848,355.363,431.962,311.506,442.494,285.158,357.218,20.686
338.274,364.471,388.519,435.075,294.180,449.325,304.267,367.730,21.161
340.821,372.109,367.875,429.288,300.944,443.950,322.703,368.241,18.532
343.995,380.406,371.131,442.762,318.562,429.869,324.812,373.077,17.075
341.800,365.783,384.881,413.525,311.180,458.300,313.050,369.788,18.860
339.902,351.406,373.744,371.200,310.438,451.788,474.149,381.804,20.886
342.983,358.051,391.356,405.975,291.079,494.956,416.356,385.822,22.525
339.136,370.022,371.931,414.288,293.910,454.506,308.594,364.627,19.907
344.457,361.500,399.837,407.312,325.090,460.419,290.802,369.917,19.935
342.323,379.638,372.769,419.462,315.270,452.712,266.614,364.113,21.944
339.918,386.203,363.025,412.875,313.281,458.431,288.040,365.968,20.551
338.603,382.203,378.350,417.975,288.854,447.469,283.139,362.370,21.773
344.996,381.877,377.619,431.762,294.764,464.312,281.762,368.156,23.455
344.130,353.993,379.250,405.913,314.011,462.456,293.713,364.781,20.006
