0001-0150-0218,0001-0081-0091,0001-0173-0157,0001-0145-0133,0001-0153-0130,0002-0119-0167,0002-0192-0036,Average,Err
669.871,728.087,369.994,402.938,329.124,391.869,522.812,487.813,54.879
669.300,746.420,349.800,386.613,358.944,381.506,501.079,484.809,56.627
681.425,743.761,370.669,365.275,323.865,388.056,505.762,482.688,58.676
668.597,708.667,351.475,421.663,322.596,367.481,485.931,475.201,54.415
676.045,713.377,365.988,383.625,320.573,361.094,506.465,475.309,56.295
676.401,755.978,353.319,403.925,341.011,374.456,525.406,490.071,58.621
674.596,733.783,367.269,389.100,318.517,374.506,543.465,485.891,57.894
683.788,726.790,369.681,405.938,329.079,381.581,500.129,485.284,55.836
661.209,671.022,358.506,407.913,325.281,375.131,502.376,471.634,50.352
678.620,728.326,368.144,402.788,325.955,358.600,478.822,477.322,56.786
674.056,704.978,368.075,400.650,327.708,368.719,499.762,477.707,54.027
668.898,698.130,376.887,394.038,311.022,370.850,487.545,472.481,53.721
681.743,716.920,360.625,417.488,350.876,367.456,460.396,479.358,54.344
680.932,690.500,361.137,376.800,336.090,379.275,503.079,475.402,53.586
674.922,725.812,367.837,382.675,336.742,384.525,481.188,479.100,55.348
674.473,699.326,372.931,389.488,348.303,369.856,507.683,480.294,52.648
680.064,710.551,350.031,396.650,328.989,375.206,511.158,478.950,55.653
686.535,725.754,352.206,388.812,315.056,370.456,519.812,479.805,58.639
689.817,732.471,354.012,374.238,314.191,384.494,504.950,479.168,59.256
679.201,722.667,379.712,404.363,325.157,377.500,514.832,486.204,55.286
675.933,747.710,373.087,399.625,339.315,387.988,494.703,488.337,56.413
681.965,719.486,360.419,376.988,349.157,391.494,526.089,486.514,55.298
675.832,739.913,372.906,382.550,339.888,367.350,492.990,481.633,57.025
673.692,717.159,353.344,406.688,320.584,375.087,499.178,477.962,55.684
678.995,722.812,383.219,364.250,355.180,366.712,456.564,475.390,55.353
684.045,699.710,371.475,407.725,310.809,371.569,470.386,473.674,54.791
684.388,684.841,384.469,405.637,353.247,370.462,488.416,481.637,50.811
673.209,732.413,365.300,395.163,329.764,373.456,502.020,481.618,56.385
684.691,720.522,360.175,379.825,318.517,376.475,501.634,477.405,57.385
689.601,725.848,368.350,356.525,341.180,372.231,482.861,476.657,57.659
678.315,706.855,356.056,396.575,331.382,357.863,515.505,477.507,55.574
678.519,767.949,374.550,422.337,320.427,393.913,511.545,495.606,58.717
683.894,755.652,351.781,358.613,317.056,378.475,488.248,476.246,61.538
671.350,726.486,344.387,390.462,338.775,378.387,494.297,477.735,56.100
682.290,744.014,378.256,394.312,329.899,364.131,515.307,486.887,58.062
687.954,727.109,367.269,391.163,322.685,379.494,495.525,481.600,57.139
681.609,734.413,377.306,400.913,343.337,383.262,491.861,487.529,55.319
